Time,MAXGEX,MINGEX,MAXVEX,MINVEX,MAXDEX,MINDEX,ZERO,BAC,SAC,BAP,SAP,MAXCP,MINCP,LONGGAMMA,SHORTGAMMA,LONGCALLS,SHORTCALLS,LONGPUTS,SHORTPUTS,ZERO_OI,SPOT
2026-05-10 20:10:00,710.0,,,705.0,693.0,733.0,710.75,706.0,707.0,708.0,706.0,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.39,709.93
2026-05-10 20:11:00,710.0,,,705.0,693.0,733.0,710.74,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.39,709.97
2026-05-10 20:12:00,710.0,,,705.0,693.0,733.0,710.61,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.45,710.3
2026-05-10 20:13:00,710.0,,,705.0,693.0,733.0,710.6,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.45,710.31
2026-05-10 20:14:00,710.0,,,705.0,693.0,733.0,710.66,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.41,710.17
2026-05-10 20:15:00,710.0,,,705.0,693.0,733.0,710.76,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.39,709.91
2026-05-10 20:16:00,710.0,,,705.0,693.0,733.0,710.65,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.42,710.19
2026-05-10 20:17:00,734.0,,734.0,,734.0,734.0,710.5,,,,,734.0,734.0,708.0,705.0,720.0,710.0,710.0,705.0,710.5,710.5
2026-05-10 20:18:00,710.0,,,705.0,693.0,733.0,710.55,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.5,710.42
2026-05-10 20:19:00,710.0,,,705.0,693.0,734.0,710.25,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.78,710.89
2026-05-10 20:20:00,710.0,,,705.0,693.0,734.0,710.16,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.78,711.0
2026-05-10 20:21:00,710.0,,,705.0,693.0,734.0,710.15,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.79,711.01
2026-05-10 20:22:00,710.0,,,705.0,693.0,734.0,710.38,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.7,710.71
2026-05-10 20:23:00,710.0,,,705.0,693.0,734.0,710.3,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.78,710.83
2026-05-10 20:24:00,710.0,,,705.0,693.0,734.0,710.1,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.79,711.06
2026-05-10 20:25:00,710.0,,,705.0,693.0,734.0,710.12,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.79,711.04
2026-05-10 20:26:00,710.0,,,705.0,693.0,734.0,710.16,,,,,725.0,700.0,708.0,705.0,720.0,710.0,710.0,705.0,695.78,711.0
