Time,CallPremiumBuy,CallPremiumSell,PutPremiumBuy,PutPremiumSell,NetDeltaFlow,NetGammaFlow,NetCharmFlow,FlowVelocity,FlowAcceleration,FlowImbalance,FlowImbalance5m,FlowImbalance15m,FlowImbalanceCycle,CycleCallPremBuy,CyclePutPremBuy,CharmVelocity,CharmAcceleration,GammaRegime,DealerState,Regime,Confidence,Bias,Risk,BullishScore,BearishScore,VolatilityScore,SqueezeScore,PanicScore,BullishScoreRaw,BearishScoreRaw,Events,MaxCallFlowStrike,MaxPutFlowStrike,SPOT
2026-06-08 16:48:00,15872888.0,17315892.0,65136342.0,60122138.0,-2227.07,1296.43,-2041765.91,0.0,0.0,-0.6081,-0.6081,-0.6081,-0.6081,15872888.0,65136342.0,0.0,0.0,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.35,BEARISH,LOW,0.0,60.76472366988233,21.54633099493169,10.0,55.0,0.0,60.8,,7450.0,7500.0,7412.75
2026-06-08 18:36:00,1488858.0,4412092.0,11633800.0,39973435.0,2768.82,-4579.07,8171130.17,0.0,0.0,-0.7731,-0.7731,-0.7731,-0.7731,1488858.0,11633800.0,0.0,0.0,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.4,BEARISH,HIGH,1.925861509974624,64.3275,67.05036631568184,15.0,55.0,1.9,64.3,,7300.0,7500.0,7416.25
2026-06-08 18:37:00,1488858.0,4423148.0,11633800.0,39987175.0,2769.05,-4589.59,8238604.17,-15643832.0,31238075.0,-0.7731,-0.7731,-0.7731,0.0,0.0,0.0,67473.9998,0.0,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.45,BEARISH,HIGH,1.9,67.8,74.1,18.5,58.5,1.9,74.3,FLOW_EXPANSION_BEARISH,7500.0,7445.0,7416.75
2026-06-08 18:38:00,1496332.0,4430592.0,11680668.0,40006218.0,2761.96,-4578.7,8225935.81,-10419937.0,31290725.0,-0.7729,-0.7729,-0.7729,-0.7249,7475.0,46868.0,-12668.358,-80142.3578,NEGATIVE,SHORT_GAMMA,PUT_PANIC,0.39,BEARISH,HIGH,7.2,70.1,78.7,20.8,67.8,16.9,74.3,FLOW_EXPANSION_BEARISH|LIQUIDATION_CASCADE,7420.0,7420.0,7417.25
2026-06-08 18:39:00,1502168.0,4432382.0,11708618.0,40034498.0,2762.11,-4577.47,8159224.06,-7814024.0,15659618.0,-0.7726,-0.7726,-0.7726,-0.6546,5835.0,27950.0,-66711.7465,-107164.0521,NEGATIVE,SHORT_GAMMA,PUT_PANIC,0.35,BEARISH,HIGH,15.9,71.6,81.6,31.0,73.8,31.9,74.3,FLOW_EXPANSION_BEARISH|LIQUIDATION_CASCADE,7460.0,7420.0,7416.5
2026-06-08 18:40:00,1505152.0,4439078.0,11709918.0,40034498.0,2761.02,-4579.1,8175607.55,-6251701.0,15653552.0,-0.7722,-0.7722,-0.7722,0.3932,2985.0,1300.0,16383.4839,-52566.9522,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.37,BEARISH,HIGH,16.3,77.8,83.5,37.7,77.7,16.9,89.3,FLOW_EXPANSION_BEARISH|LIQUIDATION_CASCADE,7520.0,7385.0,7418.5
2026-06-08 18:41:00,1508902.0,4447978.0,11714968.0,40043778.0,2760.43,-4582.28,8152329.05,-1003.0,-4222.0,-0.7718,-0.6039,-0.7718,-0.1477,3750.0,5050.0,-23278.5033,36242.5426,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.38,BEARISH,HIGH,11.3,73.1,84.7,33.3,69.8,1.9,64.3,,7420.0,7420.0,7417.5
2026-06-08 18:42:00,1519315.0,4451890.0,11718692.0,40065538.0,2764.61,-4588.9,8130501.11,1649.0,-23560.0,-0.7705,-0.4719,-0.7705,0.473,10412.0,3725.0,-21827.9353,2610.912,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.35,BEARISH,HIGH,13.3,64.8,85.5,26.9,64.6,16.9,49.3,,7360.0,7400.0,7416.5
2026-06-08 18:43:00,1520275.0,4452490.0,11720072.0,40065538.0,2764.35,-4588.13,8130126.63,-3574.0,-7044.0,-0.7704,-0.2441,-0.7704,-0.1795,960.0,1380.0,-374.4772,-7653.6965,NEGATIVE,SHORT_GAMMA,PUT_PANIC,0.36,BEARISH,HIGH,14.6,64.6,86.0,26.2,68.2,16.9,64.3,LIQUIDATION_CASCADE,7520.0,7385.0,7415.25
2026-06-08 18:44:00,1521210.0,4452715.0,11723272.0,40106332.0,2771.76,-4599.96,8126734.66,-11694.0,-9665.0,-0.7703,0.1302,-0.7703,-0.5478,935.0,3200.0,-3391.9699,20669.9957,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.38,BEARISH,HIGH,10.2,64.5,86.3,25.8,63.6,1.9,64.3,,7460.0,7420.0,7414.5
2026-06-08 18:45:00,1675095.0,4479215.0,11759432.0,40122428.0,2771.61,-4582.19,8232103.05,18278.0,47892.0,-0.7506,0.5488,-0.7506,0.6195,153885.0,36160.0,105368.3897,62089.4162,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.43,BEARISH,HIGH,7.3,73.0,86.6,22.0,71.1,1.9,88.8,FLOW_EXPANSION_BEARISH|LIQUIDATION_CASCADE,7140.0,7330.0,7411.25
2026-06-08 18:46:00,1675580.0,4497565.0,11764692.0,40138222.0,2769.78,-4591.8,8240684.43,14474.0,32286.0,-0.7507,0.5404,-0.7507,-0.8312,485.0,5260.0,8581.378,58858.1074,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.45,BEARISH,HIGH,5.4,73.3,86.7,23.1,69.0,1.9,73.8,FLOW_EXPANSION_BEARISH,7485.0,7400.0,7412.0
2026-06-08 18:47:00,1956162.0,4605442.0,11787332.0,40143822.0,2798.22,-4516.75,7997542.79,54730.0,120504.0,-0.7153,0.7284,-0.7153,0.8507,280582.0,22640.0,-243141.6369,-168268.3394,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.45,BEARISH,HIGH,4.2,73.2,86.6,23.8,67.6,1.9,72.9,FLOW_EXPANSION_BEARISH,7425.0,7410.0,7409.25
2026-06-08 18:48:00,1956162.0,4608462.0,11794012.0,40172778.0,2801.7,-4525.8,8002553.61,49323.0,-9932.0,-0.7155,0.7099,-0.7155,-1.0,0.0,6680.0,5010.8167,-176040.294,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.34,BEARISH,HIGH,8.7,64.3,79.5,24.2,63.2,16.9,47.9,,7430.0,7400.0,7410.25
2026-06-08 18:49:00,1956162.0,4624942.0,11823560.0,40198440.0,2796.53,-4525.27,8055315.39,54181.0,-8907.0,-0.7161,0.6253,-0.7161,-1.0,0.0,29548.0,52761.7788,146166.4272,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.34,BEARISH,HIGH,11.6,58.6,74.9,24.5,60.3,16.9,47.9,,7430.0,7360.0,7409.5
2026-06-08 18:50:00,1959762.0,4627822.0,11903340.0,40213160.0,2783.13,-4501.07,8062133.35,37847.0,-71376.0,-0.7173,0.3284,-0.7173,-0.9136,3600.0,79780.0,6817.9644,148855.2817,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.38,BEARISH,HIGH,8.2,60.1,79.0,24.7,58.4,1.9,62.9,,7455.0,7400.0,7409.25
2026-06-08 18:51:00,1966412.0,4630358.0,11906815.0,40224695.0,2785.51,-4502.63,8051998.63,42738.0,-65812.0,-0.7165,0.3435,0.2725,0.3136,6650.0,3475.0,-10134.7202,-30544.6757,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.35,BEARISH,HIGH,11.2,55.8,81.6,21.3,57.2,16.9,47.9,,7400.0,7400.0,7408.5
2026-06-08 18:52:00,1993318.0,4642932.0,11913678.0,40226538.0,2787.12,-4496.39,8065325.52,8659.0,46007.0,-0.7133,-0.5455,0.2863,0.5935,26905.0,6862.0,13326.8825,-28193.7904,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.44,BEARISH,HIGH,13.2,56.5,83.3,19.1,59.9,16.9,57.8,FLOW_EXPANSION_BEARISH,7365.0,7300.0,7407.0
2026-06-08 18:53:00,2005742.0,4686988.0,12068212.0,40247832.0,2751.63,-4476.01,8040152.97,34040.0,12412.0,-0.715,-0.6937,0.1359,-0.8512,12425.0,154535.0,-25172.5432,-4264.4525,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.41,BEARISH,HIGH,14.5,57.0,84.4,21.2,61.7,16.9,57.9,FLOW_EXPANSION_BEARISH,7415.0,7430.0,7406.25
