strike,oi_c,oi_p,vol_c,vol_p,oi_net,vol_net,gex,vex,dex,inv_gex,inv_vex_call,inv_vex_put,inv_net
765.0,3366.0,0.0,1184.0,0.0,3366.0,1184.0,2273871.1844176226,799840.6067589022,1109.3047347345885,166.83307631978533,166.83307631978533,0.0,1184.0
764.0,2694.0,0.0,3097.0,0.0,2694.0,3097.0,1964631.4344429723,2258523.9615701134,924.8120609012514,-470.38659789762977,-470.38659789762977,0.0,-3097.0
763.0,1296.0,0.0,6379.0,141.0,1296.0,6238.0,1025457.7490999488,4680405.8628041325,465.2040613470815,978.4218653999785,1049.510997952295,-71.08913255231646,6520.0
762.0,2509.0,0.0,2858.0,12.0,2509.0,2846.0,3026610.6419134443,3414058.7187455012,1468.6021098704684,703.4458189181339,703.4458189181339,0.0,2858.0
761.0,2593.0,0.0,1901.0,49.0,2593.0,1852.0,3410573.721668072,2352656.5866670413,1589.5160854168503,-509.3271162737262,-509.3271162737262,0.0,-1901.0
760.0,14312.0,1.0,15862.0,160.0,14311.0,15702.0,20653822.872731585,22371948.17428212,9134.491919112756,-4756.060074185106,-4654.995999143014,-101.06407504209143,-15702.0
759.0,1354.0,6.0,4117.0,677.0,1348.0,3440.0,2632903.1299399384,5666365.022511695,638.905764839759,-2084.832952304861,-1619.8889944406353,-464.94395786422575,-3440.0
758.0,2450.0,1.0,6569.0,93.0,2449.0,6476.0,6209899.2507856395,16299440.879876597,2825.404716777441,3239.7440646856753,3309.542928280545,-69.79886359486936,6662.0
757.0,1186.0,35.0,8322.0,376.0,1151.0,7946.0,3620756.5380153283,24849452.630646754,-1632.4145355999015,4899.829099248252,5210.004979623235,-310.17588037498393,8698.0
756.0,1110.0,20.0,9111.0,223.0,1090.0,8888.0,4591223.288044967,37397227.57392852,359.57089133422784,-7699.594599994331,-7489.933816887596,-209.66078310673458,-8888.0
755.0,3403.0,53.0,21565.0,815.0,3350.0,20750.0,18656183.249297395,114434146.43244857,4838.297371350084,22029.219706114567,23241.441503672166,-1212.2217975575993,22380.0
754.0,1417.0,2.0,11890.0,260.0,1415.0,11630.0,10356812.516908811,84306446.29707387,5468.429425309348,-16552.210426272748,-16552.210426272748,0.0,-11890.0
753.0,2223.0,71.0,12920.0,208.0,2152.0,12712.0,20263946.592054106,120254460.11683561,5953.1093860049705,22605.707115297493,23069.61110205875,-463.90398676125403,13128.0
752.0,2297.0,589.0,12843.0,210.0,1708.0,12633.0,19424661.885180287,151372852.0621067,-34521.85844658126,28157.13862120964,28690.509600871803,-533.3709796621636,13053.0
751.0,2117.0,272.0,13956.0,395.0,1845.0,13561.0,27226614.21156869,201124276.85891086,-2552.5041560421555,-39286.72264097025,-38167.01859811495,-1119.704042855299,-13561.0
750.0,7556.0,2077.0,73698.0,2194.0,5479.0,71504.0,98748079.17811908,1276874395.79705,-83562.0918837713,233129.51545688245,240120.1377392951,-6990.622282412664,75892.0
749.0,1568.0,1254.0,15258.0,948.0,314.0,14310.0,6491661.635215737,297876466.3000649,-79028.30535225867,53986.34184905361,57578.96300138398,-3592.6211523303637,16206.0
748.0,1543.0,480.0,19704.0,1418.0,1063.0,18286.0,24830011.619620312,429871679.03921205,-5044.733271979419,0.0,0.0,0.0,0.0
747.0,2861.0,522.0,26476.0,1351.0,2339.0,25125.0,60279695.33097511,650101349.7424403,36261.9208923607,122944.6246376289,122944.6246376289,0.0,26476.0
