strike,oi_c,oi_p,vol_c,vol_p,oi_net,vol_net,gex,vex,dex,inv_gex,inv_vex_call,inv_vex_put,inv_net
766.0,128.0,0.0,1220.0,0.0,128.0,1220.0,275596.38159498427,2626778.0120771937,212.8980900634538,465.50990395328665,465.50990395328665,0.0,1220.0
765.0,221.0,0.0,3686.0,13.0,221.0,3673.0,532750.9678243131,8885611.164707774,408.1279424697243,0.0,0.0,0.0,13.0
764.0,55.0,0.0,236.0,2.0,55.0,234.0,147071.04321525773,631068.4763418331,111.01252564298758,105.9924762212826,105.9924762212826,0.0,238.0
763.0,199.0,0.0,937.0,21.0,199.0,916.0,590679.3034790837,2781238.730451765,438.5403807914985,466.1880712870025,466.1880712870025,0.0,937.0
762.0,60.0,0.0,1269.0,4.0,60.0,1265.0,203834.71695320398,4311104.263560264,151.24593805700903,720.581470485712,720.581470485712,0.0,1273.0
761.0,62.0,0.0,1569.0,1.0,62.0,1568.0,250593.7636796949,6341638.955055505,190.6188968898003,1057.7180159824327,1057.7180159824327,0.0,1570.0
760.0,351.0,0.0,5296.0,35.0,351.0,5261.0,1596778.1835769943,24092698.747076247,1199.833475709409,4004.9473559685352,4004.9473559685352,0.0,5261.0
759.0,564.0,0.0,1369.0,2.0,564.0,1367.0,2975777.82890451,7223120.2974650245,2256.1553095204868,1197.0675729456173,1197.0675729456173,0.0,1371.0
758.0,3138.0,0.0,4035.0,5.0,3138.0,4030.0,19478929.562003147,25046998.33737498,15120.740878246595,4138.270024773994,4138.270024773994,0.0,4035.0
757.0,135.0,0.0,3653.0,26.0,135.0,3627.0,978529.0957490178,26478272.4946012,776.0045543703167,4358.403756329123,4358.403756329123,0.0,3679.0
756.0,69.0,0.0,3702.0,11.0,69.0,3691.0,584299.3763550952,31348931.757486414,476.6604271313014,5145.191932617505,5145.191932617505,0.0,3691.0
755.0,491.0,0.0,8332.0,148.0,491.0,8184.0,4830810.886571959,81976204.29107447,4060.5332165166915,-13399.543117798623,-13399.543117798623,0.0,-8332.0
754.0,487.0,0.0,7459.0,19.0,487.0,7440.0,5556871.343552376,85110273.82249933,4868.078650242803,13863.931493385371,13863.931493385371,0.0,7440.0
753.0,64.0,0.0,6261.0,8.0,64.0,6253.0,841162.9526615359,82289394.47834182,776.8629198524912,13355.983326794554,13355.983326794554,0.0,6261.0
752.0,189.0,0.0,11005.0,145.0,189.0,10860.0,2826008.8002717956,162665524.6901128,2753.408296755451,-26603.60287177785,-26603.60287177785,2.066830561150573e-28,-11150.0
751.0,130.0,0.0,12058.0,119.0,130.0,11939.0,2184086.279059041,200849436.5828684,2269.0083044305225,32632.493422648564,32632.493422648564,0.0,12058.0
750.0,1611.0,61.0,37830.0,248.0,1550.0,37582.0,28706451.0187944,696878588.7830299,28574.37683104948,-112704.65727509206,-112704.65727509206,0.0,-38078.0
749.0,129.0,1.0,11078.0,199.0,128.0,10879.0,2571640.6058853017,218308589.90601772,3096.792789552875,-35682.555365602115,-35682.555365602115,0.0,-10879.0
748.0,559.0,0.0,15779.0,1437.0,559.0,14342.0,11943124.691617453,301233811.0824413,16069.77235646049,-53899.975437874775,-53899.975437874775,0.0,-17216.0
747.0,188.0,1.0,11861.0,2796.0,187.0,9065.0,4179113.192751507,187920754.90891406,6118.641405722083,-42354.665034790676,-42354.665034790676,0.0,-11861.0
746.0,443.0,7.0,18764.0,3019.0,436.0,15745.0,9933717.638314523,342471794.8692652,16085.20108055865,-86403.44046459554,-68493.81377446398,-17909.626690131554,-15745.0
745.0,829.0,34.0,55464.0,10536.0,795.0,44928.0,18117062.361975726,973586268.1438756,32559.116480971163,-137494.55495611802,-203884.79862104863,66390.2436649306,-66000.0
744.0,393.0,45.0,120091.0,29942.0,348.0,90149.0,7698877.051811562,1892974466.2082806,15632.870220920913,624703.4785946751,438196.9075722277,186506.57102244734,90149.0
743.0,404.0,23.0,36551.0,42323.0,381.0,-5772.0,8404076.51111741,-355599446.3838191,19147.886249672978,-130989.7809698939,-130989.78096989388,0.0,-36551.0
742.0,1136.0,25.0,18888.0,23627.0,1111.0,-4739.0,23772431.305755198,-223386550.0219524,60397.72731930195,201871.10513190523,65333.972410291164,136537.13272161406,-4739.0
741.0,852.0,36.0,18848.0,30692.0,816.0,-11844.0,16750794.789519064,-387794336.17324686,47849.725218487365,-230271.1747420952,-63093.02131378744,-167178.15342830776,11844.0
740.0,1651.0,107.0,24462.0,36745.0,1544.0,-12283.0,29861228.40976485,-397591902.2809399,97238.46200218673,-186831.0233649988,0.0,-186831.0233649988,36745.0
739.0,464.0,28.0,9533.0,32624.0,436.0,-23091.0,7969919.472594961,-545458137.3013804,28940.518527324777,180858.3541277107,28855.616560683375,152002.73756702733,-23091.0
738.0,1940.0,65.0,5406.0,16119.0,1875.0,-10713.0,31367814.482782472,-238812937.88594326,127258.321172576,-15051.445971842382,-15051.445971842386,0.0,-5406.0
737.0,2890.0,53.0,5005.0,10072.0,2837.0,-5067.0,48207715.45356508,-104647309.16368425,203277.2856051927,-39291.831746078875,0.0,-39291.831746078875,10072.0
