strike,oi_c,oi_p,vol_c,vol_p,oi_net,vol_net,gex,vex,dex,inv_gex,inv_vex_call,inv_vex_put,inv_net
30790.0,5.0,0.0,43.0,0.0,5.0,43.0,647466.1286610184,5568208.706484759,9.827248129767819,-0.450391560703963,481.0245243194484,-481.47491588015237,61480.0
30780.0,3.0,0.0,24.0,1.0,3.0,23.0,377722.62882729684,2819599.6714657093,5.5267256557090025,0.11489803678698407,0.15008465870288773,-0.03518662191590366,11.0
30770.0,6.0,0.0,22.0,0.0,6.0,22.0,828104.0015278298,3036381.338935376,12.449066623343697,-0.11595389330750414,-0.11595389330750414,0.0,-5.0
30760.0,1.0,0.0,39.0,0.0,1.0,39.0,140938.8425849713,5496614.86081388,2.0951769941006058,-0.1886283845138786,-0.1886283845138786,0.0,-6.0
30750.0,59.0,1.0,139.0,0.0,58.0,139.0,8843932.287892086,21361277.739086118,42.789136231518974,0.30234812089571017,0.30234812089571017,0.0,3.0
30740.0,2.0,0.0,19.0,0.0,2.0,19.0,321496.14017846424,3054213.3316954104,4.918615680711524,-0.10908036896609019,462.23866722341864,-462.34774759238474,61400.0
30730.0,13.0,0.0,25.0,0.0,13.0,25.0,2136280.6255298457,4108231.9721727804,32.31532646132648,-0.19104696585546455,-0.19104696585546455,0.0,-10.0
30720.0,4.0,1.0,36.0,0.0,3.0,36.0,467256.4664598566,6397774.627168657,-84.17581170765168,0.03395568318757258,0.03395568318757258,0.0,1.0
30710.0,11.0,0.0,19.0,0.0,11.0,19.0,1980126.0406237459,3420217.7065319247,30.127061651483267,-0.10058200925435692,-0.10058200925435692,0.0,-2.0
30700.0,176.0,28.0,173.0,8.0,148.0,165.0,28963332.084601954,32589305.961027373,-2151.717595572144,0.35908434849314874,0.35908434849314874,0.0,9.0
30690.0,4.0,0.0,20.0,0.0,4.0,20.0,834598.4760643246,4172992.3803216238,13.29326156148265,0.12198996780585505,0.12198996780585505,0.0,4.0
30680.0,19.0,0.0,17.0,0.0,19.0,17.0,4113008.759707839,3680060.469212277,65.38342542488674,0.02764368066238812,0.02764368066238812,0.0,1.0
30670.0,18.0,0.0,27.0,0.0,18.0,27.0,4151820.070069014,6227730.105103522,67.22494605757473,0.19780940317167545,0.19780940317167545,0.0,7.0
30660.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,3156055.3265051246,0.0,0.1396329109952743,0.1396329109952743,0.0,5.0
30650.0,45.0,2.0,378.0,0.0,43.0,378.0,10990455.110554686,97219361.32543105,3.260519927911276,1.8274967600033705,1.8274967600033705,0.0,30.0
30640.0,8.0,0.0,21.0,0.0,8.0,21.0,2171855.304711377,5701120.174867364,36.60768068377544,-0.4813538454506401,-0.4813538454506401,0.0,-12.0
30630.0,1.0,2.0,23.0,0.0,-1.0,23.0,-335044.879336172,6423641.419461074,-184.04034739467448,-0.08073241183243896,-0.08073241183243896,0.0,-2.0
