strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
29630.0000,0.1713,0.0000,0.1713,0.0000,0.0000,8.0000,0.0000,-8.0000
29640.0000,0.0438,0.0000,0.0438,0.0000,0.0000,2.0000,0.0000,-2.0000
29650.0000,-1.5345,-0.0532,-1.4813,0.0000,3.0000,0.0000,64.0000,61.0000
29660.0000,0.4824,0.0000,0.4824,0.0000,0.0000,21.0000,0.0000,-21.0000
29680.0000,0.4480,0.0000,0.4480,0.0000,0.0000,21.0000,0.0000,-21.0000
29690.0000,-0.1798,0.0000,-0.1798,0.0000,0.0000,0.0000,8.0000,8.0000
29700.0000,0.0893,0.0000,0.0893,0.0000,0.0000,4.0000,0.0000,-4.0000
29710.0000,0.0687,0.0000,0.0687,0.0000,0.0000,3.0000,0.0000,-3.0000
29720.0000,0.1409,0.0000,0.1409,0.0000,0.0000,6.0000,0.0000,-6.0000
29730.0000,0.0219,0.0000,0.0219,0.0000,0.0000,1.0000,0.0000,-1.0000
29740.0000,0.0449,0.0000,0.0449,0.0000,0.0000,2.0000,0.0000,-2.0000
29750.0000,0.4309,0.0000,0.4309,0.0000,0.0000,18.0000,0.0000,-18.0000
29760.0000,0.0237,0.0000,0.0237,0.0000,0.0000,1.0000,0.0000,-1.0000
29770.0000,-0.0493,0.0000,-0.0493,0.0000,0.0000,0.0000,2.0000,2.0000
29790.0000,-0.0683,0.0000,-0.0683,0.0000,0.0000,0.0000,3.0000,3.0000
29800.0000,0.0781,-0.0427,0.1207,0.0000,2.0000,5.0000,0.0000,-7.0000
29810.0000,0.3949,0.0000,0.3949,0.0000,0.0000,17.0000,0.0000,-17.0000
29820.0000,0.3574,0.0000,0.3574,0.0000,0.0000,15.0000,0.0000,-15.0000
29830.0000,0.2197,0.0000,0.2197,0.0000,0.0000,9.0000,0.0000,-9.0000
29840.0000,0.2246,0.0000,0.2246,0.0000,0.0000,9.0000,0.0000,-9.0000
29850.0000,-0.0838,-0.0246,-0.0593,0.0000,1.0000,20.5000,20.5000,-1.0000
29860.0000,0.2879,0.0000,0.2879,0.0000,0.0000,11.0000,0.0000,-11.0000
29870.0000,0.2411,0.0000,0.2411,0.0000,0.0000,9.0000,0.0000,-9.0000
29880.0000,1.4318,0.0000,1.4318,0.0000,0.0000,52.0000,0.0000,-52.0000
29890.0000,0.3366,0.0000,0.3366,0.0000,0.0000,12.0000,0.0000,-12.0000
29900.0000,0.3803,0.0000,0.3803,0.0000,0.0000,16.5000,3.5000,-13.0000
29910.0000,0.7057,0.0000,0.7057,0.0000,0.0000,24.0000,0.0000,-24.0000
29930.0000,-0.1822,-0.1198,-0.0624,0.0000,4.0000,0.0000,2.0000,-2.0000
29940.0000,0.8182,0.0000,0.8182,0.0000,0.0000,26.0000,0.0000,-26.0000
29950.0000,0.7729,-0.0630,0.8359,0.0000,2.0000,26.0000,0.0000,-28.0000
29960.0000,-0.0333,0.0000,-0.0333,0.0000,0.0000,0.0000,1.0000,1.0000
29970.0000,0.2016,0.0000,0.2016,0.0000,0.0000,6.0000,0.0000,-6.0000
29980.0000,0.0027,0.0000,0.0027,0.0000,0.0000,2.0000,2.0000,0.0000
29990.0000,-0.1064,0.0000,-0.1064,0.0000,0.0000,0.0000,3.0000,3.0000
30000.0000,0.5709,0.0734,0.4975,2.5000,0.5000,21.0000,6.0000,-13.0000
30010.0000,-0.1451,-0.1451,0.0000,0.0000,4.0000,0.0000,0.0000,-4.0000
30020.0000,0.6402,-0.1479,0.7881,0.0000,4.0000,21.0000,0.0000,-25.0000
30030.0000,0.2684,0.0000,0.2684,0.0000,0.0000,7.0000,0.0000,-7.0000
30050.0000,2.4814,-0.0793,2.5607,0.0000,2.0000,64.0000,0.0000,-66.0000
30070.0000,-0.0450,0.0000,-0.0450,0.0000,0.0000,0.0000,1.0000,1.0000
30080.0000,-0.2990,0.0000,-0.2990,0.0000,0.0000,0.0000,7.0000,7.0000
30090.0000,0.0435,0.0000,0.0435,0.0000,0.0000,1.0000,0.0000,-1.0000
30100.0000,0.1791,-0.0443,0.2233,0.0000,1.0000,5.0000,0.0000,-6.0000
30110.0000,-1.2246,-0.0905,-1.1341,0.0000,2.0000,0.0000,25.0000,23.0000
30120.0000,-0.0946,-0.0924,-0.0021,0.0000,2.0000,1.0000,1.0000,-2.0000
30130.0000,0.4720,0.0000,0.4720,0.0000,0.0000,10.5000,0.5000,-10.0000
30140.0000,0.0482,0.0000,0.0482,0.0000,0.0000,1.0000,0.0000,-1.0000
30150.0000,0.8384,0.4398,0.3986,9.0000,0.0000,9.0000,1.0000,1.0000
30160.0000,-0.3500,0.0000,-0.3500,0.0000,0.0000,0.0000,7.0000,7.0000
30170.0000,0.0511,0.0000,0.0511,0.0000,0.0000,1.0000,0.0000,-1.0000
30180.0000,-0.3131,-0.2092,-0.1040,0.0000,4.0000,0.0000,2.0000,-2.0000
30190.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5000,1.5000,0.0000
30200.0000,3.3712,2.8970,0.4742,54.0000,0.0000,13.0000,4.0000,45.0000
30210.0000,0.1655,0.0000,0.1655,0.0000,0.0000,3.0000,0.0000,-3.0000
30220.0000,-0.0559,0.0000,-0.0559,0.0000,0.0000,0.0000,1.0000,1.0000
30230.0000,-0.5700,0.0000,-0.5700,0.0000,0.0000,0.0000,10.0000,10.0000
30240.0000,1.6878,0.0000,1.6878,0.0000,0.0000,29.0000,0.0000,-29.0000
30250.0000,8.5105,0.9366,7.5739,16.0000,0.0000,134.0000,6.0000,-112.0000
30260.0000,-0.0033,-0.0610,0.0577,0.0000,1.0000,3.0000,2.0000,-2.0000
30270.0000,0.1675,0.2421,-0.0746,4.0000,0.0000,0.0000,1.0000,5.0000
30280.0000,-0.0650,-0.2529,0.1879,0.0000,4.0000,3.0000,0.0000,-7.0000
30290.0000,-0.0647,0.1876,-0.2524,3.0000,0.0000,0.0000,4.0000,7.0000
30300.0000,5.8020,1.0810,4.7211,17.0000,0.0000,74.0000,7.0000,-50.0000
30310.0000,-0.0015,-0.2651,0.2636,0.0000,4.0000,4.0000,0.0000,-8.0000
30320.0000,0.4688,-0.0674,0.5362,0.0000,1.0000,8.0000,0.0000,-9.0000
30330.0000,1.0875,0.1336,0.9539,2.0000,0.0000,14.0000,0.0000,-12.0000
30340.0000,0.4845,-0.0695,0.5540,0.0000,1.0000,8.0000,0.0000,-9.0000
30350.0000,4.0733,0.6875,3.3858,10.0000,0.0000,48.0000,0.0000,-38.0000
30360.0000,0.5047,-0.2868,0.7915,0.0000,4.0000,11.0000,0.0000,-15.0000
30370.0000,1.2293,0.1415,1.0877,2.0000,0.0000,15.0000,0.0000,-13.0000
30380.0000,2.1065,0.9314,1.1751,13.0000,0.0000,16.0000,0.0000,-3.0000
30390.0000,-0.3012,-0.3758,0.0745,0.0000,5.0000,2.5000,1.5000,-6.0000
30400.0000,9.4510,8.8421,0.6090,120.0000,0.0000,9.0000,1.0000,112.0000
30410.0000,0.1489,-0.6939,0.8428,0.0000,9.0000,11.0000,0.0000,-20.0000
30420.0000,0.7660,0.4549,0.3111,6.0000,0.0000,4.0000,0.0000,2.0000
30430.0000,0.4704,-0.4745,0.9449,0.0000,6.0000,12.0000,0.0000,-18.0000
30440.0000,0.6437,-0.4803,1.1240,0.0000,6.0000,14.0000,0.0000,-20.0000
30450.0000,3.3994,2.9865,0.4128,38.0000,0.0000,5.0000,0.0000,33.0000
30460.0000,1.0620,0.0000,1.0620,0.0000,0.0000,13.0000,0.0000,-13.0000
30470.0000,1.5584,0.3203,1.2381,4.0000,0.0000,15.0000,0.0000,-11.0000
30480.0000,1.1570,0.1620,0.9949,2.0000,0.0000,16.5000,4.5000,-10.0000
30490.0000,1.8427,0.5740,1.2687,7.0000,0.0000,15.0000,0.0000,-8.0000
30500.0000,-0.1232,-0.5664,0.4432,11.0000,17.0000,18.0000,13.0000,-11.0000
30510.0000,0.3369,0.2506,0.0863,3.0000,0.0000,1.0000,0.0000,2.0000
30520.0000,2.2060,2.0323,0.1737,26.0000,2.0000,2.0000,0.0000,22.0000
30530.0000,1.8886,1.3624,0.5263,16.0000,0.0000,6.0000,0.0000,10.0000
30540.0000,1.6647,0.5168,1.1479,6.0000,0.0000,13.0000,0.0000,-7.0000
30550.0000,14.2463,8.5409,5.7054,100.0000,1.0000,64.0000,0.0000,35.0000
30560.0000,-0.4734,-0.4728,-0.0006,1.5000,6.5000,1.0000,1.0000,-5.0000
30570.0000,3.3804,2.2022,1.1782,25.0000,0.0000,13.0000,0.0000,12.0000
30580.0000,3.2231,2.1281,1.0950,24.0000,0.0000,12.0000,0.0000,12.0000
30590.0000,4.1186,3.2872,0.8314,37.0000,0.0000,9.5000,0.5000,28.0000
30600.0000,-0.6316,-2.0228,1.3912,15.0000,36.0000,18.5000,3.5000,-36.0000
