strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
704.0000,22.5068,3.0067,19.5000,4.0000,0.0000,99.0000,0.0000,-95.0000
705.0000,25.0926,0.0608,25.0318,2.0000,2.0000,184.0000,42.0000,-142.0000
706.0000,95.3034,-0.3781,95.6815,23.0000,7.0000,754.0000,1256.0000,518.0000
707.0000,328.6602,-3.2484,331.9086,40.5000,9.5000,2081.0000,2184.0000,134.0000
708.0000,-452.2302,44.5715,-496.8017,64.5000,9.5000,2031.0000,27802.0000,25826.0000
709.0000,-20.6578,6.7491,-27.4069,57.0000,8.0000,1533.0000,1500.0000,16.0000
710.0000,-251.6956,18.3676,-270.0632,71.5000,34.5000,5966.0000,4106.0000,-1823.0000
711.0000,35.7479,-3.0037,38.7515,29.0000,31.0000,2177.0000,4923.0000,2744.0000
712.0000,-936.7237,-15.3616,-921.3621,14.0000,30.0000,4740.0000,4886.0000,130.0000
713.0000,164.1465,-1.5582,165.7046,17.0000,11.0000,3901.0000,3409.0000,-486.0000
714.0000,-351.5530,-8.8275,-342.7254,479.5000,64.5000,5185.0000,6323.0000,1553.0000
715.0000,4069.6485,12.4796,4057.1689,328.0000,121.0000,9185.0000,6669.0000,-2309.0000
716.0000,-44.8751,6.1204,-50.9955,58.0000,76.0000,10228.0000,13465.0000,3219.0000
717.0000,5194.4856,-11.0435,5205.5292,250.0000,218.0000,17820.0000,10874.0000,-6914.0000
718.0000,5920.1811,-8.1584,5928.3394,108.5000,147.5000,13373.0000,10759.0000,-2653.0000
719.0000,-5519.9262,103.9859,-5623.9121,225.5000,164.5000,18002.0000,15860.0000,-2081.0000
720.0000,13945.8559,188.9767,13756.8791,386.5000,319.5000,58985.0000,54217.0000,-4701.0000
721.0000,23935.5943,108.4130,23827.1813,276.0000,144.0000,30527.0000,21203.0000,-9192.0000
722.0000,-14658.5319,260.2424,-14918.7743,461.0000,371.0000,31085.5000,40533.5000,9538.0000
723.0000,12700.3566,1830.6686,10869.6880,1484.5000,1259.5000,42296.0000,39923.0000,-2148.0000
724.0000,-30451.7579,876.4171,-31328.1750,1819.0000,1019.0000,41109.0000,42308.0000,1999.0000
725.0000,-69474.1031,3214.0270,-72688.1301,4116.5000,3085.5000,102924.0000,111310.0000,9417.0000
726.0000,-22545.3445,-8786.9519,-13758.3926,2974.5000,4290.5000,89181.0000,90544.0000,47.0000
727.0000,-74094.1594,-8808.7186,-65285.4408,5607.0000,7004.0000,106291.0000,117301.0000,9613.0000
728.0000,108693.3162,-1353.1490,110046.4651,21200.0000,21480.0000,145869.0000,126212.0000,-19937.0000
729.0000,27562.2223,-67336.7225,94898.9448,41120.0000,51496.0000,141195.0000,125127.0000,-26444.0000
730.0000,5402.4408,-239249.3881,244651.8289,53346.5000,88261.5000,350256.5000,304919.5000,-80252.0000
731.0000,1724219.8134,109563.4189,1614656.3945,66244.5000,67209.5000,285830.5000,230932.5000,-55863.0000
732.0000,-867102.5661,-436300.4006,-430802.1655,134933.5000,171065.5000,348753.0000,390544.0000,5659.0000
733.0000,145131.2252,-1418088.9387,1563220.1638,211293.5000,288687.5000,398195.0000,289759.0000,-185830.0000
734.0000,1181544.3683,291909.3416,889635.0267,283586.5000,289847.5000,331547.5000,249006.5000,-88802.0000
735.0000,-140901.5912,-524582.9942,383681.4030,330295.5000,382542.5000,181470.0000,154412.0000,-79305.0000
736.0000,531039.2982,351205.5619,179833.7363,255229.5000,230585.5000,67187.5000,54357.5000,11814.0000
737.0000,-56288.8265,-39096.7297,-17192.0967,166922.5000,187150.5000,18896.0000,20862.0000,-18262.0000
738.0000,-138326.3814,-150480.0043,12153.6229,97806.0000,133292.0000,11115.0000,9056.0000,-37545.0000
739.0000,74257.9335,71169.9075,3088.0260,91904.0000,86362.0000,5586.0000,4456.0000,4412.0000
740.0000,23597.7168,27988.0773,-4390.3605,106993.0000,115389.0000,4385.0000,5842.0000,-6939.0000
741.0000,13346.6926,12147.0708,1199.6218,33464.0000,31433.0000,1330.5000,1018.5000,1719.0000
742.0000,658.4986,478.0056,180.4930,18800.0000,19743.0000,542.0000,493.0000,-992.0000
743.0000,-3218.6461,-3196.6653,-21.9808,12645.0000,19166.0000,365.5000,415.5000,-6471.0000
744.0000,-672.1910,-552.7814,-119.4096,3400.0000,15896.0000,329.0000,417.0000,-12408.0000
745.0000,-229.1628,-494.8571,265.6943,7792.0000,9501.0000,1091.5000,432.5000,-2368.0000
746.0000,-3023.5985,-3066.8509,43.2524,2370.0000,14221.0000,124.5000,83.5000,-11892.0000
747.0000,-1581.2075,-1637.2202,56.0127,7164.0000,8856.0000,222.5000,172.5000,-1742.0000
748.0000,199.1817,-1613.2703,1812.4520,1583.0000,7301.0000,1590.5000,119.5000,-7189.0000
749.0000,172.9147,205.8781,-32.9635,4643.0000,2439.0000,27.0000,58.0000,2235.0000
750.0000,486.2542,500.6031,-14.3488,4847.0000,0.0000,164.0000,222.0000,4905.0000
751.0000,24.9007,19.6731,5.2276,230.0000,0.0000,34.5000,45.5000,241.0000
752.0000,9.6717,12.7750,-3.1033,2387.0000,0.0000,35.5000,2263.5000,4615.0000
753.0000,20.6165,9.5079,11.1086,136.0000,0.0000,55.0000,55.0000,136.0000
754.0000,-0.8623,4.5110,-5.3733,751.0000,0.0000,4.0000,746.0000,1493.0000
755.0000,12.0050,12.0050,-0.0000,759.0000,0.0000,5.5000,748.5000,1502.0000
756.0000,23.7507,27.2467,-3.4959,1598.0000,0.0000,5.0000,2244.0000,3837.0000
757.0000,24.9127,27.1171,-2.2044,1238.0000,0.0000,3.0000,1505.0000,2740.0000
758.0000,4.0815,9.3430,-5.2614,1375.0000,0.0000,21.5000,1435.5000,2789.0000
759.0000,1.4863,1.4863,0.0000,22.0000,0.0000,5.0000,5.0000,22.0000
