strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
14.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-1.0000
14.5000,126.9251,126.9251,0.0000,30.0000,0.0000,5.0000,5.0000,30.0000
15.0000,-44.9435,-122.2959,77.3524,19.0000,42.0000,22.0000,11.0000,-34.0000
15.5000,657.8479,-0.2625,658.1104,1.0000,1.0000,175.0000,79.0000,-96.0000
16.0000,24704.0018,128.7738,24575.2280,25.5000,6.5000,5034.0000,1772.0000,-3243.0000
16.5000,-125.2926,0.0000,-125.2926,15.5000,15.5000,66.0000,86.0000,20.0000
17.0000,-186050.1432,-83.5548,-185966.5884,70.0000,78.0000,2084.0000,16900.0000,14808.0000
17.5000,26901.6353,32.6731,26868.9623,53.5000,50.5000,1730.0000,130.0000,-1597.0000
18.0000,-120960.7515,2206.4589,-123167.2104,469.5000,209.5000,4273.5000,11695.5000,7682.0000
18.5000,64374.3443,17759.7114,46614.6330,3167.0000,1219.0000,4065.5000,1241.5000,-876.0000
19.0000,320.2765,856.1944,-535.9179,251.5000,141.5000,642.5000,655.5000,123.0000
19.5000,-5761.4287,-3783.2629,-1978.1658,92.5000,584.5000,0.0000,84.0000,-408.0000
20.0000,8221.7637,7983.5223,238.2413,2753.5000,1701.5000,408.0000,299.0000,943.0000
20.5000,4535.6289,4057.4212,478.2076,897.0000,345.0000,55.5000,13.5000,510.0000
21.0000,38973.2801,39062.3090,-89.0289,6558.5000,948.5000,131.5000,145.5000,5624.0000
21.5000,6955.3336,6955.3336,0.0000,1750.5000,738.5000,41.5000,11.5000,982.0000
22.0000,-18450.7271,-18450.7271,0.0000,689.0000,3509.0000,256.0000,3252.0000,176.0000
22.5000,-2096.8033,-2096.8033,0.0000,2066.0000,2407.0000,0.0000,0.0000,-341.0000
23.0000,3516.8212,3516.8212,0.0000,947.5000,341.5000,75.0000,69.0000,600.0000
23.5000,-5669.0047,-5669.0047,0.0000,210.0000,1210.0000,0.0000,10.0000,-990.0000
24.0000,-3764.5616,-3764.5616,0.0000,180.0000,875.0000,24.0000,502.0000,-217.0000
24.5000,2521.4575,2521.4575,0.0000,583.0000,65.0000,2.0000,0.0000,516.0000
25.0000,-1107.5562,-1107.5562,0.0000,842.5000,1065.5000,263.0000,124.0000,-362.0000
26.0000,1693.3707,1693.3707,0.0000,397.0000,3.0000,6.5000,6.5000,394.0000
27.0000,5662.2280,5662.2280,0.0000,1530.0000,15.0000,112.0000,22.0000,1425.0000
28.0000,15189.1761,15189.1761,0.0000,4355.5000,165.5000,0.0000,0.0000,4190.0000
29.0000,0.0000,0.0000,0.0000,5.5000,6.5000,0.0000,0.0000,-1.0000
30.0000,-84.7534,-84.7534,0.0000,2865.5000,6209.5000,11.5000,6.5000,-3349.0000
31.0000,0.0000,0.0000,0.0000,1.5000,10.5000,0.0000,0.0000,-9.0000
32.0000,0.0000,0.0000,0.0000,27.0000,3.0000,0.0000,0.0000,24.0000
33.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000,-4.0000
34.0000,0.0000,0.0000,0.0000,8.0000,32.0000,0.0000,0.0000,-24.0000
35.0000,0.0000,0.0000,0.0000,112.0000,129.0000,0.0000,0.0000,-17.0000
37.0000,0.0000,0.0000,0.0000,3002.0000,12.0000,0.0000,0.0000,2990.0000
38.0000,0.0000,0.0000,0.0000,1.5000,35.5000,0.0000,0.0000,-34.0000
40.0000,0.0000,0.0000,0.0000,7.0000,959.0000,0.0000,0.0000,-952.0000
45.0000,0.0000,0.0000,0.0000,22.0000,806.0000,0.0000,0.0000,-784.0000
50.0000,0.0000,0.0000,0.0000,42.0000,53.0000,0.0000,0.0000,-11.0000
55.0000,0.0000,0.0000,0.0000,2515.0000,12.0000,0.0000,0.0000,2503.0000
60.0000,0.0000,0.0000,0.0000,0.0000,53.0000,0.0000,0.0000,-53.0000
65.0000,0.0000,0.0000,0.0000,6.5000,114.5000,0.0000,0.0000,-108.0000
70.0000,0.0000,0.0000,0.0000,425.0000,209.0000,0.0000,0.0000,216.0000
80.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.0000,0.0000,15.0000
