strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
695.0000,-633.6135,0.0000,-633.6135,20.0000,0.0000,0.0000,3305.0000,3325.0000
696.0000,2451.6329,0.0000,2451.6329,13.0000,0.0000,5623.0000,0.0000,-5610.0000
697.0000,1554.7744,0.0000,1554.7744,0.5000,0.5000,4829.0000,46.0000,-4783.0000
698.0000,550.7201,0.0000,550.7201,0.0000,0.0000,2612.0000,1485.0000,-1127.0000
699.0000,207.3866,0.0000,207.3866,0.5000,0.5000,2946.0000,2143.0000,-803.0000
700.0000,-342.5888,-26.3260,-316.2628,110.0000,122.0000,4677.0000,5737.0000,1048.0000
701.0000,742.9983,-1.9948,744.9931,24.0000,57.0000,3335.0000,1978.0000,-1390.0000
702.0000,479.3758,-1.6579,481.0337,14.0000,18.0000,3385.0000,2597.0000,-792.0000
703.0000,762.1279,-37.6815,799.8095,17.5000,88.5000,4197.0000,3794.0000,-474.0000
704.0000,-535.2370,-1.6393,-533.5977,22.0000,36.0000,7674.5000,11485.5000,3797.0000
705.0000,1533.1644,-76.2456,1609.4100,365.5000,264.5000,7809.0000,4576.0000,-3132.0000
706.0000,912.2791,-15.7487,928.0278,114.0000,80.0000,5506.0000,3270.0000,-2202.0000
707.0000,1262.1993,28.2662,1233.9331,174.5000,76.5000,5243.5000,3547.5000,-1598.0000
708.0000,6635.4078,28.0760,6607.3318,92.5000,88.5000,8742.0000,4667.0000,-4071.0000
709.0000,-563.8158,-64.3715,-499.4443,112.5000,150.5000,5482.0000,6097.0000,577.0000
710.0000,-1294.9815,50.7973,-1345.7787,501.5000,269.5000,15268.0000,14773.0000,-263.0000
711.0000,-55.0293,-55.6670,0.6377,192.5000,182.5000,8321.0000,7622.0000,-689.0000
712.0000,2718.3551,150.9494,2567.4057,686.0000,423.0000,17145.0000,13201.0000,-3681.0000
713.0000,2007.9483,-163.5920,2171.5403,188.5000,379.5000,12441.5000,12093.5000,-539.0000
714.0000,2995.1033,1175.6734,1819.4299,757.5000,593.5000,12884.0000,11800.0000,-920.0000
715.0000,27567.9500,3066.2262,24501.7238,2212.0000,1201.0000,40623.5000,31961.5000,-7651.0000
716.0000,9530.1080,-162.9051,9693.0131,948.5000,938.5000,19152.0000,17526.0000,-1616.0000
717.0000,22029.9034,-980.0374,23009.9408,1021.0000,1279.0000,31593.0000,22891.0000,-8960.0000
718.0000,-10284.4195,-3360.7395,-6923.6800,3270.0000,3928.0000,41253.5000,41617.5000,-294.0000
719.0000,76162.4471,-5575.8252,81738.2723,6915.0000,7440.0000,55876.5000,41994.5000,-14407.0000
720.0000,-144925.6010,-15462.3557,-129463.2453,31412.5000,33680.5000,110641.5000,124336.5000,11427.0000
721.0000,104615.4522,8788.3337,95827.1185,43179.5000,42091.5000,92201.5000,78308.5000,-12805.0000
722.0000,221562.4118,91321.3863,130241.0255,81331.0000,68580.0000,90158.5000,70745.5000,-6662.0000
