Time,Activo,Type,Direction,NumStrikes,TotalContracts,TotalPremium,IsLadder,SPOT
2026-07-22 17:44:19,QQQ,BULLISH_CALL_SWEEP,BULLISH,9,128773,28054336.0,True,702.58
2026-07-22 17:44:19,QQQ,BEARISH_PUT_SWEEP,BEARISH,7,54007,14362407.0,True,702.58
2026-07-22 17:44:19,QQQ,VOL_CRUSH_SWEEP,NEUTRAL,,,68236952.0,,702.58
2026-07-22 21:12:34,QQQ,BULLISH_CALL_SWEEP,BULLISH,9,128773,28054336.0,True,705.09
2026-07-22 21:12:34,QQQ,BEARISH_PUT_SWEEP,BEARISH,7,54007,14362407.0,True,705.09
2026-07-22 21:12:34,QQQ,VOL_CRUSH_SWEEP,NEUTRAL,,,68236952.0,,705.09
2026-07-23 00:00:34,QQQ,BULLISH_CALL_SWEEP,BULLISH,9,128773,28054336.0,True,704.57
2026-07-23 00:00:34,QQQ,BEARISH_PUT_SWEEP,BEARISH,7,54007,14362407.0,True,704.57
2026-07-23 00:00:34,QQQ,VOL_CRUSH_SWEEP,NEUTRAL,,,68236952.0,,704.57
2026-07-23 08:32:19,QQQ,BULLISH_CALL_SWEEP,BULLISH,3,6665,1359250.0,True,694.95
2026-07-23 08:34:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,695.17
2026-07-23 08:35:19,QQQ,BULLISH_CALL_SWEEP,BULLISH,3,4792,914189.0,True,695.67
2026-07-23 08:35:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,695.67
2026-07-23 08:37:21,QQQ,BULLISH_CALL_SWEEP,BULLISH,3,5743,1477260.0,True,696.52
2026-07-23 08:38:20,QQQ,BULLISH_CALL_SWEEP,BULLISH,3,4481,1222371.0,True,697.02
2026-07-23 08:39:25,QQQ,BULLISH_CALL_SWEEP,BULLISH,4,7611,2154523.0,True,696.62
2026-07-23 08:43:19,QQQ,BULLISH_CALL_SWEEP,BULLISH,4,9330,2581903.0,True,698.45
2026-07-23 08:44:19,QQQ,BULLISH_CALL_SWEEP,BULLISH,3,9458,1164803.0,True,698.4
2026-07-23 08:44:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,698.4
2026-07-23 08:49:19,QQQ,VOL_CRUSH_SWEEP,NEUTRAL,,,1639308.0,,696.5
2026-07-23 08:50:19,QQQ,BEARISH_PUT_SWEEP,BEARISH,3,6396,1981403.0,True,695.84
2026-07-23 08:50:19,QQQ,HEDGE_CHASE_SWEEP,BEARISH,,,,,695.84
2026-07-23 08:51:19,QQQ,BEARISH_PUT_SWEEP,BEARISH,3,4024,1119926.0,True,696.0
2026-07-23 08:52:19,QQQ,BEARISH_PUT_SWEEP,BEARISH,3,4920,1981224.0,True,695.14
2026-07-23 08:53:19,QQQ,VOL_CRUSH_SWEEP,NEUTRAL,,,2019574.0,,695.44
2026-07-23 08:55:19,QQQ,BULLISH_CALL_SWEEP,BULLISH,3,7317,1957809.0,True,697.26
2026-07-23 08:56:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,696.42
2026-07-23 08:59:19,QQQ,BEARISH_PUT_SWEEP,BEARISH,3,5551,1470469.0,True,694.87
2026-07-23 08:59:19,QQQ,HEDGE_CHASE_SWEEP,BEARISH,,,,,694.87
2026-07-23 09:02:19,QQQ,VOL_CRUSH_SWEEP,NEUTRAL,,,1684799.0,,694.64
2026-07-23 09:02:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,694.64
2026-07-23 09:06:19,QQQ,BULLISH_CALL_SWEEP,BULLISH,3,3301,986614.0,True,696.5
2026-07-23 09:10:19,QQQ,BEARISH_PUT_SWEEP,BEARISH,3,6214,1743341.0,True,695.46
2026-07-23 09:37:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,694.17
2026-07-23 09:38:19,QQQ,BULLISH_CALL_SWEEP,BULLISH,3,5769,1437258.0,True,695.27
2026-07-23 09:38:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,695.27
2026-07-23 09:43:19,QQQ,HEDGE_CHASE_SWEEP,BEARISH,,,,,693.25
2026-07-23 09:44:19,QQQ,BEARISH_PUT_SWEEP,BEARISH,3,4560,1058022.0,True,692.99
2026-07-23 09:48:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,692.65
2026-07-23 09:54:19,QQQ,HEDGE_CHASE_SWEEP,BEARISH,,,,,691.61
2026-07-23 10:02:19,QQQ,BEARISH_PUT_SWEEP,BEARISH,3,5292,1214543.0,True,691.57
2026-07-23 10:06:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,690.49
2026-07-23 10:16:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,689.5
2026-07-23 10:23:19,QQQ,HEDGE_CHASE_SWEEP,BEARISH,,,,,689.33
2026-07-23 10:31:19,QQQ,BEARISH_PUT_SWEEP,BEARISH,3,4805,1220372.0,True,687.86
2026-07-23 10:32:19,QQQ,BULLISH_CALL_SWEEP,BULLISH,4,5795,1476611.0,True,688.96
2026-07-23 10:46:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,689.47
2026-07-23 10:59:19,QQQ,BULLISH_CALL_SWEEP,BULLISH,3,3917,919132.0,True,691.55
2026-07-23 11:04:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,692.12
2026-07-23 11:10:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,692.41
2026-07-23 11:11:20,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,692.5
2026-07-23 11:25:20,QQQ,BULLISH_CALL_SWEEP,BULLISH,6,49890,9311262.0,True,693.97
2026-07-23 11:25:20,QQQ,BEARISH_PUT_SWEEP,BEARISH,5,27846,3256266.0,True,693.97
2026-07-23 11:25:20,QQQ,VOL_CRUSH_SWEEP,NEUTRAL,,,8158922.0,,693.97
2026-07-23 11:26:19,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,693.92
2026-07-23 12:37:17,QQQ,BULLISH_CALL_SWEEP,BULLISH,16,863418,110333258.0,True,691.5
2026-07-23 12:37:17,QQQ,BEARISH_PUT_SWEEP,BEARISH,15,560066,110383497.0,True,691.5
2026-07-23 12:37:17,QQQ,VOL_CRUSH_SWEEP,NEUTRAL,,,249833205.0,,691.5
2026-07-23 13:14:15,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,691.12
2026-07-23 13:28:15,QQQ,HEDGE_CHASE_SWEEP,BEARISH,,,,,691.06
2026-07-23 13:29:15,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,691.12
2026-07-23 13:38:15,QQQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,690.95
2026-07-23 13:38:15,QQQ,HEDGE_CHASE_SWEEP,BEARISH,,,,,690.95
2026-07-23 14:28:15,QQQ,BULLISH_CALL_SWEEP,BULLISH,14,1209841,101980439.0,True,691.28
2026-07-23 14:28:15,QQQ,BEARISH_PUT_SWEEP,BEARISH,14,1546634,206872844.0,True,691.28
2026-07-23 14:28:15,QQQ,VOL_CRUSH_SWEEP,NEUTRAL,,,126458305.0,,691.28
