Time,Activo,Type,Direction,NumStrikes,TotalContracts,TotalPremium,IsLadder,SPOT
2026-08-03 17:37:16,SPY,BULLISH_CALL_SWEEP,BULLISH,6,212062,32424058.0,True,758.27
2026-08-03 17:37:16,SPY,BEARISH_PUT_SWEEP,BEARISH,7,296434,18859035.0,True,758.27
2026-08-03 17:37:16,SPY,VOL_CRUSH_SWEEP,NEUTRAL,,,146443146.0,,758.27
2026-08-04 00:00:17,SPY,BULLISH_CALL_SWEEP,BULLISH,6,212062,32424058.0,True,759.38
2026-08-04 00:00:17,SPY,BEARISH_PUT_SWEEP,BEARISH,7,296434,18859035.0,True,759.38
2026-08-04 00:00:17,SPY,VOL_CRUSH_SWEEP,NEUTRAL,,,146443146.0,,759.38
2026-08-04 08:34:17,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,761.74
2026-08-04 09:22:18,SPY,BULLISH_CALL_SWEEP,BULLISH,3,14675,2238294.0,True,764.6
2026-08-04 09:23:17,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,764.34
2026-08-04 09:39:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,764.99
2026-08-04 09:58:17,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,766.14
2026-08-04 10:02:17,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,766.53
2026-08-04 10:09:17,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,766.57
2026-08-04 10:21:17,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,767.38
2026-08-04 10:40:17,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,767.93
2026-08-04 11:02:17,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,768.83
2026-08-04 12:19:18,SPY,HEDGE_CHASE_SWEEP,BEARISH,,,,,771.36
2026-08-04 12:36:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,771.45
2026-08-04 12:42:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,772.17
2026-08-04 12:54:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,771.99
2026-08-04 13:03:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,771.71
2026-08-04 13:13:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,771.79
2026-08-04 13:14:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,771.91
2026-08-04 13:20:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,772.12
2026-08-04 13:29:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,772.27
2026-08-04 13:35:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,772.21
2026-08-04 13:43:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,771.55
2026-08-04 14:03:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,772.82
2026-08-04 14:52:18,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,772.28
