strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
7435.0000,0.0000,0.0000,0.0000,0.0000,1.0000,39.0000,39.0000,-1.0000
7440.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.5000,0.5000,-3.0000
7445.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.5000,27.5000,0.0000
7450.0000,0.0000,0.0000,0.0000,0.0000,6.0000,210.0000,210.0000,-6.0000
7455.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.5000,30.5000,0.0000
7460.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,-1.0000
7465.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5000,1.5000,0.0000
7470.0000,0.0000,0.0000,0.0000,0.0000,3.0000,24.0000,24.0000,-3.0000
7475.0000,0.0000,0.0000,0.0000,0.0000,1.0000,24.0000,24.0000,-1.0000
7480.0000,0.0000,0.0000,0.0000,0.0000,6.0000,261.5000,261.5000,-6.0000
7485.0000,0.0000,0.0000,0.0000,0.0000,4.0000,13.5000,13.5000,-4.0000
7490.0000,0.0000,0.0000,0.0000,1.0000,0.0000,127.5000,127.5000,1.0000
7495.0000,0.0000,-0.0000,0.0000,0.0000,1.0000,10.0000,10.0000,-1.0000
7500.0000,0.0000,0.0000,0.0000,4.0000,0.0000,437.0000,437.0000,4.0000
7505.0000,0.0000,0.0000,0.0000,1.0000,0.0000,16898.5000,16898.5000,1.0000
7510.0000,0.0000,-0.0000,0.0000,0.0000,15.0000,209.0000,209.0000,-15.0000
7515.0000,0.0000,-0.0000,0.0000,0.0000,1.0000,0.5000,0.5000,-1.0000
7520.0000,0.0000,-0.0000,0.0000,0.0000,93.0000,48.0000,48.0000,-93.0000
7525.0000,0.0000,0.0000,0.0000,2.0000,0.0000,597.0000,597.0000,2.0000
7530.0000,0.0000,-0.0000,0.0000,0.0000,1.0000,55.0000,55.0000,-1.0000
7535.0000,0.0000,-0.0000,0.0000,0.0000,1.0000,49.0000,49.0000,-1.0000
7540.0000,0.0000,-0.0000,0.0000,0.0000,5.0000,204.0000,204.0000,-5.0000
7545.0000,0.0000,-0.0000,0.0000,0.0000,50.0000,121.5000,121.5000,-50.0000
7550.0000,0.0000,0.0000,0.0000,1.0000,0.0000,768.0000,768.0000,1.0000
7555.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.5000,50.5000,0.0000
7560.0000,0.0000,-0.0000,0.0000,0.0000,3.0000,1.5000,1.5000,-3.0000
