Time,Activo,SPOT,pin_probability,liquidity_void_score,dealer_trap_score,nearest_wall_strike,magnet_strike,wall_above_strike,wall_below_strike
2026-08-15 12:41:53,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
2026-08-15 12:42:53,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
2026-08-15 12:43:53,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
2026-08-15 12:44:53,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
2026-08-15 12:45:53,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
2026-08-15 12:46:52,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
2026-08-15 12:47:53,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
2026-08-15 12:48:53,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
2026-08-15 12:49:53,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
2026-08-15 12:50:53,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
2026-08-15 12:51:53,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
2026-08-15 12:52:54,TLT,82.04,0.55,0.0,0.0,83.0,82.0,83.0,80.0
