Time,Activo,Type,Direction,NumStrikes,TotalContracts,TotalPremium,IsLadder,SPOT
2026-08-19 17:46:45,GLD,BULLISH_CALL_SWEEP,BULLISH,21,49019,30419795.0,True,414.27
2026-08-19 17:46:45,GLD,BEARISH_PUT_SWEEP,BEARISH,3,2430,508319.0,True,414.27
2026-08-19 17:46:45,GLD,VOL_CRUSH_SWEEP,NEUTRAL,,,3604936.0,,414.27
2026-08-20 00:00:45,GLD,BULLISH_CALL_SWEEP,BULLISH,22,50554,32244526.0,True,411.81
2026-08-20 00:00:45,GLD,BEARISH_PUT_SWEEP,BEARISH,3,2430,508319.0,True,411.81
2026-08-20 00:00:45,GLD,VOL_CRUSH_SWEEP,NEUTRAL,,,3604936.0,,411.81
2026-08-20 08:32:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,410.24
2026-08-20 08:36:00,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,411.34
2026-08-20 08:39:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,411.15
2026-08-20 09:00:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,411.39
2026-08-20 09:02:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,411.67
2026-08-20 09:05:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,411.08
2026-08-20 09:10:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,411.18
2026-08-20 09:12:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,411.45
2026-08-20 09:13:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,411.42
2026-08-20 09:17:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,411.4
2026-08-20 09:23:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,411.78
2026-08-20 09:26:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,411.63
2026-08-20 09:36:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,412.64
2026-08-20 09:36:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,412.64
2026-08-20 09:45:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,412.77
2026-08-20 09:47:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,413.01
2026-08-20 09:48:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,413.19
2026-08-20 09:52:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,413.39
2026-08-20 10:00:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,414.34
2026-08-20 10:08:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,415.49
2026-08-20 10:17:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,416.24
2026-08-20 10:24:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,415.09
2026-08-20 10:27:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,415.69
2026-08-20 10:28:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,415.6
2026-08-20 10:53:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,414.35
2026-08-20 10:54:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,414.43
2026-08-20 11:05:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,414.46
2026-08-20 11:08:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,414.56
2026-08-20 11:09:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,414.51
2026-08-20 11:13:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,413.9
2026-08-20 11:15:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,413.46
2026-08-20 11:20:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,413.73
2026-08-20 11:24:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,413.74
2026-08-20 11:36:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,413.77
2026-08-20 11:36:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,413.77
2026-08-20 11:39:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,413.35
2026-08-20 11:42:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,413.41
2026-08-20 11:52:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,413.56
2026-08-20 12:02:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,413.68
2026-08-20 12:40:59,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,414.21
2026-08-20 12:52:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,414.34
2026-08-20 13:00:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,414.55
2026-08-20 13:13:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,413.58
2026-08-20 13:31:59,GLD,HEDGE_CHASE_SWEEP,BEARISH,,,,,414.54
2026-08-20 13:48:05,GLD,HEDGE_CHASE_SWEEP,BULLISH,,,,,414.43
