strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
112.0000,0.0000,0.0000,0.0000,86.5000,90.5000,0.0000,49.0000,45.0000
113.0000,-0.0000,-0.0000,0.0000,29.5000,33.5000,0.0000,0.0000,-4.0000
114.0000,0.0000,0.0000,0.0000,33.0000,21.0000,0.0000,43.0000,55.0000
115.0000,0.0000,0.0000,0.0000,77.5000,46.5000,0.0000,70.0000,101.0000
116.0000,0.0000,0.0000,0.0000,61.0000,53.0000,0.0000,14.0000,22.0000
117.0000,0.0000,0.0000,0.0000,80.0000,71.0000,0.0000,1.0000,10.0000
118.0000,0.0000,0.0000,0.0000,21.0000,13.0000,0.0000,5.0000,13.0000
119.0000,-0.0000,-0.0000,0.0000,21.0000,65.0000,0.0000,1.0000,-43.0000
120.0000,0.0000,0.0000,0.0000,112.5000,87.5000,0.0000,8.0000,33.0000
121.0000,0.0000,0.0000,0.0000,22.5000,19.5000,0.0000,3.0000,6.0000
122.0000,0.0000,0.0000,0.0000,84.5000,89.5000,4.0000,21.0000,12.0000
123.0000,-1.0663,0.0000,-1.0663,44.5000,14.5000,1.0000,5.0000,34.0000
124.0000,0.0000,0.0000,0.0000,38.5000,16.5000,51.0000,50.0000,21.0000
125.0000,109.0360,0.5697,108.4663,141.0000,74.0000,164.5000,34.5000,-63.0000
126.0000,-44.9519,0.0000,-44.9519,22.0000,21.0000,10.5000,81.5000,72.0000
127.0000,150.0040,44.9693,105.0347,89.0000,16.0000,723.5000,232.5000,-418.0000
128.0000,-43.5558,-70.2642,26.7084,43.5000,62.5000,255.0000,151.0000,-123.0000
129.0000,-17.0710,4.5021,-21.5731,57.0000,18.0000,13.5000,52.5000,78.0000
130.0000,-15.0236,-353.6333,338.6097,820.5000,1353.5000,347.0000,215.0000,-665.0000
131.0000,-1052.7966,-202.4323,-850.3643,87.0000,168.0000,47.0000,300.0000,172.0000
132.0000,-5199.2346,-196.4459,-5002.7887,261.5000,96.5000,113.0000,784.0000,836.0000
133.0000,-5106.8110,82.3729,-5189.1839,82.0000,80.0000,344.0000,1029.0000,687.0000
134.0000,-30650.2546,-1093.9726,-29556.2820,587.5000,658.5000,1654.0000,3007.0000,1282.0000
135.0000,77250.1446,101777.5664,-24527.4218,8664.0000,5036.0000,689.5000,1219.5000,4158.0000
136.0000,139006.6666,137872.4073,1134.2593,11278.0000,7220.0000,92.0000,55.0000,4021.0000
137.0000,7194.7748,7092.6925,102.0823,889.0000,245.0000,33.0000,28.0000,639.0000
138.0000,402.5429,398.4193,4.1236,192.0000,114.0000,14.0000,13.0000,77.0000
139.0000,162.0699,162.0699,-0.0000,94.0000,16.0000,6.0000,6.0000,78.0000
140.0000,-564.7260,-567.0452,2.3192,265.0000,319.0000,5.0000,11.0000,-48.0000
141.0000,-328.0235,-328.0235,0.0000,65.0000,117.0000,3.0000,3.0000,-52.0000
142.0000,17.4482,17.4482,0.0000,24.0000,1.0000,3.5000,3.5000,23.0000
143.0000,-140.8906,-60.7724,-80.1182,14.0000,50.0000,0.0000,35.0000,-1.0000
144.0000,-0.5398,-0.5398,-0.0000,10.0000,6.0000,0.0000,1.0000,5.0000
145.0000,308.7157,308.7157,0.0000,1619.5000,509.5000,0.5000,0.5000,1110.0000
146.0000,0.9955,0.9955,0.0000,4.0000,0.0000,0.0000,0.0000,4.0000
147.0000,0.0000,0.0000,0.0000,2.5000,2.5000,0.0000,0.0000,0.0000
149.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000
150.0000,0.0000,0.0000,0.0000,135.5000,101.5000,3.0000,3.0000,34.0000
151.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5000,2.5000,0.0000
152.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5000,2.5000,0.0000
153.0000,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,1.0000,2.0000
154.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,2.0000,2.0000
155.0000,-0.0000,0.0000,-0.0000,68.0000,0.0000,0.0000,2.0000,70.0000
156.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,0.0000
157.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,0.0000
158.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5000,2.5000,-1.0000
