strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
2810.0000,0.0036,0.0000,0.0036,0.0000,0.0000,25.0000,0.0000,-25.0000
2820.0000,0.0035,0.0000,0.0035,0.0000,0.0000,21.0000,0.0000,-21.0000
2840.0000,0.0042,0.0000,0.0042,0.0000,0.0000,19.0000,0.0000,-19.0000
2860.0000,-0.0140,0.0000,-0.0140,0.0000,0.0000,0.0000,9.0000,9.0000
2870.0000,-0.0650,0.0000,-0.0650,0.0000,0.0000,0.0000,35.0000,35.0000
2880.0000,-0.0469,0.0000,-0.0469,0.0000,0.0000,0.0000,21.0000,21.0000
2890.0000,-0.0682,0.0000,-0.0682,0.0000,0.0000,0.0000,25.0000,25.0000
2900.0000,-0.0272,0.0000,-0.0272,0.0000,0.0000,0.0000,8.0000,8.0000
2910.0000,-0.0086,0.0000,-0.0086,0.0000,0.0000,0.0000,2.0000,2.0000
2920.0000,-0.0738,0.0000,-0.0738,0.0000,0.0000,0.0000,9.0000,9.0000
2930.0000,-0.0110,0.0000,-0.0110,0.0000,0.0000,0.0000,1.0000,1.0000
2940.0000,-0.0601,0.0000,-0.0601,0.0000,0.0000,0.0000,3.0000,3.0000
2950.0000,0.0985,0.0000,0.0985,0.0000,0.0000,11.0000,0.0000,-11.0000
2960.0000,-11.0611,-11.6147,0.5536,0.0000,54.0000,10.0000,0.0000,-64.0000
2970.0000,-0.1064,0.3556,-0.4620,1.5000,0.5000,35.5000,86.5000,52.0000
2980.0000,-2.1209,1.3628,-3.4837,2.0000,0.0000,50.5000,71.5000,23.0000
2990.0000,-17.9715,1.3654,-19.3369,1.0000,2.0000,18.5000,48.5000,29.0000
3000.0000,-357.6384,82.0706,-439.7090,47.0000,0.0000,33.5000,238.5000,252.0000
3010.0000,57.2285,121.1490,-63.9205,98.0000,60.0000,5.0000,32.0000,65.0000
3020.0000,-352.2680,-279.8960,-72.3720,25.0000,129.0000,10.0000,57.0000,-57.0000
3030.0000,9.2926,9.7688,-0.4762,25.0000,1.0000,8.5000,11.5000,27.0000
3040.0000,23.8570,22.2367,1.6203,87.0000,29.0000,3.0000,0.0000,55.0000
3050.0000,4.0760,0.4933,3.5827,10.0000,0.0000,10.0000,0.0000,0.0000
3060.0000,0.0857,0.0857,0.0000,5.0000,0.0000,0.0000,0.0000,5.0000
3070.0000,0.0933,0.0933,0.0000,8.0000,0.0000,0.0000,0.0000,8.0000
3080.0000,0.0922,0.0922,0.0000,11.0000,0.0000,0.0000,0.0000,11.0000
3090.0000,0.0217,0.0217,0.0000,6.0000,0.0000,0.0000,0.0000,6.0000
3100.0000,-0.0051,-0.0051,0.0000,0.0000,5.0000,0.0000,0.0000,-5.0000
3110.0000,0.0196,0.0196,0.0000,9.0000,0.0000,0.0000,0.0000,9.0000
3130.0000,0.1416,0.1416,0.0000,5.0000,0.0000,0.0000,0.0000,5.0000
3140.0000,0.1083,0.1083,0.0000,5.0000,0.0000,0.0000,0.0000,5.0000
