strike,oi_c,oi_p,vol_c,vol_p,oi_net,vol_net,gex,vex,dex,inv_gex,inv_vex_call,inv_vex_put,inv_net
80.0,37619.0,1.0,661.0,0.0,37618.0,661.0,0.0,0.0,-100.0,0.0,0.0,0.0,-582.0
75.0,32746.0,0.0,2.0,0.0,32746.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,104541.0,0.0,9.0,0.0,104541.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
65.0,55066.0,0.0,5.0,0.0,55066.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
60.0,84584.0,16.0,98.0,0.0,84568.0,98.0,0.0,0.0,-1600.0,0.0,0.0,0.0,-59.0
55.0,96058.0,1.0,100.0,0.0,96057.0,100.0,0.0,0.0,-100.0,0.0,0.0,0.0,100.0
50.0,100165.0,26.0,18.0,2.0,100139.0,16.0,0.0,0.0,-2600.0,0.0,0.0,0.0,0.0
45.0,72829.0,314.0,562.0,0.0,72515.0,562.0,0.0,0.0,-31400.0,0.0,0.0,0.0,482.0
40.0,165622.0,31.0,625.0,0.0,165591.0,625.0,0.0,0.0,-3100.0,0.0,0.0,0.0,-41.0
39.0,1273.0,50.0,126.0,0.0,1223.0,126.0,0.0,0.0,-5000.0,0.0,0.0,0.0,113.0
38.0,17206.0,29.0,50.0,50.0,17177.0,0.0,0.0,0.0,-2900.0,0.0,0.0,0.0,100.0
37.0,39526.0,9.0,0.0,0.0,39517.0,0.0,0.0,0.0,-900.0,0.0,0.0,0.0,0.0
36.0,29815.0,68.0,2.0,4.0,29747.0,-2.0,0.0,0.0,-6800.0,0.0,0.0,0.0,-2.0
35.0,199060.0,588.0,6218.0,0.0,198472.0,6218.0,0.0,0.0,-58800.0,0.0,0.0,0.0,-5539.0
34.0,18067.0,14.0,3.0,0.0,18053.0,3.0,0.0,0.0,-1400.0,0.0,0.0,0.0,2.0
33.0,30947.0,29.0,2.0,0.0,30918.0,2.0,0.0,0.0,-2900.0,0.0,0.0,0.0,-2.0
32.0,40999.0,7.0,509.0,0.0,40992.0,509.0,0.0,0.0,-700.0,0.0,0.0,0.0,498.0
31.0,28054.0,40.0,494.0,0.0,28014.0,494.0,0.0,0.0,-4000.0,0.0,0.0,0.0,59.0
30.0,198469.0,4420.0,1444.0,0.0,194049.0,1444.0,0.0,0.0,-442000.0,-40.67178030781429,-40.67178030781429,0.0,-78.0
29.0,39412.0,572.0,7.0,0.0,38840.0,7.0,160290.15035128943,28.469274648813204,111113.79110882274,9.078315329042763,9.078315329042763,0.0,5.0
28.0,71013.0,117.0,25762.0,1.0,70896.0,25761.0,318354.168796702,115492.09435653524,316813.9945272457,620.726083179823,620.726083179823,0.0,347.0
27.0,42020.0,188.0,77.0,3.0,41832.0,74.0,210057.47295276294,384.9220708558483,194702.8647757134,-104.2034148671741,-104.2034148671741,0.0,-47.0
26.0,28175.0,1791.0,13.0,0.0,26384.0,13.0,171275.78090449554,79.02697965424815,5590.083430605682,-5.528647060673382,-5.528647060673382,0.0,-2.0
25.0,318012.0,7493.0,1105.0,15.0,310519.0,1090.0,2168868.986709046,7536.194326986078,1540351.5265819365,1134.4916606429756,1134.4916606429756,0.0,390.0
24.5,4351.0,22.0,62.0,0.0,4329.0,62.0,26349.339437036462,375.46748910509325,20717.004349255232,180.7855313098789,180.7855313098789,0.0,54.0
24.0,243932.0,13576.0,6521.0,1.0,230356.0,6520.0,1881160.5801666887,50288.802384545605,576848.2874422265,17103.77012226124,17103.77012226124,0.0,4842.0
23.5,12631.0,689.0,21.0,3.0,11942.0,18.0,103758.32123658471,172.50611558611976,35899.92542674188,17.772877839235953,17.772877839235953,0.0,5.0
23.0,153407.0,10366.0,4187.0,502.0,143041.0,3685.0,1145122.746427257,31254.303514773932,-100721.05047336954,8617.935093402242,8622.677531600919,-4.742438198676318,2672.0
22.5,6891.0,117.0,862.0,7.0,6774.0,855.0,55077.18826424048,6975.497340038647,36124.55326269673,3224.8736516013987,3234.7367524641427,-9.863100862743897,724.0
22.0,185607.0,42032.0,29314.0,6.0,143575.0,29308.0,1379802.327444521,296620.00949310104,-1621867.0312864117,82589.83330224313,82563.63068399072,26.20261825240806,17532.0
21.5,9529.0,3431.0,37.0,0.0,6098.0,37.0,61358.92838190041,405.4626998492799,-177803.03767334417,5.377995907058889,5.377995907058889,0.0,1.0
21.0,138373.0,18745.0,78.0,0.0,119628.0,78.0,1407411.4458358772,934.1876655111507,10901.441392017296,-145.7772597205991,-145.7772597205991,0.0,-27.0
20.5,17506.0,5308.0,17.0,1.0,12198.0,16.0,154283.04875999966,208.95020249744806,-215808.80449772294,-7.003548828052999,-7.003548828052999,0.0,-1.0
20.0,340063.0,150837.0,43012.0,2061.0,189226.0,40951.0,2626190.500529338,591891.6886410926,-7524149.995549916,-127480.97524961109,-133806.74301700733,6325.767767396248,-21143.0
19.5,21866.0,24702.0,60.0,13.0,-2836.0,47.0,-55004.024920071955,751.6466877474528,-1606214.8454092692,69.26372827709008,128.08534562338787,-58.82161734629776,25.0
19.0,99375.0,156615.0,7361.0,11.0,-57240.0,7350.0,-987096.9768768983,133235.81302411863,-10321588.40387434,57740.71643600364,57667.56873643611,73.14769956753656,7157.0
18.5,71926.0,62628.0,139.0,8.0,9298.0,131.0,263357.45460945554,2713.3993571110914,-3520575.636068448,-1104.4732209445135,-1122.05675209316,17.58353114864641,-121.0
18.0,135770.0,164110.0,1509.0,4047.0,-28340.0,-2538.0,-326221.37098587933,-52187.37842740235,-9677793.723321296,-33045.50001820874,6026.86609639623,-39072.36611460497,4565.0
17.5,41223.0,86539.0,6256.0,6583.0,-45316.0,-327.0,-900827.396863024,20890.160907287176,-5273677.861307019,-4585.376873951289,-23933.036363831234,19347.659489879938,-3542.0
17.0,22063.0,230419.0,16409.0,23386.0,-208356.0,-6977.0,-5514837.885890188,-51801.98161438512,-15029924.072686618,-33753.507554502576,-144.99844156581094,-33608.509112936736,2477.0
16.5,9080.0,49328.0,373.0,2613.0,-40248.0,-2240.0,-1143153.1350514216,-65809.93569974348,-2981159.2224135473,37866.02662479338,666.8690675593166,37199.15755723407,-2571.0
16.0,25263.0,217372.0,838.0,4819.0,-192109.0,-3981.0,-7747439.921923755,-166312.98608887367,-11557612.428257702,-816.1618408908907,-20923.366063929123,20107.20422303824,-1851.0
15.5,2156.0,89994.0,193.0,7033.0,-87838.0,-6840.0,-3599794.7215867885,-280869.25388220267,-4492222.633818018,101319.09492515631,125.8323864259304,101193.26253873039,-5607.0
15.0,6319.0,59781.0,188.0,481.0,-53462.0,-293.0,-2737896.486831017,-19680.3057793764,-2148317.421946032,4721.109752948997,209.99207508301288,4511.117677865985,-220.0
14.5,1532.0,18785.0,63.0,70.0,-17253.0,-7.0,-802603.5234516901,-2117.840196886811,-500935.32994517725,-17.664568629888095,147.6689261546242,-165.33349478451225,33.0
