Time,CallPremiumBuy,CallPremiumSell,PutPremiumBuy,PutPremiumSell,NetDeltaFlow,NetGammaFlow,NetCharmFlow,FlowVelocity,FlowAcceleration,FlowImbalance,FlowImbalance5m,FlowImbalance15m,FlowImbalanceCycle,CycleCallPremBuy,CyclePutPremBuy,CharmVelocity,CharmAcceleration,GammaRegime,DealerState,Regime,Confidence,Bias,Risk,BullishScore,BearishScore,VolatilityScore,SqueezeScore,PanicScore,BullishScoreRaw,BearishScoreRaw,Events,MaxCallFlowStrike,MaxPutFlowStrike,SPOT,DealerRegime,DealerRegimeConf,DealerRegimeTrans,LongScore,ShortScore,TradeBias,TradeConfidence
2026-08-26 17:32:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.39,BEARISH,LOW,0.0,35.0,30.0,0.0,15.0,0.0,35.0,,0.0,0.0,7738.75,LONG_GAMMA_PINNING,75.9,0.0,39.0,53.2,SHORT,28.4
2026-08-26 17:33:00,16340.0,24320.0,54215.0,30445.0,-7.84,36.47,-204754.01,0.0,0.0,-0.5368,-0.5368,-0.5368,-0.5368,16340.0,54215.0,0.0,0.0,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.35,BEARISH,MEDIUM,0.0,44.1,37.0,3.5,29.0,0.0,60.9,,7775.0,7715.0,7738.5,LONG_GAMMA_PINNING,75.9,0.0,32.4,60.0,SHORT,55.2
2026-08-26 17:34:00,17090.0,42030.0,54215.0,119810.0,10.82,-37.68,-260583.04,-45268.0,-122115.0,-0.5207,-0.5207,-0.5207,1.0,750.0,0.0,-55829.0339,0.0,NEGATIVE,SHORT_GAMMA,DEALER_SHORT_GAMMA,0.38,BEARISH,HIGH,0.6,49.0,59.0,5.8,43.4,1.9,58.0,,7765.0,7740.0,7738.75,LONG_GAMMA_PINNING,75.9,0.072,33.9,63.8,SHORT,59.8
2026-08-26 17:35:00,95715.0,59095.0,65605.0,156500.0,35.35,3.0,-440006.41,-18092.0,20470.0,0.1866,0.1866,0.1866,0.7469,78625.0,11390.0,-179423.3638,-123594.3299,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.37,BEARISH,MEDIUM,5.2,44.1,55.9,7.3,38.7,13.8,35.0,,7750.0,7740.0,7740.5,LONG_GAMMA_PINNING,72.9,0.581,42.7,50.7,NEUTRAL,16.0
2026-08-26 17:36:00,169075.0,149850.0,75182.0,161458.0,29.88,19.48,-624860.97,-16762.0,57010.0,0.3844,0.3844,0.3844,0.769,73360.0,9578.0,-184854.5659,-126309.931,POSITIVE,LONG_GAMMA,CALL_SQUEEZE,0.27,NEUTRAL,MEDIUM,11.0,40.9,53.8,20.5,35.7,21.8,35.0,FLOW_EXPANSION_BULLISH,7765.0,7730.0,7739.75,LONG_GAMMA_PINNING,72.9,1.0,44.5,48.2,NEUTRAL,7.4
2026-08-26 17:37:00,587745.0,163740.0,80508.0,249468.0,156.34,186.24,-1573920.34,51009.0,160461.0,0.7591,0.7591,0.7591,0.9749,418670.0,5325.0,-949059.3623,-449330.7653,POSITIVE,LONG_GAMMA,DEALER_SHORT_GAMMA,0.31,NEUTRAL,HIGH,19.3,38.8,59.5,25.6,33.7,34.8,35.0,FLOW_EXPANSION_BULLISH,7730.0,7700.0,7739.75,LONG_GAMMA_PINNING,72.9,0.581,51.2,43.4,NEUTRAL,15.6
2026-08-26 17:38:00,815355.0,189990.0,139342.0,250368.0,198.24,383.55,-1311793.44,99710.0,224571.0,0.7081,0.8074,0.7081,0.5892,227610.0,58835.0,262126.8954,-161327.2686,POSITIVE,LONG_GAMMA,DEALER_SHORT_GAMMA,0.31,NEUTRAL,HIGH,24.2,37.5,63.2,28.9,32.4,33.4,35.0,FLOW_EXPANSION_BULLISH,7730.0,7700.0,7738.75,LONG_GAMMA_PINNING,69.9,0.59,63.9,28.2,LONG,71.4
2026-08-26 17:39:00,843150.0,214335.0,147558.0,250368.0,196.37,387.88,-1208691.99,123308.0,185942.0,0.7021,0.7969,0.7021,0.5437,27795.0,8215.0,103101.4548,749571.1392,POSITIVE,LONG_GAMMA,DEALER_SHORT_GAMMA,0.31,NEUTRAL,HIGH,27.3,36.6,65.6,31.0,31.6,32.9,35.0,FLOW_EXPANSION_BULLISH,7730.0,7700.0,7738.75,LONG_GAMMA_PINNING,69.9,1.0,63.9,28.3,LONG,71.2
2026-08-26 17:40:00,949795.0,278315.0,158158.0,301482.0,214.69,340.37,-1252776.57,116486.0,-63623.0,0.7145,0.8045,0.7145,0.8192,106645.0,10600.0,-44084.5796,372974.671,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.35,BULLISH,HIGH,31.0,30.8,67.1,28.9,31.0,38.0,20.0,,7730.0,7700.0,7739.0,LONG_GAMMA_PINNING,69.9,0.59,63.5,28.1,LONG,70.8
2026-08-26 17:41:00,950305.0,279045.0,163698.0,313562.0,216.46,334.47,-1258163.52,117689.0,-288343.0,0.7061,0.7965,0.7061,-0.8314,510.0,5540.0,-5386.958,-207349.944,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.31,NEUTRAL,HIGH,28.1,32.3,68.1,31.0,30.7,22.7,35.0,,7775.0,7720.0,7739.0,LONG_GAMMA_PINNING,69.9,0.09,63.9,28.2,LONG,71.4
2026-08-26 17:42:00,951110.0,282185.0,163698.0,323282.0,218.38,324.29,-1274321.37,50859.0,-141035.0,0.7063,0.6274,0.7063,1.0,805.0,0.0,-16157.8477,-40280.8404,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.33,BULLISH,HIGH,31.5,28.0,68.8,32.4,30.5,37.7,20.0,,7770.0,7720.0,7739.25,LONG_GAMMA_PINNING,69.9,0.09,62.8,29.3,LONG,67.0
2026-08-26 17:43:00,971630.0,292695.0,184858.0,324438.0,215.87,345.83,-1162786.63,5003.0,-3174.0,0.6803,0.5489,0.6803,-0.0154,20520.0,21160.0,111534.7438,72424.2169,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.31,NEUTRAL,HIGH,28.1,30.4,69.2,33.3,30.3,21.9,35.0,,7750.0,7730.0,7739.5,LONG_GAMMA_PINNING,69.9,0.09,62.2,30.4,LONG,63.6
2026-08-26 17:44:00,971630.0,295095.0,184858.0,331438.0,217.03,338.81,-1167979.15,790.0,5158.0,0.6803,0.55,0.6803,0.0,0.0,0.0,-5192.5188,63943.5154,POSITIVE,LONG_GAMMA,DEALER_SHORT_GAMMA,0.29,NEUTRAL,HIGH,29.4,32.0,69.5,37.4,30.2,31.9,35.0,FLOW_EXPANSION_BULLISH,7780.0,7740.0,7740.25,LONG_GAMMA_PINNING,69.9,0.09,62.1,30.4,LONG,63.4
2026-08-26 17:45:00,989235.0,320225.0,226538.0,339672.0,205.66,357.82,-1156716.28,5544.0,24919.0,0.6273,-0.2684,0.6273,-0.4061,17605.0,41680.0,11262.8684,-44653.2732,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.29,BULLISH,HIGH,33.1,26.1,69.7,45.3,24.9,40.1,15.0,FLOW_EXPANSION_BULLISH,7760.0,7740.0,7740.25,LONG_GAMMA_PINNING,69.9,0.09,61.3,30.9,LONG,60.8
2026-08-26 17:46:00,990035.0,329725.0,226538.0,340038.0,203.77,355.67,-1175213.8,5083.0,-6495.0,0.6276,-0.2253,0.6276,1.0,800.0,0.0,-18497.5182,-56788.4374,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.39,BULLISH,HIGH,32.7,22.2,69.8,46.9,21.4,32.0,15.0,,7765.0,7690.0,7740.5,LONG_GAMMA_PINNING,69.9,0.09,61.2,30.9,LONG,60.6
2026-08-26 17:47:00,1009675.0,335725.0,473718.0,343578.0,140.44,500.05,-1335341.97,58950.0,81071.0,0.3613,-0.6822,0.3613,-0.8528,19640.0,247180.0,-160128.1766,-92348.0222,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.34,NEUTRAL,MEDIUM,30.0,19.7,62.9,48.0,19.2,25.0,15.0,FLOW_EXPANSION_BULLISH,7700.0,7750.0,7739.75,LONG_GAMMA_PINNING,69.9,0.09,57.6,33.6,LONG,48.0
2026-08-26 17:48:00,1023065.0,335725.0,479122.0,344328.0,142.97,513.73,-1307691.73,56556.0,80493.0,0.3621,-0.7024,0.4064,0.4248,13390.0,5405.0,27650.2439,-62621.6414,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.34,NEUTRAL,MEDIUM,28.3,18.1,58.4,48.7,17.7,25.0,15.0,FLOW_EXPANSION_BULLISH,7735.0,7720.0,7739.25,LONG_GAMMA_PINNING,69.9,0.09,57.5,33.6,LONG,47.8
2026-08-26 17:49:00,1035755.0,335725.0,503898.0,344328.0,139.83,540.55,-1325506.94,65929.0,95836.0,0.3454,-0.6653,0.3875,-0.3226,12690.0,24775.0,-17815.2113,94230.3637,POSITIVE,LONG_GAMMA,CALL_SQUEEZE,0.39,BULLISH,MEDIUM,30.2,17.0,55.5,61.4,16.8,33.7,15.0,FLOW_EXPANSION_BULLISH|DEALER_SQUEEZE|CALL_WALL_LADDERING,7750.0,7750.0,7738.75,LONG_GAMMA_PINNING,69.9,0.09,57.3,33.8,LONG,47.0
2026-08-26 17:50:00,1041480.0,383365.0,504428.0,357828.0,133.58,517.41,-1418684.45,49768.0,-123899.0,0.3474,-0.6835,0.3661,0.8305,5725.0,530.0,-93177.515,10742.6031,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,BULLISH,MEDIUM,32.4,11.1,53.6,66.2,16.2,36.6,0.0,DEALER_SQUEEZE|CALL_WALL_LADDERING,7770.0,7700.0,7738.75,LONG_GAMMA_PINNING,69.9,0.09,56.9,34.0,LONG,45.8
2026-08-26 17:51:00,1050900.0,391715.0,599172.0,363568.0,109.76,581.46,-1467909.88,69596.0,-113444.0,0.2738,-0.7192,0.2545,-0.8191,9420.0,94745.0,-49225.4261,-76118.9869,POSITIVE,LONG_GAMMA,CALL_SQUEEZE,0.33,BEARISH,MEDIUM,26.0,19.5,52.3,64.0,21.0,14.2,35.0,CALL_WALL_LADDERING,7740.0,7740.0,7737.5,LONG_GAMMA_PINNING,69.9,0.09,56.3,35.2,LONG,42.2
2026-08-26 17:52:00,1054820.0,398665.0,599172.0,363568.0,108.85,577.82,-1446639.42,17534.0,-17035.0,0.2755,-0.4708,-0.0523,1.0,3920.0,0.0,21270.4623,41518.8813,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.39,NEUTRAL,MEDIUM,26.1,17.9,51.5,67.8,18.9,26.2,15.0,DEALER_SQUEEZE|CALL_WALL_LADDERING,7750.0,7740.0,7739.0,LONG_GAMMA_PINNING,69.9,0.09,56.0,36.2,LONG,39.6
2026-08-26 17:53:00,1071730.0,418285.0,613672.0,364298.0,103.87,582.25,-1428832.46,16137.0,41412.0,0.2718,-0.4688,-0.2983,0.0767,16910.0,14500.0,17806.9566,90740.18,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.24,BEARISH,MEDIUM,20.8,23.9,51.0,56.3,22.8,11.1,35.0,,7705.0,7770.0,7737.0,LONG_GAMMA_PINNING,66.9,0.599,55.4,35.8,LONG,39.2
2026-08-26 17:54:00,1079855.0,428025.0,624542.0,383362.0,104.86,568.09,-1372061.83,6682.0,-18188.0,0.2671,-0.4646,-0.3367,-0.1445,8125.0,10870.0,56770.632,51266.2761,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,NEUTRAL,MEDIUM,18.4,22.5,50.6,45.3,25.3,14.0,20.0,,7700.0,7715.0,7736.5,LONG_GAMMA_PINNING,66.9,1.0,55.4,36.0,LONG,38.8
2026-08-26 17:55:00,1090540.0,431245.0,643498.0,388802.0,102.81,583.89,-1381883.96,21855.0,-36112.0,0.2578,-0.4784,-0.5504,-0.279,10685.0,18955.0,-9822.1256,3935.5437,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,NEUTRAL,MEDIUM,16.8,21.6,50.4,38.2,26.9,13.8,20.0,,7700.0,7730.0,7736.5,LONG_GAMMA_PINNING,66.9,0.599,55.3,35.5,LONG,39.6
2026-08-26 17:56:00,1113645.0,434560.0,644292.0,388802.0,108.24,598.15,-1381537.21,7957.0,6570.0,0.267,0.1634,-0.4927,0.9335,23105.0,795.0,346.7458,-42026.4842,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.26,NEUTRAL,MEDIUM,22.6,21.0,50.3,37.1,28.0,33.4,20.0,,7735.0,7680.0,7736.25,LONG_GAMMA_PINNING,66.9,0.099,55.4,35.8,LONG,39.2
2026-08-26 17:57:00,1117705.0,471235.0,692312.0,462392.0,105.69,560.91,-1426591.93,-3074.0,-6165.0,0.235,-0.1939,-0.5207,-0.8441,4060.0,48020.0,-45054.7165,-45828.2385,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.38,BEARISH,MEDIUM,16.8,25.9,50.2,32.9,28.7,5.9,35.0,,7720.0,7730.0,7736.75,LONG_GAMMA_PINNING,66.9,0.099,55.0,36.5,LONG,37.0
2026-08-26 17:58:00,1192975.0,478325.0,693812.0,462392.0,122.6,630.62,-1832211.09,8650.0,5108.0,0.2646,0.2041,-0.3938,0.9609,75270.0,1500.0,-405619.1654,-220599.251,POSITIVE,LONG_GAMMA,CALL_SQUEEZE,0.27,BEARISH,MEDIUM,17.3,29.1,50.1,37.1,29.2,18.3,35.0,,7760.0,7730.0,7736.0,LONG_GAMMA_PINNING,66.9,0.099,55.3,35.3,LONG,40.0
2026-08-26 17:59:00,1192975.0,482045.0,695062.0,467062.0,122.14,622.06,-1842734.08,9184.0,-19331.0,0.2637,0.232,-0.3949,-1.0,0.0,1250.0,-10522.9839,-185717.0893,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.35,BEARISH,MEDIUM,14.2,31.2,50.1,36.4,29.5,8.3,35.0,,7760.0,7680.0,7736.5,LONG_GAMMA_PINNING,66.9,0.099,55.3,35.3,LONG,40.0
2026-08-26 18:00:00,1192975.0,485470.0,695062.0,485612.0,126.08,612.22,-1829013.97,593.0,32322.0,0.2637,0.3303,-0.3939,0.0,0.0,0.0,13720.109,226935.5035,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.26,NEUTRAL,MEDIUM,20.9,27.3,50.1,35.9,29.7,33.4,20.0,,7710.0,7755.0,7736.75,LONG_GAMMA_PINNING,66.9,0.099,55.3,35.7,LONG,39.2
2026-08-26 18:01:00,1197335.0,487840.0,695062.0,485612.0,126.61,615.25,-1855946.7,-3126.0,-14789.0,0.2654,0.2448,-0.3865,1.0,4360.0,0.0,-26932.7368,201464.7608,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.38,NEUTRAL,MEDIUM,21.8,24.7,50.1,35.6,29.8,23.4,20.0,,7765.0,7755.0,7736.5,LONG_GAMMA_PINNING,66.9,0.099,55.4,35.8,LONG,39.2
2026-08-26 18:02:00,1225785.0,487840.0,700942.0,485612.0,132.97,642.44,-1939754.3,15377.0,-26488.0,0.2724,0.8521,-0.0251,0.6574,28450.0,5880.0,-83807.5949,-56968.7284,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,NEUTRAL,MEDIUM,22.4,23.1,50.1,31.9,29.9,23.6,20.0,,7735.0,7740.0,7736.0,LONG_GAMMA_PINNING,66.9,0.099,55.5,34.7,LONG,41.6
2026-08-26 18:03:00,1239192.0,510428.0,700942.0,485612.0,129.58,632.44,-1939672.54,-395.0,23604.0,0.2774,0.7327,-0.013,1.0,13408.0,0.0,81.7542,-35256.6064,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.26,NEUTRAL,MEDIUM,26.4,22.0,50.1,33.0,29.9,33.7,20.0,,7700.0,7740.0,7736.25,LONG_GAMMA_PINNING,66.9,0.099,55.5,35.4,LONG,40.2
2026-08-26 18:04:00,1258022.0,510428.0,700942.0,486792.0,135.23,643.88,-1955308.03,4563.0,24259.0,0.2844,0.8342,0.0602,1.0,18830.0,0.0,-15635.4821,47593.3019,POSITIVE,LONG_GAMMA,PUT_PANIC,0.3,NEUTRAL,MEDIUM,29.0,26.6,50.1,33.7,36.9,33.9,35.0,,7735.0,7700.0,7735.75,LONG_GAMMA_PINNING,66.9,0.099,55.6,34.9,LONG,41.4
2026-08-26 18:05:00,1258022.0,512802.0,701602.0,496982.0,136.99,633.21,-2012237.59,6577.0,-19305.0,0.2839,0.8173,0.0468,-1.0,0.0,660.0,-56929.5611,5580.3987,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,NEUTRAL,MEDIUM,27.2,24.3,50.1,30.7,34.5,23.9,20.0,,7725.0,7700.0,7735.75,LONG_GAMMA_PINNING,66.9,0.099,55.6,34.7,LONG,41.8
2026-08-26 18:06:00,1258022.0,516202.0,701602.0,503102.0,137.66,626.14,-2015762.36,4275.0,-13833.0,0.2839,0.8054,0.3382,0.0,0.0,0.0,-3524.7708,-22450.3021,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.38,NEUTRAL,MEDIUM,26.1,22.8,50.1,32.2,32.9,23.9,20.0,,7740.0,7730.0,7736.0,LONG_GAMMA_PINNING,66.9,0.099,55.6,35.0,LONG,41.2
2026-08-26 18:07:00,1276102.0,516202.0,733768.0,511952.0,134.42,648.77,-2005878.82,5688.0,2422.0,0.2698,0.2104,0.2436,-0.2803,18080.0,32165.0,9883.5352,39461.9038,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.24,BEARISH,MEDIUM,23.4,27.1,50.1,33.2,31.9,18.5,35.0,,7675.0,7730.0,7735.0,LONG_GAMMA_PINNING,66.9,0.099,55.4,34.9,LONG,41.0
2026-08-26 18:08:00,1304642.0,517482.0,755082.0,515278.0,136.9,683.22,-2014108.43,16574.0,22836.0,0.2668,0.0946,0.2444,0.1449,28540.0,21315.0,-8229.6058,31054.1307,POSITIVE,LONG_GAMMA,CALL_SQUEEZE,0.29,NEUTRAL,MEDIUM,26.9,24.6,50.1,37.3,31.2,33.4,20.0,,7735.0,7735.0,7734.5,LONG_GAMMA_PINNING,66.9,0.099,57.1,34.6,LONG,45.0
