Time,Activo,Strike,Type,Contracts,Premium,Price,IV,Delta,Gamma,DealerState,SPOT,Side,Rel,Moneyness
2026-09-01 05:00:05,NQ,28900.0,UNUSUAL_PUT_VOL,100,211250.0,21.12,17.84,-0.037,0.000455,LONG_GAMMA,29211.5,UAP,BELOW,-311.5
2026-09-01 05:16:17,NQ,29360.0,PUT_BLOCK_BUY,60,1069500.0,178.25,14.05,-0.837,0.001803,LONG_GAMMA,29223.5,BAP,ABOVE,136.5
2026-09-01 05:16:17,NQ,29350.0,PUT_BLOCK_SELL,60,1026000.0,171.0,14.97,-0.803,0.001904,LONG_GAMMA,29223.5,SAP,ABOVE,126.5
2026-09-01 06:27:07,NQ,29220.0,CALL_BLOCK_SELL,100,898750.0,89.88,15.25,0.456,0.00285,SHORT_GAMMA,29202.75,SAC,ATM,17.25
2026-09-01 06:36:15,NQ,29220.0,UNUSUAL_CALL_VOL,79,721862.0,91.38,15.07,0.491,0.002926,SHORT_GAMMA,29215.0,UAC,ATM,5.0
2026-09-01 06:39:07,NQ,29520.0,UNUSUAL_CALL_VOL,106,111300.0,10.5,14.23,0.012,0.000242,SHORT_GAMMA,29226.75,UAC,ABOVE,293.25
2026-09-01 06:53:01,NQ,29350.0,UNUSUAL_CALL_VOL,70,254625.0,36.38,14.12,0.139,0.00176,SHORT_GAMMA,29211.5,UAC,ABOVE,138.5
2026-09-01 07:18:44,NQ,28860.0,UNUSUAL_PUT_VOL,105,192938.0,18.38,17.33,-0.021,0.000341,LONG_GAMMA,29160.25,UAP,BELOW,-300.25
2026-09-01 07:21:07,NQ,29100.0,UNUSUAL_PUT_VOL,50,355625.0,71.12,14.73,-0.346,0.002908,LONG_GAMMA,29148.5,UAP,BELOW,-48.5
2026-09-01 07:21:07,NQ,29060.0,UNUSUAL_PUT_VOL,51,291975.0,57.25,15.49,-0.249,0.002378,LONG_GAMMA,29148.5,UAP,BELOW,-88.5
2026-09-01 07:24:29,NQ,29400.0,PUT_BLOCK_BUY,75,1933125.0,257.75,12.97,-0.985,0.000348,LONG_GAMMA,29157.0,BAP,ABOVE,243.0
2026-09-01 07:24:29,NQ,29100.0,UNUSUAL_PUT_VOL,50,334375.0,66.88,14.75,-0.322,0.00283,LONG_GAMMA,29157.0,UAP,BELOW,-57.0
2026-09-01 07:24:29,NQ,29060.0,UNUSUAL_PUT_VOL,50,268750.0,53.75,15.42,-0.228,0.002281,LONG_GAMMA,29157.0,UAP,BELOW,-97.0
2026-09-01 07:24:29,NQ,29000.0,UNUSUAL_PUT_VOL,75,288750.0,38.5,15.91,-0.122,0.001482,LONG_GAMMA,29157.0,UAP,BELOW,-157.0
2026-09-01 07:24:29,NQ,28870.0,UNUSUAL_PUT_VOL,100,195000.0,19.5,17.13,-0.024,0.000387,LONG_GAMMA,29157.0,UAP,BELOW,-287.0
2026-09-01 07:29:27,NQ,29450.0,UNUSUAL_CALL_VOL,70,68250.0,9.75,13.87,0.009,0.000214,LONG_GAMMA,29169.0,UAC,ABOVE,281.0
2026-09-01 07:30:07,NQ,29150.0,UNUSUAL_PUT_VOL,50,404375.0,80.88,14.11,-0.443,0.003279,LONG_GAMMA,29165.75,UAP,ATM,-15.75
2026-09-01 07:32:11,NQ,29150.0,UNUSUAL_PUT_VOL,60,527250.0,87.88,13.96,-0.492,0.003358,LONG_GAMMA,29150.75,UAP,ATM,-0.75
2026-09-01 07:36:00,NQ,29400.0,PUT_BLOCK_SELL,40,1084000.0,271.0,14.53,-0.981,0.000369,LONG_GAMMA,29140.75,SAP,ABOVE,259.25
2026-09-01 07:48:26,NQ,29200.0,PUT_BLOCK_BUY,100,1152500.0,115.25,13.39,-0.688,0.003162,LONG_GAMMA,29143.5,BAP,ABOVE,56.5
2026-09-01 07:58:17,NQ,29520.0,UNUSUAL_CALL_VOL,106,40280.0,3.8,14.83,0.001,2.1e-05,LONG_GAMMA,29126.5,UAC,ABOVE,393.5
2026-09-01 08:04:33,NQ,29500.0,UNUSUAL_CALL_VOL,117,60255.0,5.15,15.84,0.001,2.9e-05,LONG_GAMMA,29099.75,UAC,ABOVE,400.25
2026-09-01 08:07:34,NQ,29100.0,UNUSUAL_PUT_VOL,136,1264800.0,93.0,14.74,-0.513,0.003319,LONG_GAMMA,29094.5,UAP,ATM,5.5
2026-09-01 08:10:38,NQ,29300.0,UNUSUAL_CALL_VOL,61,136488.0,22.38,14.41,0.046,0.000822,LONG_GAMMA,29100.5,UAC,ABOVE,199.5
2026-09-01 08:10:38,NQ,29150.0,PUT_BLOCK_BUY,110,1273250.0,115.75,14.38,-0.66,0.003139,LONG_GAMMA,29100.5,BAP,ABOVE,49.5
2026-09-01 08:10:38,NQ,29050.0,PUT_BLOCK_SELL,181,1242112.0,68.62,15.15,-0.336,0.002965,LONG_GAMMA,29100.5,SAP,BELOW,-50.5
2026-09-01 08:10:38,NQ,28950.0,UNUSUAL_PUT_VOL,80,312000.0,39.0,15.65,-0.115,0.00153,LONG_GAMMA,29100.5,UAP,BELOW,-150.5
2026-09-01 08:14:41,NQ,28800.0,UNUSUAL_PUT_VOL,50,85000.0,17.0,17.02,-0.015,0.000278,LONG_GAMMA,29094.75,UAP,BELOW,-294.75
2026-09-01 08:14:41,NQ,28770.0,UNUSUAL_PUT_VOL,50,71875.0,14.38,17.29,-0.009,0.000181,LONG_GAMMA,29094.75,UAP,BELOW,-324.75
2026-09-01 08:18:49,NQ,29050.0,UNUSUAL_PUT_VOL,100,738750.0,73.88,14.7,-0.374,0.003207,LONG_GAMMA,29086.5,UAP,ATM,-36.5
2026-09-01 08:42:46,NQ,29420.0,UNUSUAL_CALL_VOL,54,18900.0,3.5,13.13,0.0,1.2e-05,SHORT_GAMMA,29069.0,UAC,ABOVE,351.0
2026-09-01 08:42:46,NQ,29300.0,UNUSUAL_CALL_VOL,126,130725.0,10.38,12.3,0.008,0.00024,SHORT_GAMMA,29069.0,UAC,ABOVE,231.0
2026-09-01 08:42:46,NQ,29100.0,UNUSUAL_CALL_VOL,61,382012.0,62.62,12.53,0.38,0.003903,SHORT_GAMMA,29069.0,UAC,ATM,31.0
2026-09-01 08:42:46,NQ,28850.0,UNUSUAL_PUT_VOL,70,120750.0,17.25,14.45,-0.025,0.000514,SHORT_GAMMA,29069.0,UAP,BELOW,-219.0
2026-09-01 08:42:46,NQ,28810.0,UNUSUAL_PUT_VOL,109,141700.0,13.0,14.86,-0.012,0.000268,SHORT_GAMMA,29069.0,UAP,BELOW,-259.0
2026-09-01 08:42:46,NQ,28550.0,UNUSUAL_PUT_VOL,68,17850.0,2.62,17.59,-0.0,2e-06,SHORT_GAMMA,29069.0,UAP,BELOW,-519.0
2026-09-01 09:12:21,NQ,29500.0,UNUSUAL_CALL_VOL,50,8625.0,1.73,12.29,0.0,2e-06,SHORT_GAMMA,29129.5,UAC,ABOVE,370.5
