Time,CallPremiumBuy,CallPremiumSell,PutPremiumBuy,PutPremiumSell,NetDeltaFlow,NetGammaFlow,NetCharmFlow,FlowVelocity,FlowAcceleration,FlowImbalance,FlowImbalance5m,FlowImbalance15m,FlowImbalanceCycle,CycleCallPremBuy,CyclePutPremBuy,CharmVelocity,CharmAcceleration,GammaRegime,DealerState,Regime,Confidence,Bias,Risk,BullishScore,BearishScore,VolatilityScore,SqueezeScore,PanicScore,BullishScoreRaw,BearishScoreRaw,Events,MaxCallFlowStrike,MaxPutFlowStrike,SPOT,DealerRegime,DealerRegimeConf,DealerRegimeTrans,LongScore,ShortScore,TradeBias,TradeConfidence
2026-09-02 20:57:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,NEGATIVE,SHORT_GAMMA,DEALER_LONG_GAMMA,0.41,NEUTRAL,LOW,20.0,15.0,30.0,15.0,0.0,20.0,15.0,,0.0,0.0,7666.6,LONG_GAMMA_PINNING,60.8,0.0,37.9,50.4,SHORT,25.0
2026-09-02 20:58:00,71070.0,0.0,47632.0,0.0,2.93,77.46,-80589.75,0.0,0.0,0.1975,0.1975,0.1975,0.1975,71070.0,47632.0,0.0,0.0,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.56,NEUTRAL,LOW,20.3,15.0,30.0,18.5,5.2,21.0,15.0,,7675.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.0,39.8,48.6,SHORT,17.6
2026-09-02 20:59:00,155993.0,0.0,104627.0,0.0,5.56,166.75,-109095.33,130310.0,23216.0,0.1971,0.1971,0.1971,0.1968,84923.0,56995.0,-28505.583,0.0,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.49,BULLISH,LOW,24.0,15.0,30.0,17.3,8.6,30.9,15.0,,7665.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,42.5,48.6,NEUTRAL,12.2
2026-09-02 21:00:00,205387.0,0.0,128730.0,0.0,10.05,214.2,-138269.84,111372.0,-45205.0,0.2294,0.2294,0.2294,0.3441,49394.0,24103.0,-29174.5135,-668.9305,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.47,NEUTRAL,MEDIUM,25.0,15.0,37.0,25.2,10.8,26.9,15.0,,7665.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,42.5,48.2,NEUTRAL,11.4
2026-09-02 21:01:00,237108.0,0.0,163840.0,0.0,7.08,252.96,-142349.64,100237.0,-60146.0,0.1827,0.1827,0.1827,-0.0507,31721.0,35110.0,-4079.7976,11878.4275,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.61,BULLISH,MEDIUM,28.7,9.8,41.5,25.1,12.3,35.7,0.0,,7670.0,7665.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,54.0,33.8,LONG,40.4
2026-09-02 21:03:00,295072.0,0.0,183125.0,0.0,14.87,306.69,-194678.35,95639.0,-57784.0,0.2341,0.2341,0.2341,0.5007,57964.0,19285.0,-52328.7093,635.7948,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.47,BULLISH,MEDIUM,33.4,6.4,44.5,33.8,13.2,42.1,0.0,,7670.0,7655.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,55.2,33.1,LONG,44.2
2026-09-02 21:04:00,400198.0,0.0,206615.0,0.0,33.57,384.02,-325499.15,97622.0,-16809.0,0.319,0.3486,0.319,0.6347,105126.0,23490.0,-130820.7981,-74947.5982,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.47,BULLISH,LOW,37.5,4.2,39.4,39.5,13.8,45.2,0.0,,7670.0,7665.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,56.9,32.0,LONG,49.8
2026-09-02 21:04:00,442701.0,0.0,220075.0,0.0,40.14,411.78,-376538.77,80431.0,17112.0,0.3359,0.4259,0.3359,0.519,42503.0,13460.0,-51039.6253,-62725.9582,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.34,BULLISH,LOW,43.9,2.7,36.1,46.7,14.2,55.8,0.0,FLOW_EXPANSION_BULLISH,7680.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,56.4,31.9,LONG,49.0
2026-09-02 21:05:00,449543.0,0.0,230947.0,0.0,38.94,421.05,-398907.37,69275.0,-4609.0,0.3212,0.4098,0.3212,-0.2275,6842.0,10872.0,-22368.5952,54870.6435,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.47,BULLISH,LOW,44.4,1.8,34.0,47.9,14.5,45.3,0.0,,7670.0,7700.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,56.8,33.4,LONG,46.8
2026-09-02 21:06:00,500625.0,0.0,264879.0,0.0,40.92,465.28,-437726.66,72911.0,-50036.0,0.308,0.4457,0.308,0.2017,51082.0,33932.0,-38819.2903,60336.269,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.47,BULLISH,MEDIUM,44.6,1.2,39.6,48.6,14.7,44.8,0.0,,7675.0,7665.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,56.6,33.4,LONG,46.4
2026-09-02 21:07:00,548049.0,0.0,279062.0,165.0,48.07,501.71,-499562.58,69750.0,-37566.0,0.3252,0.4501,0.3252,0.5396,47424.0,14183.0,-61835.9176,-13623.4937,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.5,BULLISH,MEDIUM,44.9,0.8,43.2,45.6,14.8,45.5,0.0,,7665.0,7665.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,57.0,33.3,LONG,47.4
2026-09-02 21:08:00,597860.0,0.0,282782.0,14641.0,64.41,518.24,-688131.67,51838.0,24998.0,0.3578,0.4437,0.3578,0.861,49811.0,3720.0,-188569.0905,-94608.5613,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.34,BULLISH,MEDIUM,49.1,0.5,45.6,50.6,14.9,56.8,0.0,FLOW_EXPANSION_BULLISH,7675.0,7640.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,57.7,33.4,LONG,48.6
2026-09-02 21:09:00,655936.0,0.0,288414.0,19512.0,78.63,549.62,-838262.63,52412.0,1747.0,0.3892,0.5146,0.3892,0.8232,58076.0,5632.0,-150130.9566,-119022.4196,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.36,BULLISH,LOW,52.2,0.3,40.1,50.4,14.9,58.0,0.0,FLOW_EXPANSION_BULLISH,7660.0,7700.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,58.3,32.9,LONG,50.8
2026-09-02 21:10:00,740697.0,0.0,288414.0,36228.0,105.22,592.28,-1141093.57,62479.0,-17916.0,0.4395,0.6703,0.4395,1.0,84761.0,0.0,-302830.9496,-101278.4491,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.47,BULLISH,LOW,51.4,0.2,36.6,50.3,14.9,49.9,0.0,,7675.0,7670.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,62.7,32.0,LONG,61.4
2026-09-02 21:11:00,849027.0,0.0,288414.0,97596.0,149.62,605.55,-1447930.63,54868.0,7700.0,0.4929,0.8734,0.4929,1.0,108330.0,0.0,-306837.0542,-135483.9783,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.33,BULLISH,LOW,55.2,5.4,34.3,50.2,21.9,62.2,15.0,FLOW_EXPANSION_BULLISH,7660.0,7665.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,31.6,LONG,64.0
2026-09-02 21:12:00,894185.0,0.0,288414.0,152148.0,177.47,597.78,-1682577.43,40701.0,-13742.0,0.5122,0.9474,0.5122,1.0,45158.0,0.0,-234646.7979,-44260.973,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,BULLISH,HIGH,54.5,3.5,46.8,50.1,19.5,53.1,0.0,,7680.0,7665.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,32.1,LONG,63.0
2026-09-02 21:13:00,945279.0,0.0,288414.0,197699.0,205.15,604.94,-2165545.91,33999.0,-49071.0,0.5324,0.9681,0.5681,1.0,51094.0,0.0,-482968.4812,-53973.6377,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.34,BULLISH,HIGH,59.6,7.5,54.9,58.8,24.9,69.0,15.0,DEALER_SQUEEZE|CALL_WALL_LADDERING,7705.0,7630.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,32.4,LONG,62.4
2026-09-02 21:14:00,952548.0,0.0,288414.0,229445.0,216.85,584.27,-2325314.37,17336.0,-66946.0,0.5352,1.0,0.6251,1.0,7269.0,0.0,-159768.459,-50626.5441,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,BULLISH,HIGH,57.7,4.9,60.2,55.7,21.4,54.3,0.0,,7670.0,7650.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,32.9,LONG,61.4
2026-09-02 21:15:00,968238.0,0.0,288414.0,246315.0,225.92,583.45,-2408585.05,3491.0,-25489.0,0.541,1.0,0.6538,1.0,15690.0,0.0,-83270.6781,237288.071,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,BULLISH,HIGH,51.3,8.4,63.6,50.2,19.2,39.5,15.0,,7665.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,32.9,LONG,61.4
2026-09-02 21:16:00,980202.0,0.0,288414.0,269072.0,235.6,574.26,-2469530.2,-8060.0,-10224.0,0.5453,1.0,0.7129,1.0,11964.0,0.0,-60945.1555,249260.5533,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.44,BULLISH,HIGH,52.5,5.5,65.8,46.6,17.7,54.8,0.0,,7665.0,7670.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,32.8,LONG,61.6
2026-09-02 21:17:00,1073820.0,0.0,288414.0,287895.0,264.44,609.18,-2728112.86,8778.0,30408.0,0.5766,1.0,0.7618,1.0,93618.0,0.0,-258582.6563,-38244.3373,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.3,BULLISH,HIGH,51.9,8.8,67.3,47.8,16.8,50.8,15.0,FLOW_EXPANSION_BULLISH,7665.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,31.6,LONG,64.0
2026-09-02 21:18:00,1111549.0,0.0,288414.0,365925.0,296.89,586.05,-2866677.88,-391.0,20729.0,0.588,1.0,0.7937,1.0,37729.0,0.0,-138565.0184,-126465.9205,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.3,BULLISH,HIGH,57.0,5.7,68.2,52.1,16.2,66.4,0.0,FLOW_EXPANSION_BULLISH,7675.0,7665.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,31.6,LONG,64.0
2026-09-02 21:19:00,1154442.0,0.0,288414.0,427229.0,326.66,574.88,-3135606.42,822.0,11348.0,0.6002,1.0,0.8248,1.0,42893.0,0.0,-268928.5414,-43982.874,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.3,BULLISH,HIGH,60.5,3.7,68.8,54.9,15.8,67.0,0.0,FLOW_EXPANSION_BULLISH,7680.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,31.2,LONG,64.8
2026-09-02 21:20:00,1166318.0,0.0,288414.0,445552.0,335.15,570.06,-3203426.13,-231.0,-53721.0,0.6035,1.0,0.8516,1.0,11876.0,0.0,-67819.7109,30199.7112,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.44,BULLISH,HIGH,59.3,2.4,69.2,49.7,15.5,57.1,0.0,,7665.0,7675.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,31.0,LONG,65.2
2026-09-02 21:21:00,1208631.0,0.0,288414.0,468227.0,353.08,589.47,-3445320.17,5855.0,-18987.0,0.6147,1.0,0.9357,1.0,42313.0,0.0,-241894.0461,48889.9014,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.37,BULLISH,HIGH,63.9,1.6,69.5,58.6,15.3,72.6,0.0,DEALER_SQUEEZE|CALL_WALL_LADDERING,7695.0,7665.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,30.5,LONG,66.2
2026-09-02 21:22:00,1231726.0,0.0,288414.0,527956.0,376.92,566.93,-3639180.06,-16431.0,21542.0,0.6205,1.0,0.973,1.0,23095.0,0.0,-193859.886,-49502.8399,POSITIVE,LONG_GAMMA,CALL_SQUEEZE,0.34,BULLISH,HIGH,70.5,6.3,69.7,67.8,22.2,82.9,15.0,FLOW_EXPANSION_BULLISH|DEALER_SQUEEZE|CALL_WALL_LADDERING,7700.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,31.2,LONG,64.8
2026-09-02 21:23:00,1250010.0,0.0,306274.0,550038.0,384.19,571.04,-3791349.63,-5558.0,11451.0,0.6064,0.7715,0.9305,0.0117,18284.0,17860.0,-152169.5754,-18157.8523,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.29,BULLISH,HIGH,64.2,9.3,69.8,65.1,19.7,52.5,15.0,FLOW_EXPANSION_BULLISH,7675.0,7700.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,30.7,LONG,65.8
2026-09-02 21:24:00,1257760.0,0.0,306274.0,656821.0,418.68,503.22,-4078911.94,-21683.0,-47130.0,0.6084,0.7052,0.9424,1.0,7750.0,0.0,-287562.3024,-1988.9729,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.34,BULLISH,HIGH,67.2,11.3,69.9,68.6,25.1,72.8,15.0,DEALER_SQUEEZE|CALL_WALL_LADDERING,7685.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,31.3,LONG,64.6
2026-09-02 21:25:00,1302085.0,0.0,327706.0,675388.0,430.86,520.32,-4308148.72,-10955.0,-4096.0,0.5979,0.5511,0.8692,0.3481,44325.0,21432.0,-229236.7839,-85384.8124,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.39,BULLISH,HIGH,58.5,12.6,69.9,62.1,21.6,42.4,15.0,,7675.0,7700.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.7,30.7,LONG,66.0
2026-09-02 21:26:00,1305249.0,0.0,327706.0,679300.0,432.94,521.05,-4347444.69,-15033.0,-6244.0,0.5986,0.4218,0.8414,1.0,3164.0,0.0,-39295.9638,85599.5651,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,BULLISH,HIGH,58.1,8.2,69.9,57.9,19.3,57.5,0.0,,7685.0,7665.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.7,30.9,LONG,65.6
2026-09-02 21:27:00,1318003.0,0.0,327706.0,696655.0,441.31,516.71,-4398185.85,-8626.0,56432.0,0.6017,0.3742,0.8303,1.0,12754.0,0.0,-50741.1645,213380.979,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.28,BULLISH,HIGH,61.4,10.6,69.9,58.6,24.8,67.6,15.0,FLOW_EXPANSION_BULLISH,7670.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,30.4,LONG,66.4
2026-09-02 21:28:00,1334870.0,0.0,327706.0,735820.0,457.41,498.72,-4507894.52,-15898.0,16706.0,0.6058,0.5967,0.8168,1.0,16867.0,0.0,-109708.6659,54041.4586,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.3,BULLISH,HIGH,63.6,6.9,69.9,59.1,21.4,67.8,0.0,FLOW_EXPANSION_BULLISH,7675.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,31.0,LONG,65.2
2026-09-02 21:29:00,1335935.0,0.0,327706.0,737911.0,458.41,498.06,-4534102.95,3703.0,-32529.0,0.606,0.5697,0.8141,1.0,1065.0,0.0,-26208.4352,-22939.9864,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.34,BULLISH,HIGH,66.8,9.7,69.9,64.7,26.2,72.8,15.0,DEALER_SQUEEZE|CALL_WALL_LADDERING,7700.0,7655.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,29.6,LONG,68.0
2026-09-02 21:30:00,1369042.0,0.0,327706.0,741045.0,467.7,516.45,-4637237.41,260.0,4891.0,0.6137,1.0,0.8214,1.0,33107.0,0.0,-103134.4551,15553.47,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.32,BULLISH,HIGH,67.2,6.3,69.9,59.6,22.3,68.0,0.0,FLOW_EXPANSION_BULLISH,7665.0,7685.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,29.5,LONG,68.2
2026-09-02 21:31:00,1376824.0,0.0,327706.0,915237.0,521.22,409.72,-4870291.54,-32872.0,-32372.0,0.6155,1.0,0.8197,1.0,7782.0,0.0,-233054.1387,-100135.7464,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.37,BULLISH,HIGH,69.4,4.1,69.9,65.0,19.7,73.3,0.0,DEALER_SQUEEZE|CALL_WALL_LADDERING,7700.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,32.3,LONG,62.6
2026-09-02 21:32:00,1383872.0,0.0,327706.0,930573.0,527.72,405.41,-4928632.73,-33610.0,-36580.0,0.6171,1.0,0.7751,1.0,7048.0,0.0,-58341.1897,-81026.219,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,BULLISH,HIGH,65.6,2.7,69.9,59.8,18.1,58.4,0.0,,7690.0,7665.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,31.9,LONG,63.4
2026-09-02 21:33:00,1442123.0,0.0,327706.0,955031.0,550.41,425.89,-5163488.26,-22392.0,-61442.0,0.6297,1.0,0.7875,1.0,58251.0,0.0,-234855.5294,21495.9374,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,BULLISH,HIGH,63.2,1.8,69.9,56.4,17.0,58.8,0.0,,7670.0,7665.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,30.4,LONG,66.4
2026-09-02 21:34:00,1466989.0,0.0,327706.0,1121720.0,606.65,329.66,-5588795.68,-50551.0,29446.0,0.6348,1.0,0.7766,1.0,24866.0,0.0,-425307.4159,-184383.8085,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.3,BULLISH,HIGH,65.3,1.2,69.9,57.7,16.3,69.2,0.0,FLOW_EXPANSION_BULLISH,7695.0,7660.0,7666.6,LONG_GAMMA_PINNING,60.8,0.118,63.6,32.1,LONG,63.0
2026-09-02 21:35:00,1479175.0,0.0,327706.0,1132282.0,612.58,332.04,-5615234.75,-56221.0,51880.0,0.6373,1.0,0.7768,1.0,12186.0,0.0,-26439.0721,-79274.8844,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.29,BULLISH,HIGH,61.4,6.0,69.9,58.5,15.8,54.3,15.0,FLOW_EXPANSION_BULLISH,7675.0,7685.0,7666.6,LONG_GAMMA_PINNING,57.8,0.627,63.2,31.4,LONG,63.6
2026-09-02 21:36:00,1488751.0,0.0,327706.0,1214847.0,638.48,293.67,-5635288.5,-37537.0,-83815.0,0.6392,1.0,0.754,1.0,9576.0,0.0,-20053.7516,306835.0608,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.41,BULLISH,HIGH,55.5,9.2,69.9,52.0,15.5,44.4,15.0,,7665.0,7670.0,7666.6,CHARM_DOMINATED,36.3,0.691,61.1,25.6,LONG,71.0
2026-09-02 21:37:00,1493972.0,0.0,327706.0,1225060.0,642.87,290.23,-5671905.79,-36877.0,28563.0,0.6402,1.0,0.7394,1.0,5221.0,0.0,-36617.2854,197537.7255,POSITIVE,LONG_GAMMA,DEALER_LONG_GAMMA,0.27,BULLISH,HIGH,55.1,16.5,69.9,51.3,22.3,54.4,30.0,FLOW_EXPANSION_BULLISH,7665.0,7665.0,7666.6,CHARM_DOMINATED,36.3,0.191,61.1,25.4,LONG,71.4
