strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
27800.0000,-0.1360,0.0000,-0.1360,0.0000,0.0000,1.0000,21.0000,20.0000
27850.0000,-0.1296,0.0000,-0.1296,0.0000,0.0000,0.0000,17.0000,17.0000
27900.0000,0.9429,0.0000,0.9429,0.0000,0.0000,109.0000,0.0000,-109.0000
27950.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.5000,29.5000,0.0000
28000.0000,-0.0104,0.0000,-0.0104,1.0000,1.0000,49.0000,52.0000,3.0000
28050.0000,-0.0004,0.0000,-0.0004,0.0000,0.0000,37.5000,37.5000,0.0000
28070.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.5000,10.5000,0.0000
28080.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000
28090.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000
28100.0000,-0.0298,0.0000,-0.0298,1.0000,1.0000,41.0000,46.0000,5.0000
28110.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.5000,10.5000,0.0000
28120.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5000,5.5000,0.0000
28130.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000
28140.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,5.0000,0.0000
28150.0000,-0.3921,0.0000,-0.3921,0.0000,0.0000,58.5000,86.5000,28.0000
28160.0000,0.0162,0.0000,0.0162,0.0000,0.0000,2.5000,0.5000,-2.0000
28170.0000,0.1249,0.0000,0.1249,0.0000,0.0000,55.5000,39.5000,-16.0000
28180.0000,-0.0075,0.0000,-0.0075,0.0000,0.0000,20.0000,21.0000,1.0000
28200.0000,0.0042,0.0000,0.0042,0.0000,0.0000,119.5000,118.5000,-1.0000
28210.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,62.5000,0.0000
28220.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,0.0000
28230.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.5000,57.5000,0.0000
28240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.5000,15.5000,0.0000
28250.0000,0.4668,0.0000,0.4668,0.0000,0.0000,32.5000,15.5000,-17.0000
28260.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5000,17.5000,0.0000
28270.0000,-0.5837,0.0000,-0.5837,0.0000,0.0000,23.5000,45.5000,22.0000
28280.0000,-0.3028,0.0000,-0.3028,0.0000,0.0000,3.5000,13.5000,10.0000
28290.0000,-0.0976,0.0000,-0.0976,0.0000,0.0000,20.0000,24.0000,4.0000
28300.0000,-2.8980,0.0000,-2.8980,0.0000,0.0000,33.0000,134.0000,101.0000
28310.0000,-0.0614,0.0000,-0.0614,0.0000,0.0000,7.5000,9.5000,2.0000
28320.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,0.0000
28330.0000,-0.9482,-0.0776,-0.8706,0.0000,2.0000,0.0000,27.0000,25.0000
28340.0000,-3.4262,0.0000,-3.4262,0.0000,0.0000,1.5000,104.5000,103.0000
28350.0000,4.6762,0.0000,4.6762,0.0000,0.0000,167.0000,37.0000,-130.0000
28360.0000,-0.9674,-0.0816,-0.8858,0.0000,2.0000,27.5000,52.5000,23.0000
28370.0000,-0.9031,0.0000,-0.9031,0.0000,0.0000,2.0000,26.0000,24.0000
28380.0000,-0.1933,0.0000,-0.1933,0.0000,0.0000,4.0000,8.0000,4.0000
28390.0000,-0.2278,0.0000,-0.2278,0.0000,0.0000,4.5000,10.5000,6.0000
28400.0000,1.5230,0.0000,1.5230,0.0000,0.0000,117.0000,88.0000,-29.0000
28410.0000,-0.0269,0.0000,-0.0269,0.0000,0.0000,15.0000,15.0000,0.0000
28420.0000,-0.1304,0.0000,-0.1304,0.0000,0.0000,4.5000,7.5000,3.0000
28430.0000,-0.2239,0.0000,-0.2239,0.0000,0.0000,1.0000,6.0000,5.0000
28440.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000
28450.0000,-0.0184,0.0000,-0.0184,0.0000,0.0000,51.0000,52.0000,1.0000
28460.0000,0.0143,0.0000,0.0143,0.0000,0.0000,3.5000,2.5000,-1.0000
28470.0000,2.2999,0.0000,2.2999,0.0000,0.0000,104.5000,6.5000,-98.0000
28480.0000,0.0162,0.0000,0.0162,0.0000,0.0000,5.5000,3.5000,-2.0000
28490.0000,-1.2004,0.0000,-1.2004,0.0000,0.0000,15.5000,38.5000,23.0000
28500.0000,-5.8511,0.0000,-5.8511,0.0000,0.0000,174.5000,296.5000,122.0000
28510.0000,-0.3644,0.0000,-0.3644,0.0000,0.0000,6.5000,12.5000,6.0000
28520.0000,-0.1615,-0.1615,0.0000,0.0000,3.0000,2.0000,2.0000,-3.0000
28530.0000,0.0286,0.0000,0.0286,0.0000,0.0000,24.5000,23.5000,-1.0000
28540.0000,0.1517,0.0000,0.1517,0.0000,0.0000,11.5000,8.5000,-3.0000
28550.0000,-3.7131,-1.3506,-2.3625,0.0000,24.0000,20.0000,60.0000,16.0000
28560.0000,-0.2508,0.0000,-0.2508,0.0000,0.0000,7.5000,11.5000,4.0000
28570.0000,-0.2445,-0.1763,-0.0682,0.0000,3.0000,9.0000,11.0000,-1.0000
28580.0000,-0.5049,0.0000,-0.5049,0.0000,0.0000,3.5000,12.5000,9.0000
28590.0000,-1.9423,0.0000,-1.9423,0.0000,0.0000,108.0000,170.0000,62.0000
28600.0000,-1.3453,0.0000,-1.3453,0.0000,0.0000,168.0000,210.0000,42.0000
28610.0000,0.5862,0.0000,0.5862,0.0000,0.0000,47.5000,29.5000,-18.0000
28620.0000,-0.1638,0.0000,-0.1638,0.0000,0.0000,18.0000,22.0000,4.0000
28630.0000,-0.4762,0.0000,-0.4762,0.0000,0.0000,21.0000,28.0000,7.0000
28640.0000,-0.6227,0.0471,-0.6699,1.0000,0.0000,11.5000,20.5000,10.0000
28650.0000,-1.5784,0.0000,-1.5784,1.0000,1.0000,38.0000,67.0000,29.0000
28660.0000,-1.8479,0.0000,-1.8479,0.0000,0.0000,12.5000,36.5000,24.0000
28670.0000,-0.7662,0.1635,-0.9297,3.0000,0.0000,13.0000,20.0000,10.0000
28680.0000,0.2540,0.0000,0.2540,1.0000,1.0000,63.5000,46.5000,-17.0000
28690.0000,0.6220,0.0000,0.6220,0.0000,0.0000,36.5000,27.5000,-9.0000
28700.0000,3.5376,0.0000,3.5376,0.0000,0.0000,68.5000,25.5000,-43.0000
28710.0000,-0.5546,0.0000,-0.5546,0.0000,0.0000,9.5000,15.5000,6.0000
28720.0000,-1.0122,0.0000,-1.0122,0.0000,0.0000,2.5000,16.5000,14.0000
28730.0000,-0.9845,0.0000,-0.9845,0.0000,0.0000,9.5000,21.5000,12.0000
28740.0000,0.1935,0.0000,0.1935,0.0000,0.0000,12.5000,12.5000,0.0000
28750.0000,-1.4317,0.0000,-1.4317,0.5000,0.5000,25.0000,37.0000,12.0000
28760.0000,0.8671,0.0000,0.8671,0.0000,0.0000,39.5000,25.5000,-14.0000
28770.0000,-0.4081,0.0000,-0.4081,0.0000,0.0000,22.5000,27.5000,5.0000
