strike,oi_c,oi_p,vol_c,vol_p,oi_net,vol_net,gex,vex,dex,inv_gex,inv_vex_call,inv_vex_put,inv_net
7955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7950.0,315.0,0.0,0.0,0.0,315.0,0.0,413060.62901457056,0.0,23.176807757605555,0.0,0.0,0.0,0.0
7945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7940.0,284.0,1.0,0.0,0.0,283.0,0.0,390597.1382485836,0.0,-78.58202480188956,0.0,0.0,0.0,0.0
7935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7930.0,301.0,0.0,19.0,0.0,301.0,19.0,434031.5332771841,27397.339309855473,23.234704462851525,0.04323577757058433,0.04323577757058433,0.0,17.0
7925.0,1256.0,14.0,2.0,0.0,1242.0,2.0,3039643.7123329863,4840.196994160806,-1220.9155761266213,0.0,0.0,0.0,0.0
7920.0,573.0,0.0,10.0,0.0,573.0,10.0,1419431.1366105957,24771.922104896956,82.59141989239869,0.0,0.0,0.0,0.0
7915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7910.0,333.0,0.0,0.0,0.0,333.0,0.0,867580.6220443295,0.0,49.241536157511185,0.0,0.0,0.0,0.0
7905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7900.0,616.0,5.0,3.0,0.0,611.0,3.0,1691953.8887549853,8240.035172508044,-406.3826486011937,-0.014515236412879221,-0.014515236412879221,0.0,-3.0
7895.0,189.0,0.0,0.0,0.0,189.0,0.0,532921.1274305778,0.0,29.099674136965987,0.0,0.0,0.0,0.0
7890.0,467.0,2.0,0.0,0.0,465.0,0.0,1352660.7591543768,0.0,-127.12145013528078,0.0,0.0,0.0,0.0
7885.0,282.0,0.0,0.0,0.0,282.0,0.0,839614.8581327996,0.0,44.627554107823016,0.0,0.0,0.0,0.0
7880.0,2773.0,0.0,0.0,0.0,2773.0,0.0,8492569.75011731,0.0,445.24481870212355,0.0,0.0,0.0,0.0
7875.0,1086.0,20.0,0.0,0.0,1066.0,0.0,3423641.689995061,0.0,-1822.9860207341676,0.0,0.0,0.0,0.0
7870.0,375.0,0.0,0.0,0.0,375.0,0.0,1214907.6618480587,0.0,61.90023171916553,0.0,0.0,0.0,0.0
7865.0,363.0,6.0,0.0,0.0,357.0,0.0,1212370.3767470205,0.0,-539.1053233750538,0.0,0.0,0.0,0.0
7860.0,583.0,3.0,0.0,0.0,580.0,0.0,2008925.9542144353,0.0,-200.5466614163935,0.0,0.0,0.0,0.0
7855.0,229.0,0.0,0.0,0.0,229.0,0.0,812800.9458602127,0.0,39.628035970570984,0.0,0.0,0.0,0.0
7850.0,1278.0,123.0,0.0,0.0,1155.0,0.0,4676119.157044408,0.0,-12075.523950550316,0.0,0.0,0.0,0.0
7845.0,248.0,1.0,25.0,0.0,247.0,25.0,1236003.1557385302,124597.09231235182,-37.29305333697681,0.0,0.0,0.0,0.0
7840.0,516.0,1.0,0.0,0.0,515.0,0.0,2652752.6393065793,0.0,32.449553364666215,0.0,0.0,0.0,0.0
7835.0,372.0,30.0,0.0,0.0,342.0,0.0,1974474.2963220493,0.0,-2903.003299993072,0.0,0.0,0.0,0.0
7830.0,592.0,128.0,1.0,0.0,464.0,1.0,3247070.1679603877,5484.915824257411,-12643.093939316917,0.0,0.0,0.0,0.0
7825.0,1101.0,42.0,0.0,0.0,1059.0,0.0,6246509.152704078,0.0,-3903.1647524270334,0.0,0.0,0.0,0.0
7820.0,1308.0,62.0,2.0,0.0,1246.0,2.0,7720826.191741508,11805.544635690381,-5838.819255193054,-0.02064822223013755,-0.02064822223013755,0.0,-2.0
