Time,Activo,SPOT,hedge_pressure_score,hedge_velocity,hedge_exhaustion_flag,dealer_stress_score,stress_gamma_instability,stress_iv_expansion,stress_sweep_aggression,stress_hedge_acceleration,stress_vix_divergence,stress_avg_10c
2026-09-21 05:43:10,VIX,14.87,6.4,0.0,0,15.0,0.0,0.0,0.0,15,0.0,15.0
2026-09-21 05:44:49,VIX,14.87,6.4,0.0,0,0.2,0.0,0.2,0.0,0.0,0.0,7.6
2026-09-21 05:45:08,VIX,14.87,6.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.1
2026-09-21 05:46:08,VIX,14.87,6.4,0.0,0,4.1,0.0,4.1,0.0,0.0,0.0,4.8
2026-09-21 05:47:08,VIX,14.86,6.4,-107434.64,0,3.9,0.0,3.7,0.0,0.2,0.0,4.6
2026-09-21 05:48:08,VIX,14.87,58.1,0.0,0,10.7,10.2,0.3,0.0,0.2,0.0,5.7
2026-09-21 05:49:08,VIX,14.88,58.1,215510.46,0,7.6,7.3,0.0,0.0,0.2,0.1,5.9
2026-09-21 05:50:08,VIX,14.89,58.1,215829.94,0,6.4,6.0,0.1,0.0,0.2,0.1,6.0
2026-09-21 05:51:08,VIX,14.89,58.1,107915.72,0,5.6,5.3,0.3,0.0,0.0,0.0,6.0
2026-09-21 05:52:08,VIX,14.89,58.1,0.0,0,4.8,4.7,0.1,0.0,0.0,0.0,5.8
2026-09-21 05:53:08,VIX,14.89,58.1,0.0,0,4.5,4.3,0.1,0.0,0.0,0.0,4.8
2026-09-21 05:54:08,VIX,14.89,58.1,0.0,0,4.2,4.0,0.1,0.0,0.0,0.0,5.2
2026-09-21 05:55:08,VIX,14.88,58.1,-107755.07,0,4.1,3.8,0.1,0.0,0.2,0.0,5.6
2026-09-21 05:56:08,VIX,14.88,58.1,-107755.22,0,3.6,3.6,0.0,0.0,0.0,0.0,5.5
2026-09-21 05:57:08,VIX,14.87,58.1,-107595.57,0,3.8,3.4,0.2,0.0,0.2,0.0,5.5
2026-09-21 05:58:08,VIX,14.88,58.1,0.0,0,3.8,3.3,0.3,0.0,0.2,0.0,4.8
2026-09-21 05:59:08,VIX,14.89,58.1,215830.72,0,3.7,3.1,0.3,0.0,0.2,0.1,4.5
2026-09-21 06:00:08,VIX,14.89,58.1,107914.93,0,3.3,3.0,0.2,0.0,0.0,0.0,4.1
2026-09-21 06:01:08,VIX,14.89,58.1,0.0,0,5.8,2.9,2.9,0.0,0.0,0.0,4.2
2026-09-21 06:02:08,VIX,14.89,58.1,0.0,0,2.9,2.8,0.1,0.0,0.0,0.0,4.0
2026-09-21 06:03:08,VIX,14.88,58.1,-107972.82,0,22.8,2.7,20,0.0,0.0,0.0,5.8
2026-09-21 06:04:08,VIX,14.87,58.1,-215674.8,0,20.2,2.7,17.4,0.0,0.2,0.0,7.4
2026-09-21 06:05:08,VIX,14.88,58.1,0.0,0,2.9,2.6,0.1,0.0,0.2,0.0,7.3
2026-09-21 06:06:08,VIX,14.88,58.1,108006.94,0,6.6,2.5,4.0,0.0,0.0,0.1,7.6
2026-09-21 06:07:08,VIX,14.89,58.1,108167.24,0,2.8,2.5,0.1,0.0,0.2,0.0,7.5
2026-09-21 06:08:08,VIX,14.89,58.1,108166.29,0,2.7,2.4,0.3,0.0,0.0,0.0,7.4
2026-09-21 06:09:08,VIX,14.89,58.1,0.0,0,2.4,2.3,0.1,0.0,0.0,0.0,7.2
2026-09-21 06:10:08,VIX,14.89,58.1,0.0,0,2.4,2.3,0.1,0.0,0.0,0.0,7.2
2026-09-21 06:11:08,VIX,14.89,58.1,0.0,0,2.7,2.2,0.5,0.0,0.0,0.0,6.8
2026-09-21 06:12:08,VIX,14.89,58.1,0.0,0,2.3,2.2,0.1,0.0,0.0,0.0,6.8
2026-09-21 06:13:08,VIX,14.89,58.1,0.0,0,2.0,1.9,0.1,0.0,0.0,0.0,4.7
2026-09-21 06:14:09,VIX,14.88,58.1,-107933.44,0,21.9,1.6,20,0.0,0.3,0.0,4.9
2026-09-21 06:15:08,VIX,14.87,58.1,-215546.76,0,1.9,1.3,0.4,0.0,0.2,0.0,4.8
2026-09-21 06:16:08,VIX,14.86,58.0,-215224.0,0,1.2,0.9,0.1,0.0,0.2,0.0,4.3
2026-09-21 06:17:09,VIX,14.87,58.1,0.0,0,20.1,0.0,20,0.0,0.1,0.0,6.0
2026-09-21 06:18:08,VIX,14.87,58.1,107691.31,0,0.3,0.0,0.2,0.0,0.0,0.0,5.7
2026-09-21 06:19:08,VIX,14.87,58.1,0.0,0,12.6,0.0,12.6,0.0,0.0,0.0,6.8
2026-09-21 06:20:08,VIX,14.85,58.0,-214802.44,0,0.6,0.0,0.2,0.0,0.4,0.0,6.6
2026-09-21 06:21:08,VIX,14.86,58.0,-107564.9,0,0.7,0.0,0.5,0.0,0.2,0.0,6.4
2026-09-21 06:22:08,VIX,14.85,58.1,0.0,0,20.5,0.0,20,0.0,0.5,0.0,8.2
2026-09-21 06:23:08,VIX,14.86,58.1,0.0,0,17.2,0.0,16.9,0.0,0.3,0.0,9.7
2026-09-21 06:24:08,VIX,14.89,58.1,435767.8,0,8.3,0.0,7.4,0.0,0.7,0.2,8.4
2026-09-21 06:25:08,VIX,14.89,58.1,326826.33,0,0.2,0.0,0.1,0.0,0.0,0.2,8.2
2026-09-21 06:26:08,VIX,14.89,58.1,0.0,0,1.1,0.0,1.1,0.0,0.0,0.0,8.2
2026-09-21 06:27:08,VIX,14.88,58.1,-108746.3,0,0.6,0.0,0.4,0.0,0.2,0.0,6.2
2026-09-21 06:28:08,VIX,14.87,58.1,-217165.32,0,0.3,0.0,0.1,0.0,0.2,0.0,6.2
2026-09-21 06:29:08,VIX,14.87,58.1,-108608.11,0,20.0,0.0,20,0.0,0.0,0.0,7.0
2026-09-21 06:30:08,VIX,14.87,58.1,0.0,0,0.4,0.0,0.4,0.0,0.0,0.0,6.9
2026-09-21 06:31:08,VIX,14.87,58.1,0.0,0,0.5,0.0,0.5,0.0,0.0,0.0,6.9
2026-09-21 06:32:08,VIX,14.86,58.1,-108444.44,0,0.6,0.0,0.4,0.0,0.2,0.0,4.9
2026-09-21 06:33:08,VIX,14.87,58.1,0.0,0,0.3,0.0,0.1,0.0,0.2,0.0,3.2
2026-09-21 06:34:08,VIX,14.85,58.1,-108281.0,0,0.5,0.0,0.1,0.0,0.4,0.0,2.5
2026-09-21 06:35:08,VIX,14.84,58.1,-323985.72,0,17.1,0.0,16.7,0.0,0.3,0.0,4.2
2026-09-21 06:36:08,VIX,14.84,58.1,-107994.94,0,0.1,0.0,0.1,0.0,0.0,0.0,4.1
2026-09-21 06:37:09,VIX,14.85,58.1,108280.82,0,17.2,0.0,16.8,0.0,0.3,0.0,5.7
2026-09-21 06:38:08,VIX,14.86,58.1,216889.34,0,0.5,0.0,0.2,0.0,0.2,0.1,5.7
2026-09-21 06:39:08,VIX,14.86,58.1,108443.9,0,0.1,0.0,0.1,0.0,0.0,0.0,3.7
2026-09-21 06:40:08,VIX,14.84,58.1,-216174.62,0,20.5,0.0,20,0.0,0.5,0.0,5.7
2026-09-21 06:41:09,VIX,14.83,58.1,-323765.31,0,0.3,0.0,0.1,0.0,0.2,0.0,5.7
2026-09-21 06:42:09,VIX,14.84,58.1,0.0,0,0.3,0.0,0.1,0.0,0.2,0.0,5.7
2026-09-21 06:43:08,VIX,14.81,58.0,-215180.28,0,0.9,0.0,0.2,0.0,0.7,0.0,5.8
2026-09-21 06:44:08,VIX,14.82,58.0,-215513.8,0,0.4,0.0,0.2,0.0,0.2,0.0,5.7
2026-09-21 06:45:08,VIX,14.81,58.0,0.0,0,0.2,0.0,0.0,0.0,0.2,0.0,4.1
2026-09-21 06:46:08,VIX,14.81,58.0,-107590.21,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2026-09-21 06:47:08,VIX,14.81,58.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
2026-09-21 06:48:08,VIX,14.82,58.0,107756.06,0,0.5,0.0,0.2,0.0,0.2,0.0,2.3
2026-09-21 06:49:08,VIX,14.83,58.1,215842.82,0,0.3,0.0,0.0,0.0,0.2,0.1,2.3
2026-09-21 06:50:08,VIX,14.82,58.0,0.0,0,0.7,0.0,0.5,0.0,0.2,0.0,0.4
2026-09-21 06:51:08,VIX,14.82,58.0,-107756.15,0,0.1,0.0,0.1,0.0,0.0,0.0,0.3
2026-09-21 06:52:08,VIX,14.82,58.0,0.0,0,0.6,0.0,0.6,0.0,0.0,0.0,0.4
2026-09-21 06:53:08,VIX,14.79,58.0,-322047.51,0,5.6,0.0,5.0,0.0,0.6,0.0,0.8
2026-09-21 06:54:08,VIX,14.8,54.9,-215100.3,0,46.7,26.5,20,0.0,0.3,0.0,5.5
2026-09-21 06:55:08,VIX,14.8,53.5,107549.77,0,24.8,24.8,0.0,0.0,0.0,0.1,7.9
2026-09-21 06:56:08,VIX,14.78,53.5,-214388.76,0,32.8,17.8,14.6,0.0,0.5,0.0,11.2
2026-09-21 06:57:08,VIX,14.79,55.7,-107361.53,0,17.7,17.2,0.3,0.0,0.2,0.0,13.0
2026-09-21 06:58:08,VIX,14.81,55.8,323087.04,0,17.5,14.1,2.8,0.0,0.4,0.2,14.7
2026-09-21 06:59:08,VIX,14.81,55.8,215393.36,0,12.3,12.1,0.1,0.0,0.0,0.1,15.9
2026-09-21 07:00:08,VIX,14.81,55.8,0.0,0,10.7,10.7,0.0,0.0,0.0,0.0,16.9
2026-09-21 07:01:08,VIX,14.81,57.1,0.0,1,32.2,11.9,20,0.0,0.2,0.0,20.1
2026-09-21 07:02:09,VIX,14.82,57.2,107601.42,1,11.1,10.5,0.3,0.0,0.2,0.0,21.1
2026-09-21 07:03:08,VIX,14.84,57.2,323817.84,0,10.1,9.5,0.0,0.0,0.4,0.1,21.6
2026-09-21 07:04:08,VIX,14.84,57.2,215877.3,0,8.9,8.6,0.2,0.0,0.0,0.1,17.8
2026-09-21 07:05:08,VIX,14.79,57.1,-535448.5,0,9.1,7.9,0.1,0.0,1.1,0.0,16.2
2026-09-21 07:06:09,VIX,14.77,57.1,-747229.63,0,8.0,7.3,0.2,0.0,0.5,0.0,13.7
2026-09-21 07:07:08,VIX,14.77,57.1,-213494.04,0,7.0,6.8,0.2,0.0,0.0,0.0,12.7
2026-09-21 07:08:08,VIX,14.79,57.1,214179.94,0,7.1,6.3,0.2,0.0,0.5,0.1,11.6
2026-09-21 07:09:08,VIX,14.79,57.1,214180.48,1,6.5,5.9,0.5,0.0,0.0,0.1,11.1
2026-09-21 07:10:08,VIX,14.81,57.1,214861.72,1,6.3,5.5,0.2,0.0,0.5,0.1,10.6
2026-09-21 07:11:08,VIX,14.82,57.2,322800.39,0,5.5,5.1,0.0,0.0,0.2,0.2,8.0
2026-09-21 07:12:08,VIX,14.81,57.1,0.0,1,5.2,4.8,0.1,0.0,0.2,0.0,7.4
2026-09-21 07:13:08,VIX,14.82,57.2,0.0,1,4.8,4.5,0.1,0.0,0.2,0.0,6.8
2026-09-21 07:14:08,VIX,14.82,57.2,107600.83,0,4.4,4.2,0.1,0.0,0.0,0.0,6.4
2026-09-21 07:15:08,VIX,14.85,57.2,324319.86,0,24.8,3.9,20,0.0,0.7,0.1,7.9
2026-09-21 07:16:09,VIX,14.85,57.2,324336.45,0,23.8,3.7,20,0.0,0.0,0.1,9.5
2026-09-21 07:17:09,VIX,14.85,57.2,0.0,0,4.4,3.4,0.9,0.0,0.0,0.0,9.3
2026-09-21 07:18:08,VIX,14.85,57.2,0.0,0,19.6,3.2,16.5,0.0,0.0,0.0,10.5
2026-09-21 07:19:08,VIX,14.84,57.2,-107931.01,0,3.7,2.9,0.5,0.0,0.2,0.0,10.2
2026-09-21 07:20:08,VIX,14.84,57.2,-107930.03,0,2.8,2.7,0.1,0.0,0.0,0.0,9.9
2026-09-21 07:21:08,VIX,14.84,57.2,0.0,0,6.0,2.5,3.5,0.0,0.0,0.0,9.9
2026-09-21 07:22:09,VIX,14.84,57.2,0.0,0,10.9,2.3,8.6,0.0,0.0,0.0,10.5
2026-09-21 07:23:08,VIX,14.86,57.2,216509.26,0,2.9,2.2,0.1,0.0,0.4,0.1,10.3
2026-09-21 07:24:08,VIX,14.87,57.2,325269.24,0,2.8,2.3,0.1,0.0,0.2,0.1,10.2
2026-09-21 07:25:08,VIX,14.87,58.0,108423.82,0,2.5,2.1,0.4,0.0,0.0,0.0,7.9
2026-09-21 07:26:08,VIX,14.87,58.0,0.0,0,2.1,1.9,0.2,0.0,0.0,0.0,5.8
2026-09-21 07:27:08,VIX,14.87,55.6,0.0,1,16.6,16.4,0.2,0.0,0.0,0.0,7.0
2026-09-21 07:28:08,VIX,14.87,53.0,0.0,1,21.3,21.0,0.3,0.0,0.0,0.0,7.2
2026-09-21 07:29:08,VIX,14.87,51.4,0.0,1,26.4,19.0,7.3,0.0,0.0,0.0,9.4
2026-09-21 07:30:08,VIX,14.88,50.9,99527.73,0,44.3,15.4,20,0.0,8.8,0.1,13.6
2026-09-21 07:31:08,VIX,14.87,51.4,0.0,0,40.8,13.0,20,0.0,7.9,0.0,17.1
2026-09-21 07:32:08,VIX,14.87,51.4,-108080.48,0,31.3,11.3,20,0.0,0.0,0.0,19.1
2026-09-21 07:33:11,VIX,14.87,76.2,0.0,0,40.4,26.5,13.8,0.0,0.1,0.0,22.9
2026-09-21 07:34:09,VIX,14.88,76.2,108375.88,0,23.6,18.4,5.0,0.0,0.2,0.1,24.9
2026-09-21 07:35:09,VIX,14.88,76.2,108331.02,0,34.8,14.8,20,0.0,0.0,0.1,28.2
2026-09-21 07:36:09,VIX,14.88,76.2,0.0,1,12.8,12.5,0.3,0.0,0.0,0.0,29.2
2026-09-21 07:37:08,VIX,14.87,76.2,-108163.49,0,31.2,11.0,20,0.0,0.2,0.0,30.7
2026-09-21 07:38:08,VIX,14.87,76.2,-108163.01,0,26.7,9.8,16.9,0.0,0.0,0.0,31.2
