Time,Activo,Strike,Type,Contracts,Premium,Price,IV,Delta,Gamma,DealerState,SPOT,Side,Rel,Moneyness
2026-09-22 10:09:29,GLD,420.0,UNUSUAL_CALL_VOL,315,3308.0,0.11,29.45,0.025,0.005404,SHORT_GAMMA,397.64,UAC,ABOVE,22.36
2026-09-22 10:09:29,GLD,420.0,PUT_BLOCK_SELL,27,61088.0,22.62,38.04,-0.934,0.009078,SHORT_GAMMA,397.64,SAP,ABOVE,22.36
2026-09-22 10:27:29,GLD,405.0,CALL_BLOCK_SELL,2226,180306.0,0.81,21.88,0.185,0.032827,SHORT_GAMMA,397.37,SAC,ABOVE,7.63
2026-09-22 11:49:29,GLD,421.0,UNUSUAL_CALL_VOL,309,2472.0,0.08,29.67,0.02,0.004429,SHORT_GAMMA,397.56,UAC,ABOVE,23.44
2026-09-22 13:09:44,GLD,399.0,PUT_BLOCK_SELL,267,74092.0,2.78,21.41,-0.457,0.05049,SHORT_GAMMA,399.6,SAP,BELOW,-0.6
2026-09-23 08:38:07,GLD,410.0,UNUSUAL_CALL_VOL,812,10150.0,0.12,27.11,0.037,0.009679,LONG_GAMMA,394.47,UAC,ABOVE,15.53
2026-09-23 08:38:07,GLD,409.0,UNUSUAL_CALL_VOL,720,9720.0,0.14,26.06,0.041,0.010923,LONG_GAMMA,394.47,UAC,ABOVE,14.53
2026-09-23 08:38:07,GLD,395.0,CALL_BLOCK_BUY,207,50508.0,2.44,21.28,0.479,0.060246,LONG_GAMMA,394.47,BAC,ATM,0.53
2026-09-23 08:42:30,GLD,390.0,CALL_BLOCK_BUY,202,109080.0,5.4,23.46,0.719,0.046349,LONG_GAMMA,394.0,BAC,BELOW,-4.0
2026-09-23 09:29:20,GLD,400.0,UNUSUAL_CALL_VOL,416,21840.0,0.53,22.98,0.148,0.032829,LONG_GAMMA,392.38,UAC,ABOVE,7.62
2026-09-23 09:29:20,GLD,400.0,PUT_BLOCK_SELL,1073,858400.0,8.0,20.99,-0.874,0.032195,LONG_GAMMA,392.38,SAP,ABOVE,7.62
2026-09-23 09:29:20,GLD,397.0,UNUSUAL_CALL_VOL,372,37572.0,1.01,21.97,0.256,0.047803,LONG_GAMMA,392.38,UAC,ABOVE,4.62
2026-09-23 09:29:20,GLD,395.0,PUT_BLOCK_SELL,123,50430.0,4.1,21.58,-0.643,0.056356,LONG_GAMMA,392.38,SAP,ABOVE,2.62
2026-09-23 09:29:20,GLD,391.0,PUT_BLOCK_BUY,423,80793.0,1.91,21.13,-0.405,0.0598,LONG_GAMMA,392.38,BAP,BELOW,-1.38
2026-09-23 09:51:02,GLD,394.0,CALL_BLOCK_SELL,235,50172.0,2.13,21.38,0.442,0.060328,LONG_GAMMA,392.86,SAC,ABOVE,1.14
2026-09-23 10:33:23,GLD,400.0,UNUSUAL_CALL_VOL,272,14008.0,0.52,22.29,0.148,0.034162,LONG_GAMMA,392.68,UAC,ABOVE,7.32
2026-09-23 10:33:23,GLD,397.0,UNUSUAL_CALL_VOL,281,28802.0,1.02,21.36,0.263,0.050262,LONG_GAMMA,392.68,UAC,ABOVE,4.32
2026-09-23 10:55:32,GLD,385.0,UNUSUAL_PUT_VOL,252,9828.0,0.39,21.66,-0.119,0.030305,LONG_GAMMA,392.49,UAP,BELOW,-7.49
2026-09-23 11:38:30,GLD,400.0,PUT_BLOCK_SELL,128,92800.0,7.25,21.46,-0.846,0.036696,LONG_GAMMA,393.18,SAP,ABOVE,6.82
2026-09-23 11:38:30,GLD,397.0,PUT_BLOCK_SELL,150,72750.0,4.85,21.22,-0.715,0.053127,LONG_GAMMA,393.18,SAP,ABOVE,3.82
2026-09-23 12:30:15,GLD,398.0,PUT_BLOCK_BUY,250,151250.0,6.05,20.93,-0.8,0.044923,LONG_GAMMA,392.55,BAP,ABOVE,5.45
2026-09-23 12:30:15,GLD,397.0,PUT_BLOCK_SELL,246,129765.0,5.28,21.03,-0.751,0.05055,LONG_GAMMA,392.55,SAP,ABOVE,4.45
2026-09-23 12:30:15,GLD,385.0,UNUSUAL_PUT_VOL,503,22132.0,0.44,22.93,-0.127,0.030419,LONG_GAMMA,392.55,UAP,BELOW,-7.55
2026-09-23 13:15:10,GLD,400.0,UNUSUAL_CALL_VOL,376,20680.0,0.55,22.17,0.16,0.037058,SHORT_GAMMA,393.24,UAC,ABOVE,6.76
2026-09-23 13:15:10,GLD,400.0,PUT_BLOCK_SELL,83,59345.0,7.15,21.13,-0.852,0.036961,SHORT_GAMMA,393.24,SAP,ABOVE,6.76
2026-09-23 13:15:10,GLD,384.0,UNUSUAL_PUT_VOL,1265,33522.0,0.27,23.19,-0.083,0.022199,SHORT_GAMMA,393.24,UAP,BELOW,-9.24
2026-09-23 14:02:43,GLD,381.0,UNUSUAL_PUT_VOL,1086,15747.0,0.15,25.61,-0.046,0.012732,SHORT_GAMMA,393.33,UAP,BELOW,-12.33
2026-09-23 14:26:46,GLD,390.0,UNUSUAL_PUT_VOL,305,38888.0,1.27,21.28,-0.313,0.056889,SHORT_GAMMA,392.87,UAP,BELOW,-2.87
2026-09-23 14:51:13,GLD,410.0,PUT_BLOCK_BUY,30,51600.0,17.2,36.75,-0.937,0.011559,SHORT_GAMMA,393.0,BAP,ABOVE,17.0
2026-09-23 14:51:13,GLD,400.0,CALL_BLOCK_SELL,1169,57281.0,0.49,22.19,0.147,0.035659,SHORT_GAMMA,393.0,SAC,ABOVE,7.0
2026-09-23 14:51:13,GLD,390.0,UNUSUAL_PUT_VOL,265,32065.0,1.21,21.14,-0.303,0.056716,SHORT_GAMMA,393.0,UAP,BELOW,-3.0
