strike,oi_c,oi_p,vol_c,vol_p,oi_net,vol_net,gex,vex,dex,inv_gex,inv_vex_call,inv_vex_put,inv_net
173.0,96.0,10.0,60.0,0.0,86.0,60.0,5792.259596861145,3620.1622480382157,-919.1253963124373,10.235618901388785,10.235618901388785,0.0,20.0
172.0,146.0,2.0,74.0,0.0,144.0,74.0,9437.99887756267,4783.643266709846,-72.39916322941052,-24.9093522367449,-24.9093522367449,0.0,-58.0
171.0,167.0,316.0,3.0,0.0,-149.0,3.0,12930.71672997501,232.28832449056907,-31423.60448333481,-0.46586151280439525,-0.46586151280439525,0.0,-1.0
170.0,1701.0,131.0,98.0,0.0,1570.0,98.0,126631.85374951219,7295.662355938974,-11507.029366667039,22.647251644080637,22.647251644080637,0.0,67.0
169.0,1408.0,294.0,35.0,0.0,1114.0,35.0,247276.6579975318,6146.791924654553,-24946.43886104253,13.465291249303277,13.465291249303277,0.0,32.0
168.0,258.0,56.0,19.0,0.0,202.0,19.0,65407.37711713995,4816.822345835887,-4145.1880404998465,-5.9583061195775135,-5.9583061195775135,0.0,-5.0
167.0,583.0,21.0,124.0,0.0,562.0,124.0,136540.6528270734,29041.236621881824,432.4180400271807,-9.305876315715821,-9.305876315715821,0.0,4.0
166.0,628.0,1.0,23.0,0.0,627.0,23.0,72306.52043461947,2648.168742032242,701.5179871428762,-20.54553833815424,-20.54553833815424,0.0,-18.0
165.0,1831.0,188.0,419.0,19.0,1643.0,400.0,305854.8624207995,69990.81777952757,-15105.497719077588,137.05895042529164,114.99112986102537,22.06782056426626,89.0
164.0,1240.0,138.0,43.0,0.0,1102.0,43.0,325980.3863946486,11304.158560459588,-9095.70906030921,-20.92392982728867,-20.92392982728867,0.0,-25.0
163.0,634.0,70.0,783.0,0.0,564.0,783.0,141779.30042691965,175099.67229381413,-5381.927886444748,-1276.605172646727,-1276.605172646727,0.0,-539.0
162.0,2620.0,306.0,1423.0,0.0,2314.0,1423.0,728841.7378388296,395855.6461621305,-22204.50468079651,584.640261090578,584.640261090578,0.0,185.0
161.0,3952.0,1799.0,524.0,26.0,2153.0,498.0,1475585.3665398648,195649.4767468661,-161582.55161123959,288.61456336361846,288.61456336361846,0.0,11.0
160.0,3290.0,4056.0,5363.0,47.0,-766.0,5316.0,1567503.8887238032,2555174.272105093,-385060.4973536178,486.31763569997565,423.9641471964678,62.35348850350701,-116.0
159.0,840.0,212.0,1670.0,0.0,628.0,1670.0,513643.2850775529,1021171.7691422779,-13770.376860727458,901.5002585927709,901.5002585927709,0.0,191.0
158.0,952.0,321.0,2137.0,34.0,631.0,2103.0,716755.4664816009,1608935.3275957783,-20711.570401858426,360.72403143612155,254.8479706643493,105.87606077177232,205.0
157.0,893.0,952.0,2844.0,102.0,-59.0,2742.0,801559.3188948089,2552782.4221017207,-80795.89239145741,2841.309985232381,2599.0489107468584,242.2610744855236,436.0
156.0,4285.0,1794.0,3668.0,90.0,2491.0,3578.0,4391116.502410243,3758836.7166489554,-89355.29520876706,3268.7753338414786,3153.6893894430614,115.08594439841704,335.0
155.0,1536.0,4188.0,11628.0,762.0,-2652.0,10866.0,1731610.4832414153,13108832.486413527,-378455.2670103163,-6626.305071695802,-8866.800010886873,2240.4949391910727,-1774.0
154.0,1518.0,302.0,5145.0,993.0,1216.0,4152.0,1779874.1093683087,6032577.267918279,18984.734264510877,1749.6910827277497,1298.713218438752,450.9778642889978,18.0
153.0,2348.0,314.0,5002.0,2389.0,2034.0,2613.0,2758922.085371863,5877397.048990656,58784.89767124022,-3616.6673877805842,-7425.073094291769,3808.4057065111847,-1211.0
152.0,716.0,518.0,5294.0,3627.0,198.0,1667.0,822797.8473365622,6083647.770670056,-20257.97809508478,-2463.9275207342434,3805.7792658886938,-6269.706786622937,1259.0
151.0,1827.0,378.0,2354.0,3558.0,1449.0,-1204.0,368070.0557968882,-12722919.616428979,68597.22163660916,-2705.772753697529,7014.599099952668,-9720.371853650196,1959.0
150.0,6036.0,2608.0,4776.0,11346.0,3428.0,-6570.0,-2586096.2519797836,-32749369.339349184,220663.50756997772,-5999.887537091425,-3388.0288586157985,-2611.858678475626,-628.0
149.0,998.0,551.0,307.0,3914.0,447.0,-3607.0,-493591.8120522452,-9650556.35399881,41581.398796591806,-395.94309112424344,1038.1928773723143,-1434.1359684965591,341.0
148.0,1118.0,808.0,448.0,2355.0,310.0,-1907.0,-630530.2564149762,-4186750.200620822,51070.074332309625,-1023.2823198525257,580.1414509064689,-1603.4237707589946,358.0
147.0,2024.0,2349.0,1700.0,1844.0,-325.0,-144.0,-3467143.3087542527,-2721759.1576597877,164472.83881185352,-783.5740976256693,-2671.778555329477,1888.2044577038068,-1125.0
146.0,406.0,764.0,60.0,1270.0,-358.0,-1210.0,-862855.8586954965,-1434328.4562084822,31051.816395110996,326.31241671215594,92.5116678000328,233.80074891212325,1.0
145.0,925.0,3561.0,216.0,5208.0,-2636.0,-4992.0,-3059156.208536522,-4474048.170193262,59604.78352406887,1084.207289631203,-92.39336795416335,1176.6006575853653,-545.0
144.0,414.0,825.0,15.0,1516.0,-411.0,-1501.0,-542164.8353611632,-996268.9580697253,35607.27669243618,-354.482136829909,0.0,-354.482136829909,368.0
143.0,203.0,1022.0,11.0,887.0,-819.0,-876.0,-513868.4201179445,-445989.5192217385,14843.56202384599,90.14017188422952,0.0,90.14017188422952,-77.0
142.0,114.0,2102.0,1.0,2907.0,-1988.0,-2906.0,-1007186.9345941392,-1392907.9062155862,-1958.7855765126335,1507.7767213364293,0.0,1507.7767213364293,-849.0
141.0,52.0,711.0,9.0,599.0,-659.0,-590.0,-211854.02264032688,-178481.79966463544,2953.809141092983,-188.45804540394568,1.0522445742518164e-11,-188.45804540395622,258.0
140.0,1432.0,9162.0,59.0,2872.0,-7730.0,-2813.0,-2488383.525936464,-780030.2866720721,113714.29931083493,-508.2396923284241,19.190481939203067,-527.4301742676271,356.0
139.0,156.0,382.0,0.0,355.0,-226.0,-355.0,-73129.7198853859,-67960.86533851306,14791.55244438926,-154.2121480446025,0.0,-154.2121480446025,187.0
138.0,135.0,3108.0,4.0,537.0,-2973.0,-533.0,-523049.2081603737,-90372.40179604913,7339.183132959693,153.5235977699502,0.0,153.5235977699502,-367.0
137.0,53.0,686.0,14.0,218.0,-633.0,-204.0,-116293.3071753898,-36956.18216360784,3738.199629905613,-67.60999811860731,0.0,-67.60999811860731,46.0
136.0,43.0,1623.0,54.0,116.0,-1580.0,-62.0,-131333.64821854274,-9386.754894239655,2913.1799656718345,-3.224642288898302,-3.765777878046065e-18,-3.224642288898302,-38.0
135.0,587.0,3824.0,63.0,251.0,-3237.0,-188.0,-380732.82696905,-24990.569971033354,53854.047870697694,0.5250803320288426,0.0,0.5250803320288426,-23.0
134.0,126.0,368.0,5.0,70.0,-242.0,-65.0,-30135.050720222913,-5732.21073482501,12212.535139267613,-1.2481485334548168,0.0,-1.2481485334548168,-1.0
133.0,99.0,912.0,3.0,378.0,-813.0,-375.0,-74653.90480623904,-30942.07896574381,8850.1966949738,15.12720538158576,0.0,15.12720538158576,-63.0
132.0,72.0,424.0,4.0,1251.0,-352.0,-1247.0,-26076.08389801333,-76936.74753871387,6845.336427308584,109.58914037005277,-3.6525034975461474e-32,109.58914037005277,-401.0
