Time,Activo,Type,Direction,NumStrikes,TotalContracts,TotalPremium,IsLadder,SPOT
2026-09-24 20:31:32,NQ,BULLISH_CALL_SWEEP,BULLISH,8,504,5476438.0,True,30759.75
2026-09-24 20:31:32,NQ,BEARISH_PUT_SWEEP,BEARISH,6,842,5478713.0,True,30759.75
2026-09-24 20:31:32,NQ,VOL_CRUSH_SWEEP,NEUTRAL,,,17758850.0,,30759.75
2026-09-24 20:35:33,NQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,30756.25
2026-09-24 20:47:36,NQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,30796.0
2026-09-24 20:51:37,NQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,30786.5
2026-09-24 20:51:37,NQ,HEDGE_CHASE_SWEEP,BEARISH,,,,,30786.5
2026-09-24 21:22:43,NQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,30807.0
2026-09-24 21:51:36,NQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,30770.5
2026-09-24 23:21:33,NQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,30771.25
2026-09-25 04:06:32,NQ,VOL_CRUSH_SWEEP,NEUTRAL,,,50475988.0,,30951.5
2026-09-25 04:12:32,NQ,HEDGE_CHASE_SWEEP,BULLISH,,,,,30953.5
2026-09-25 04:26:32,NQ,HEDGE_CHASE_SWEEP,BEARISH,,,,,30945.75
