strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
7360.0000,-0.0354,0.0000,-0.0354,0.0000,0.0000,10.0000,25.0000,15.0000
7365.0000,-0.1698,0.0000,-0.1698,0.0000,0.0000,0.0000,89.0000,89.0000
7370.0000,-0.1838,0.0000,-0.1838,0.0000,0.0000,0.0000,84.0000,84.0000
7375.0000,-0.9374,0.0000,-0.9374,0.0000,0.0000,0.0000,472.0000,472.0000
7380.0000,-0.1853,0.0000,-0.1853,0.0000,0.0000,136.0000,230.0000,94.0000
7385.0000,-1.0385,0.0000,-1.0385,0.0000,0.0000,152.0000,641.0000,489.0000
7390.0000,0.0449,0.0000,0.0449,0.0000,0.0000,185.0000,192.0000,7.0000
7395.0000,-0.2212,0.0000,-0.2212,0.0000,0.0000,128.0000,326.0000,198.0000
7400.0000,2.0491,-0.0000,2.0491,0.0000,13.0000,652.0000,316.0000,-349.0000
7405.0000,0.9756,0.0000,0.9756,3.0000,3.0000,187.5000,18.5000,-169.0000
7410.0000,0.3905,-0.0000,0.3905,0.0000,4.0000,110.0000,42.0000,-72.0000
7415.0000,0.0812,0.0000,0.0812,0.0000,0.0000,34.0000,42.0000,8.0000
7420.0000,0.0453,0.0000,0.0453,5.0000,0.0000,37.0000,90.0000,58.0000
7425.0000,-0.5276,0.0000,-0.5276,3.0000,0.0000,38.0000,324.0000,289.0000
7430.0000,0.2967,-0.0000,0.2967,0.0000,1.0000,90.0000,124.0000,33.0000
7435.0000,-1.3644,0.0000,-1.3644,0.0000,0.0000,10.0000,666.0000,656.0000
7440.0000,-1.6872,-0.0000,-1.6872,127.5000,132.5000,0.0000,910.0000,905.0000
7445.0000,0.2528,0.0000,0.2528,0.0000,0.0000,386.0000,495.0000,109.0000
7450.0000,-1.7829,0.0246,-1.8074,3.5000,10.5000,38.0000,618.0000,573.0000
7455.0000,-1.6208,0.0000,-1.6208,0.0000,0.0000,423.5000,942.5000,519.0000
7460.0000,0.6579,-0.3816,1.0396,1.5000,5.5000,397.5000,490.5000,89.0000
7465.0000,2.5538,-0.0000,2.5538,0.5000,2.5000,494.5000,227.5000,-269.0000
7470.0000,-1.5821,0.0000,-1.5821,1.5000,18.5000,82.5000,315.5000,216.0000
7475.0000,4.6143,0.0000,4.6143,1.0000,6.0000,598.0000,124.0000,-479.0000
7480.0000,1.5991,-0.0000,1.5991,3.5000,5.5000,296.0000,61.0000,-237.0000
7485.0000,3.8848,0.0000,3.8848,1.5000,1.5000,422.5000,79.5000,-343.0000
7490.0000,8.0530,0.0171,8.0359,1.5000,0.5000,969.0000,1406.0000,438.0000
7495.0000,-12.1209,0.0000,-12.1209,0.5000,0.5000,263.0000,1170.0000,907.0000
7500.0000,-7.2717,0.0172,-7.2889,1.5000,10.5000,1296.0000,2372.0000,1067.0000
7505.0000,4.2592,0.0000,4.2592,0.0000,0.0000,570.5000,338.5000,-232.0000
7510.0000,7.5818,0.0247,7.5572,4.5000,3.5000,1190.5000,512.5000,-677.0000
7515.0000,5.0127,0.0000,5.0127,1.0000,0.0000,752.5000,665.5000,-86.0000
7520.0000,-0.8006,0.0000,-0.8006,30.0000,0.0000,680.0000,478.0000,-172.0000
7525.0000,9.1933,0.0000,9.1933,3.0000,3.0000,1076.0000,1206.0000,130.0000
7530.0000,-1.2624,0.0000,-1.2624,2.5000,0.5000,542.0000,1013.0000,473.0000
7535.0000,-9.0783,-0.2402,-8.8382,6.0000,20.0000,400.0000,1313.0000,899.0000
7540.0000,-6.7771,0.0000,-6.7771,0.0000,0.0000,517.0000,1442.0000,925.0000
7545.0000,0.6969,0.0000,0.6969,5.0000,0.0000,575.0000,1040.0000,470.0000
7550.0000,-19.9578,-0.1397,-19.8181,13.5000,10.5000,1691.0000,4224.0000,2536.0000
7555.0000,-46.7134,-0.0740,-46.6393,0.0000,9.0000,1214.0000,2765.0000,1542.0000
7560.0000,60.8325,-1.1313,61.9638,7.0000,27.0000,3033.0000,360.0000,-2693.0000
7565.0000,-14.6226,-0.0441,-14.5784,3.0000,2.0000,1038.0000,845.0000,-192.0000
7570.0000,17.7695,-0.0056,17.7750,0.0000,5.0000,2882.0000,994.0000,-1893.0000
7575.0000,66.6371,2.0878,64.5494,24.0000,23.0000,3488.5000,749.5000,-2738.0000
7580.0000,48.2735,0.0431,48.2304,16.0000,5.0000,1987.0000,1145.0000,-831.0000
7585.0000,37.3633,-2.3043,39.6677,8.0000,48.0000,1889.0000,1643.0000,-286.0000
