strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
6985.0000,-0.0493,0.0000,-0.0493,0.0000,0.0000,0.0000,644.0000,644.0000
6990.0000,-0.0301,0.0000,-0.0301,0.0000,0.0000,0.0000,376.0000,376.0000
6995.0000,0.0056,0.0059,-0.0002,1.0000,0.0000,0.0000,3.0000,4.0000
7000.0000,0.0143,0.0061,0.0082,1.0000,0.0000,283.0000,0.0000,-282.0000
7005.0000,-0.0500,0.0000,-0.0500,0.0000,0.0000,0.0000,570.0000,570.0000
7010.0000,-0.0517,0.0000,-0.0517,0.0000,0.0000,0.0000,306.0000,306.0000
7015.0000,0.0008,0.0000,0.0008,0.0000,0.0000,26.0000,0.0000,-26.0000
7020.0000,0.0003,0.0000,0.0003,0.0000,0.0000,10.0000,0.0000,-10.0000
7025.0000,0.0003,0.0000,0.0003,0.0000,0.0000,10.0000,0.0000,-10.0000
7030.0000,0.0068,0.0064,0.0004,1.0000,0.0000,10.0000,0.0000,-9.0000
7035.0000,-0.0187,0.0038,-0.0225,1.0000,0.0000,0.0000,111.0000,112.0000
7040.0000,-0.1535,0.0000,-0.1535,0.0000,0.0000,0.0000,727.0000,727.0000
7045.0000,-0.1159,0.0000,-0.1159,0.0000,0.0000,0.0000,530.0000,530.0000
7050.0000,0.5182,0.0042,0.5140,1.0000,0.0000,12334.5000,14.5000,-12319.0000
7055.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000
7060.0000,0.0078,0.0078,0.0000,1.0000,0.0000,11.5000,11.5000,1.0000
7065.0000,-0.2163,0.0000,-0.2163,0.0000,0.0000,0.0000,842.0000,842.0000
7070.0000,0.0095,0.0095,0.0000,1.0000,0.0000,1.0000,1.0000,1.0000
7075.0000,-0.2284,0.0000,-0.2284,0.0000,0.0000,0.0000,817.0000,817.0000
7080.0000,-0.0023,0.0000,-0.0023,0.0000,0.0000,0.0000,8.0000,8.0000
7085.0000,-0.0962,0.0094,-0.1056,1.0000,0.0000,0.0000,227.0000,228.0000
7090.0000,0.0050,0.0056,-0.0006,1.0000,0.0000,0.0000,2.0000,3.0000
7095.0000,-0.2702,0.0115,-0.2817,1.0000,0.0000,0.0000,553.0000,554.0000
7100.0000,0.0000,0.0000,0.0000,0.0000,12.0000,63.0000,63.0000,-12.0000
7105.0000,-0.5198,0.0125,-0.5323,1.0000,0.0000,0.0000,955.0000,956.0000
7110.0000,-0.4035,0.0000,-0.4035,0.0000,0.0000,0.0000,502.0000,502.0000
7115.0000,-0.0006,0.0000,-0.0006,0.0000,0.0000,0.0000,1.0000,1.0000
7120.0000,-0.0039,0.0141,-0.0180,1.0000,0.0000,0.0000,28.0000,29.0000
7125.0000,0.0270,0.0000,0.0270,0.0000,0.0000,41.0000,1.0000,-40.0000
7130.0000,-0.0187,0.0117,-0.0304,1.0000,0.0000,0.0000,24.0000,25.0000
7135.0000,-0.0239,0.0000,-0.0239,0.0000,0.0000,5.0000,48.0000,43.0000
7140.0000,0.0175,0.0128,0.0047,1.0000,0.0000,6.0000,0.0000,-5.0000
7145.0000,0.0016,0.0134,-0.0118,1.0000,0.0000,0.0000,8.0000,9.0000
