Time,Activo,Type,Direction,NumStrikes,TotalContracts,TotalPremium,IsLadder,SPOT
2026-07-20 22:12:51,ES,BEARISH_PUT_SWEEP,BEARISH,3,745,1776160.0,True,7503.5
2026-07-20 22:15:50,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7503.75
2026-07-20 22:37:50,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7509.0
2026-07-20 22:41:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7510.75
2026-07-20 22:46:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7510.75
2026-07-20 22:47:50,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7510.75
2026-07-20 22:48:50,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7511.25
2026-07-20 22:56:50,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7511.25
2026-07-20 23:07:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7515.75
2026-07-20 23:07:51,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7515.75
2026-07-20 23:25:50,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7514.5
2026-07-20 23:26:50,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7513.5
2026-07-20 23:47:50,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7515.0
2026-07-20 23:47:50,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7515.0
2026-07-21 00:00:55,ES,BULLISH_CALL_SWEEP,BULLISH,7,4506,8581588.0,True,7514.5
2026-07-21 00:00:55,ES,VOL_CRUSH_SWEEP,NEUTRAL,,,10581133.0,,7514.5
2026-07-21 00:09:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7513.5
2026-07-21 00:18:51,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7511.0
2026-07-21 00:24:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7514.25
2026-07-21 00:32:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7515.25
2026-07-21 00:40:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7518.25
2026-07-21 00:44:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7521.0
2026-07-21 00:51:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7521.75
2026-07-21 00:55:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7521.5
2026-07-21 01:13:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7521.75
2026-07-21 01:49:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7524.5
2026-07-21 01:56:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7524.0
2026-07-21 01:56:51,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7524.0
2026-07-21 02:26:51,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7516.75
2026-07-21 02:30:51,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7514.5
2026-07-21 02:36:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7520.0
2026-07-21 02:42:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7517.75
2026-07-21 02:45:51,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7517.25
2026-07-21 02:46:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7517.25
2026-07-21 02:58:51,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7518.0
2026-07-21 03:12:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7518.75
2026-07-21 03:15:51,ES,HEDGE_CHASE_SWEEP,BULLISH,,,,,7522.75
2026-07-21 03:19:51,ES,HEDGE_CHASE_SWEEP,BEARISH,,,,,7522.25
