strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
377.0000,5.5127,0.0000,5.5127,0.0000,0.0000,47.0000,34.0000,-13.0000
378.0000,3.3871,0.0000,3.3871,0.0000,0.0000,40.5000,29.5000,-11.0000
379.0000,18.6484,0.0000,18.6484,0.0000,0.0000,67.0000,21.0000,-46.0000
380.0000,45.3331,-11.0145,56.3475,0.5000,17.5000,178.5000,58.5000,-137.0000
381.0000,51.0462,0.0000,51.0462,0.0000,0.0000,143.5000,47.5000,-96.0000
382.0000,390.0937,-1.0085,391.1022,0.0000,1.0000,1399.5000,823.5000,-577.0000
383.0000,23.4641,0.0000,23.4641,0.0000,0.0000,110.5000,74.5000,-36.0000
384.0000,69.1232,0.0000,69.1232,0.0000,0.0000,184.0000,98.0000,-86.0000
385.0000,-719.2260,5.1066,-724.3326,17.5000,13.5000,114.0000,1013.0000,903.0000
386.0000,694.6290,5.4450,689.1840,5.0000,0.0000,835.0000,53.0000,-777.0000
387.0000,19.1317,4.9270,14.2047,3.0000,0.0000,25.0000,16.0000,-6.0000
388.0000,8.3476,-13.6337,21.9813,1.0000,10.0000,33.5000,18.5000,-24.0000
389.0000,13.7353,0.0000,13.7353,0.0000,0.0000,69.5000,61.5000,-8.0000
390.0000,-16307.6560,-409.4291,-15898.2269,31.0000,234.0000,1046.5000,8853.5000,7604.0000
391.0000,14.9744,-1.8636,16.8379,0.5000,1.5000,39.0000,32.0000,-8.0000
392.0000,2.2830,-0.0253,2.3083,5.0000,5.0000,66.5000,65.5000,-1.0000
393.0000,-50.7621,0.8197,-51.5818,5.0000,4.0000,120.5000,144.5000,25.0000
394.0000,322.9839,322.6810,0.3030,108.5000,7.5000,33.0000,31.0000,99.0000
395.0000,205.0788,536.0587,-330.9799,348.5000,196.5000,223.5000,320.5000,249.0000
396.0000,4093.7807,81.9566,4011.8242,38.0000,18.0000,1346.0000,205.0000,-1121.0000
397.0000,-413.9125,-34.4671,-379.4453,18.5000,27.5000,62.5000,159.5000,88.0000
398.0000,258.6580,18.7919,239.8661,27.0000,22.0000,139.5000,82.5000,-52.0000
399.0000,-35.9816,48.0886,-84.0702,78.0000,66.0000,86.0000,99.0000,25.0000
400.0000,-24492.6997,-14069.5344,-10423.1653,1586.5000,4809.5000,680.0000,3023.0000,-880.0000
401.0000,-951.2955,-1155.1370,203.8414,125.0000,384.0000,217.5000,175.5000,-301.0000
402.0000,-203.2955,37.9248,-241.2203,345.5000,337.5000,67.0000,118.0000,59.0000
403.0000,351.4114,470.7097,-119.2983,815.5000,694.5000,20.0000,45.0000,146.0000
404.0000,718.1745,724.1390,-5.9645,453.5000,291.5000,27.5000,29.5000,164.0000
405.0000,-3286.5423,-2263.9845,-1022.5578,1335.5000,1861.5000,96.5000,325.5000,-297.0000
406.0000,-184.6854,-195.6062,10.9208,238.5000,284.5000,14.0000,11.0000,-49.0000
407.0000,25.6464,36.8966,-11.2502,292.5000,282.5000,71.5000,74.5000,13.0000
408.0000,826.5477,984.1760,-157.6284,1567.5000,1254.5000,4.0000,48.0000,357.0000
409.0000,-71.4608,-72.9185,1.4577,91.5000,113.5000,9.0000,8.0000,-23.0000
410.0000,-387.6825,-295.4103,-92.2722,1095.5000,1207.5000,36.5000,67.5000,-81.0000
411.0000,9.7860,11.0420,-1.2560,77.0000,75.0000,3.5000,3.5000,2.0000
412.0000,-65.8655,-51.1776,-14.6879,292.0000,314.0000,8.5000,15.5000,-15.0000
413.0000,193.5813,199.2739,-5.6926,160.5000,76.5000,2.5000,5.5000,87.0000
414.0000,42.9973,49.6627,-6.6654,83.5000,62.5000,3.5000,7.5000,25.0000
415.0000,-275.0092,-212.1536,-62.8556,431.5000,551.5000,20.0000,55.0000,-85.0000
416.0000,-15.9881,-5.9757,-10.0124,64.0000,69.0000,2.0000,8.0000,1.0000
417.0000,-27.3980,-19.3783,-8.0197,15.0000,30.0000,0.5000,5.5000,-10.0000
418.0000,516.4468,548.9954,-32.5486,478.0000,67.0000,1.0000,32.0000,442.0000
419.0000,-4.2670,-5.3042,1.0373,16.0000,20.0000,2.0000,0.0000,-6.0000
420.0000,-55.4451,-56.8244,1.3793,269.0000,304.0000,15.0000,12.0000,-38.0000
421.0000,-72.2323,-72.2323,0.0000,99.5000,247.5000,1.0000,1.0000,-148.0000
422.0000,-64.5895,-65.1759,0.5863,10.0000,108.0000,1.0000,0.0000,-99.0000
423.0000,-37.7776,-34.5052,-3.2724,33.5000,91.5000,0.0000,4.0000,-54.0000
424.0000,1.2442,1.2442,0.0000,2.0000,0.0000,0.0000,0.0000,2.0000
425.0000,-0.9442,0.0000,-0.9442,4.0000,4.0000,0.0000,1.0000,1.0000
426.0000,-0.9210,0.0000,-0.9210,0.5000,0.5000,0.0000,1.0000,1.0000
427.0000,-57.9562,-57.1172,-0.8390,48.0000,167.0000,0.0000,1.0000,-118.0000
