Time,Activo,Strike,Type,Contracts,Premium,Price,IV,Delta,Gamma,DealerState,SPOT
2026-06-09 17:03:32,NDX,29780.0,PUT_BLOCK_SELL,22,1612710.0,733.05,41.78,-0.862,0.000355,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29760.0,PUT_BLOCK_SELL,20,1430100.0,715.05,41.58,-0.856,0.000367,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29750.0,UNUSUAL_CALL_VOL,57,103455.0,18.15,32.31,0.088,0.000333,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29750.0,PUT_BLOCK_SELL,23,1623455.0,705.85,41.41,-0.853,0.000373,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29700.0,UNUSUAL_CALL_VOL,101,227755.0,22.55,32.27,0.105,0.00038,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29700.0,PUT_BLOCK_SELL,24,1584720.0,660.3,40.59,-0.839,0.000404,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29680.0,PUT_BLOCK_SELL,16,1027760.0,642.35,40.3,-0.833,0.000417,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29650.0,PUT_BLOCK_SELL,17,1045925.0,615.25,39.76,-0.824,0.000438,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29600.0,UNUSUAL_CALL_VOL,133,460180.0,34.6,32.34,0.148,0.00048,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29600.0,PUT_BLOCK_SELL,18,1029150.0,571.75,39.16,-0.805,0.000473,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29580.0,PUT_BLOCK_SELL,20,1109400.0,554.7,38.95,-0.797,0.000487,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29560.0,PUT_BLOCK_SELL,20,1075700.0,537.85,38.76,-0.788,0.000502,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29550.0,PUT_BLOCK_SELL,24,1269840.0,529.1,38.57,-0.785,0.00051,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29500.0,UNUSUAL_CALL_VOL,159,833955.0,52.45,32.68,0.203,0.00058,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29500.0,PUT_BLOCK_SELL,29,1416360.0,488.4,38.21,-0.761,0.000546,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29490.0,PUT_BLOCK_SELL,31,1488775.0,480.25,38.11,-0.756,0.000553,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29480.0,PUT_BLOCK_SELL,25,1181375.0,472.55,38.09,-0.75,0.00056,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29450.0,UNUSUAL_CALL_VOL,53,335755.0,63.35,32.78,0.233,0.000627,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29420.0,UNUSUAL_CALL_VOL,89,636350.0,71.5,33.03,0.254,0.000652,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29400.0,UNUSUAL_CALL_VOL,76,582920.0,76.7,33.07,0.267,0.000668,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29400.0,PUT_BLOCK_BUY,33,1377185.0,411.1,37.61,-0.707,0.000615,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29390.0,PUT_BLOCK_BUY,39,1577355.0,404.45,37.71,-0.7,0.000619,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29350.0,CALL_BLOCK_BUY,181,1657960.0,91.6,33.3,0.303,0.000704,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29350.0,PUT_BLOCK_SELL,32,1218720.0,380.85,38.53,-0.671,0.00063,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29340.0,PUT_BLOCK_SELL,42,1575210.0,375.05,38.71,-0.664,0.000633,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29300.0,CALL_BLOCK_BUY,112,1216880.0,108.65,33.58,0.34,0.000733,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29200.0,CALL_BLOCK_BUY,90,1352700.0,150.3,34.43,0.418,0.000762,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29200.0,PUT_BLOCK_SELL,55,1572450.0,285.9,38.52,-0.573,0.000684,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29100.0,CALL_BLOCK_BUY,61,1221830.0,200.3,35.33,0.495,0.000759,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29100.0,PUT_BLOCK_BUY,49,1157870.0,236.3,39.41,-0.504,0.00068,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29090.0,PUT_BLOCK_BUY,52,1204580.0,231.65,39.48,-0.497,0.000679,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29080.0,CALL_BLOCK_BUY,229,4800985.0,209.65,35.23,0.51,0.000761,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29050.0,PUT_BLOCK_SELL,50,1073250.0,214.65,39.94,-0.47,0.000669,SHORT_GAMMA,29084.5
2026-06-09 17:03:32,NDX,29000.0,CALL_BLOCK_SELL,93,2373825.0,255.25,35.74,0.57,0.000738,SHORT_GAMMA,29084.5
