Time,Activo,SPOT,hedge_pressure_score,hedge_velocity,hedge_exhaustion_flag,dealer_stress_score,stress_gamma_instability,stress_iv_expansion,stress_sweep_aggression,stress_hedge_acceleration,stress_vix_divergence,stress_avg_10c
2026-07-27 16:34:46,NDX,28039.21,0.0,0.0,0,20.0,0.0,0.0,20,0.0,0.0,20.0
2026-07-27 16:35:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2026-07-27 16:36:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
2026-07-27 16:37:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2026-07-27 16:38:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2026-07-27 16:39:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.3
2026-07-27 16:40:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
2026-07-27 16:41:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
2026-07-27 16:42:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
2026-07-27 16:43:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-07-27 16:44:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:45:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:46:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:47:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:48:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:49:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:50:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:51:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:52:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:53:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:54:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:55:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:56:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:57:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:58:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 16:59:45,NDX,28039.21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-27 17:00:46,NDX,28039.21,74.3,0.0,0,65.0,30,20,0.0,15,0.0,6.5
2026-07-27 17:01:45,NDX,28039.21,74.3,0.0,0,32.1,30,2.1,0.0,0.0,0.0,9.7
2026-07-27 17:02:45,NDX,28039.21,74.3,0.0,0,33.0,30,3.0,0.0,0.0,0.0,13.0
2026-07-27 17:03:46,NDX,28039.21,74.3,0.0,0,35.2,30,5.2,0.0,0.0,0.0,16.5
2026-07-27 17:04:46,NDX,28039.21,74.3,0.0,0,31.2,30,1.2,0.0,0.0,0.0,19.7
2026-07-27 17:05:46,NDX,28039.21,74.3,0.0,0,33.1,30,3.0,0.0,0.0,0.0,23.0
2026-07-27 17:06:46,NDX,28039.21,74.3,0.0,0,31.5,30,1.4,0.0,0.0,0.0,26.1
2026-07-27 17:07:46,NDX,28039.21,74.3,0.0,0,33.1,30,3.1,0.0,0.0,0.0,29.4
2026-07-27 17:08:45,NDX,28039.21,74.3,0.0,0,31.8,30,1.7,0.0,0.0,0.0,32.6
2026-07-27 17:09:46,NDX,28039.21,74.3,0.0,0,33.1,30,3.1,0.0,0.0,0.0,35.9
