strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
28060.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,1.0000,1.0000
28070.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,7.0000,7.0000
28080.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,32.0000,32.0000
28090.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,1.0000,1.0000
28100.0000,-0.0115,0.0000,-0.0115,0.0000,0.0000,0.0000,10.0000,10.0000
28110.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,5.0000,5.0000
28120.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,11.0000,11.0000
28130.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,10.0000,10.0000
28140.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,11.0000,11.0000
28150.0000,0.0676,0.0000,0.0676,0.0000,0.0000,9.0000,2.0000,-7.0000
28160.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,5.0000,5.0000
28170.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,6.0000,6.0000
28180.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,5.0000,5.0000
28190.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,1.0000,1.0000
28200.0000,0.0446,0.0000,0.0446,1.0000,1.0000,19.0000,11.0000,-8.0000
28210.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,7.0000,7.0000
28220.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,6.0000,6.0000
28230.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000
28240.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,2.0000,0.0000
28250.0000,0.4556,0.0000,0.4556,0.0000,0.0000,62.0000,25.0000,-37.0000
28260.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,7.0000
28270.0000,0.0114,0.0000,0.0114,2.0000,0.0000,1.0000,4.0000,5.0000
28280.0000,0.0122,0.0000,0.0122,0.0000,0.0000,2.0000,14.0000,12.0000
28290.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,5.0000,3.0000
28300.0000,-0.0491,0.0000,-0.0491,0.0000,0.0000,18.0000,31.0000,13.0000
28310.0000,0.0014,0.0000,0.0014,0.0000,0.0000,1.0000,2.0000,1.0000
28320.0000,-0.2377,0.0000,-0.2377,0.0000,0.0000,0.0000,36.0000,36.0000
28330.0000,0.1588,0.0000,0.1588,0.0000,3.0000,26.0000,35.0000,6.0000
28340.0000,-0.1640,0.0000,-0.1640,0.0000,0.0000,15.0000,28.0000,13.0000
28350.0000,-0.1400,0.0000,-0.1400,0.0000,4.0000,18.0000,108.0000,86.0000
28360.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,5.0000
28370.0000,0.0876,0.0000,0.0876,0.0000,0.0000,10.0000,9.0000,-1.0000
28380.0000,-0.0123,0.0000,-0.0123,0.0000,1.0000,0.0000,4.0000,3.0000
28390.0000,0.0183,0.0000,0.0183,1.0000,3.0000,4.5000,13.5000,7.0000
28400.0000,-0.1166,0.0000,-0.1166,1.0000,0.0000,84.0000,48.0000,-35.0000
28410.0000,-0.1185,0.0000,-0.1185,1.0000,2.0000,2.0000,21.0000,18.0000
28420.0000,0.0638,0.0000,0.0638,3.0000,1.0000,10.5000,4.5000,-4.0000
28430.0000,-0.3527,0.0000,-0.3527,0.5000,3.5000,3.5000,34.5000,28.0000
28440.0000,-0.4058,0.0000,-0.4058,0.0000,1.0000,0.0000,23.0000,22.0000
28450.0000,-0.2142,0.0000,-0.2142,0.0000,3.0000,20.0000,38.0000,15.0000
28460.0000,-0.1621,0.0000,-0.1621,0.5000,0.5000,0.0000,9.0000,9.0000
28470.0000,-0.0027,0.0000,-0.0027,0.0000,0.0000,3.0000,4.0000,1.0000
28480.0000,-0.3596,0.0000,-0.3596,2.5000,0.5000,9.0000,18.0000,11.0000
28490.0000,0.1131,0.0000,0.1131,0.0000,2.0000,13.0000,9.0000,-6.0000
28500.0000,-0.1373,0.0000,-0.1373,1.0000,10.0000,41.0000,63.0000,13.0000
28510.0000,-0.4423,0.0000,-0.4423,0.0000,0.0000,7.0000,23.0000,16.0000
28520.0000,-0.3380,0.0000,-0.3380,1.0000,3.0000,6.0000,20.0000,12.0000
28530.0000,-0.2888,0.0000,-0.2888,3.0000,1.0000,15.5000,28.5000,15.0000
28540.0000,-0.1207,0.0000,-0.1207,0.0000,2.0000,16.5000,18.5000,0.0000
28550.0000,0.0101,0.0000,0.0101,4.0000,5.0000,13.0000,25.0000,11.0000
28560.0000,-0.1764,0.0000,-0.1764,2.0000,5.0000,4.0000,16.0000,9.0000
28570.0000,-0.2488,0.0000,-0.2488,2.5000,1.5000,14.5000,23.5000,10.0000
28580.0000,-0.1049,0.0000,-0.1049,2.0000,1.0000,0.0000,7.0000,8.0000
28590.0000,-0.2057,0.0000,-0.2057,5.0000,3.0000,8.0000,13.0000,7.0000
28600.0000,0.4588,0.0000,0.4588,2.0000,4.0000,99.0000,110.0000,9.0000
28610.0000,-0.0926,0.0000,-0.0926,1.0000,1.0000,22.0000,21.0000,-1.0000
