strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
145.0000,0.0000,0.0000,0.0000,2.5000,30.5000,407.0000,813.0000,378.0000
150.0000,0.0000,0.0000,0.0000,17.5000,15.5000,915.0000,2702.0000,1789.0000
155.0000,-0.7917,0.0000,-0.7917,3.0000,3.0000,589.5000,486.5000,-103.0000
160.0000,9.7216,-0.0600,9.7816,17.5000,23.5000,1369.0000,1480.0000,105.0000
165.0000,158.3485,-0.1002,158.4486,12.0000,18.0000,5844.0000,4505.0000,-1345.0000
170.0000,-593.6819,1.2684,-594.9503,16.5000,3.5000,5230.0000,9103.0000,3886.0000
175.0000,808.0504,-0.3370,808.3874,4.5000,5.5000,7234.0000,3672.0000,-3563.0000
180.0000,-0.4838,4.1017,-4.5855,37.5000,39.5000,9519.0000,9399.0000,-122.0000
185.0000,0.0182,-13.5957,13.6139,56.0000,80.0000,5358.5000,5383.5000,1.0000
187.5000,-237.8884,-7.5784,-230.3100,406.5000,373.5000,2323.5000,2623.5000,333.0000
190.0000,-5105.5924,141.3310,-5246.9234,388.0000,229.0000,11119.5000,16776.5000,5816.0000
192.5000,1212.6652,1.4327,1211.2324,261.5000,252.5000,5448.5000,4448.5000,-991.0000
195.0000,2890.1180,940.0572,1950.0609,1467.0000,781.0000,14263.0000,13030.0000,-547.0000
197.5000,-6256.2294,1287.7059,-7543.9354,1037.5000,270.5000,5464.0000,9979.0000,5282.0000
200.0000,-8412.1844,-2752.7785,-5659.4059,1734.0000,3113.0000,24960.0000,27992.0000,1653.0000
202.5000,4326.2121,84.0038,4242.2083,755.0000,720.0000,8329.5000,6450.5000,-1844.0000
205.0000,1559.6911,791.8722,767.8189,2620.5000,2300.5000,9538.0000,9312.0000,94.0000
207.5000,2701.8098,683.3090,2018.5009,2039.5000,1784.5000,5442.0000,4628.0000,-559.0000
210.0000,-24797.0461,-5190.6096,-19606.4365,21560.0000,23608.0000,17489.5000,24919.5000,5382.0000
212.5000,-2085.8764,1794.1602,-3880.0366,17206.0000,16550.0000,3741.5000,5231.5000,2146.0000
215.0000,-7517.3230,-1686.4077,-5830.9152,18868.0000,19568.0000,2350.0000,4647.0000,1597.0000
217.5000,634.4643,2367.4924,-1733.0281,6495.5000,5520.5000,1024.5000,1723.5000,1674.0000
220.0000,-8892.1792,-7498.9031,-1393.2761,31197.0000,34777.0000,1350.0000,1982.0000,-2948.0000
222.5000,3206.0830,4005.2499,-799.1668,9022.5000,7067.5000,550.0000,951.0000,2356.0000
225.0000,-22139.9476,-22110.6646,-29.2830,21774.5000,33802.5000,1033.0000,1080.0000,-11981.0000
227.5000,-3099.2437,-824.1560,-2275.0877,8656.5000,9117.5000,224.5000,1570.5000,885.0000
230.0000,1570.3861,1215.5449,354.8412,32175.0000,30876.0000,599.0000,338.0000,1038.0000
232.5000,980.4485,1236.3297,-255.8812,5647.0000,4610.0000,1435.5000,1653.5000,1255.0000
235.0000,-11639.9535,-11196.4998,-443.4538,12881.0000,24188.0000,17.0000,458.0000,-10866.0000
237.5000,222.2805,209.5664,12.7141,3396.5000,3127.5000,261.5000,252.5000,260.0000
240.0000,2637.7521,2682.1828,-44.4307,25029.0000,20874.0000,310.5000,384.5000,4229.0000
242.5000,452.3832,465.5319,-13.1487,4210.5000,3319.5000,0.0000,20.0000,911.0000
245.0000,145.3637,137.4513,7.9124,3445.5000,3147.5000,16.5000,6.5000,288.0000
247.5000,82.0929,82.0929,0.0000,2678.0000,2354.0000,0.0000,0.0000,324.0000
250.0000,1316.3354,1277.5881,38.7473,13431.0000,9334.0000,77.5000,52.5000,4072.0000
252.5000,-205.4378,-205.4378,0.0000,864.0000,1741.0000,0.0000,0.0000,-877.0000
255.0000,606.3433,603.4137,2.9295,7209.5000,4144.5000,12.0000,5.0000,3058.0000
257.5000,-5.3558,-5.3558,0.0000,1268.5000,1223.5000,0.5000,0.5000,45.0000
260.0000,30.1334,30.1334,0.0000,273.0000,49.0000,0.0000,0.0000,224.0000
265.0000,13.4385,13.4385,0.0000,260.0000,116.0000,0.0000,0.0000,144.0000
270.0000,1.3248,1.3248,0.0000,69.5000,53.5000,0.0000,0.0000,16.0000
275.0000,0.1190,0.1190,0.0000,24.0000,22.0000,0.0000,0.0000,2.0000
280.0000,4.7520,4.7520,0.0000,124.5000,39.5000,0.0000,0.0000,85.0000
