strike,oi_c,oi_p,vol_c,vol_p,oi_net,vol_net,gex,vex,dex,inv_gex,inv_vex_call,inv_vex_put,inv_net
747.0,4104.0,0.0,7.0,0.0,4104.0,7.0,362749.61363381677,618.7249745216174,181.92857287906418,0.3344133677821627,0.3344133677821627,0.0,7.0
746.0,1737.0,0.0,20.0,0.0,1737.0,20.0,163071.4424434592,1877.6216746512287,79.65670040353778,1.3103674804435008,1.3103674804435008,0.0,20.0
745.0,3865.0,1.0,160.0,1.0,3864.0,159.0,385984.8986488199,15978.676270067577,83.46115105973664,11.102007970883706,11.102007970883706,0.0,160.0
744.0,865.0,0.0,1.0,0.0,865.0,1.0,92123.52070003442,106.50118000003981,42.56918332757803,0.0808725967017613,0.0808725967017613,0.0,1.0
743.0,3850.0,0.0,0.0,0.0,3850.0,0.0,438464.0925779231,0.0,196.79253231908086,0.0,0.0,0.0,0.0
742.0,5448.0,1.0,170.0,91.0,5447.0,79.0,664866.7289434811,20746.575609469855,189.5068396039774,12.75023344923446,12.840766810841314,-0.09053336160685499,170.0
741.0,492.0,0.0,168.0,0.0,492.0,168.0,64488.28443127864,22020.38980580246,27.20944165805552,15.707933834068323,15.707933834068323,0.0,160.0
740.0,9299.0,9.0,1627.0,1.0,9290.0,1626.0,1312395.946591675,229623.42242226642,-364.1485077301395,178.6208735676514,178.6208735676514,0.0,1627.0
739.0,1127.0,2.0,816.0,6.0,1125.0,810.0,171907.49636532622,124468.9592139363,-132.16082712641878,-21.806551960561634,-21.82337990908883,0.016827948527186498,252.0
738.0,1405.0,1.0,1060.0,11.0,1404.0,1049.0,230732.74665775255,155058.4059564925,-9.976936357817667,115.06268991013462,115.06268991013464,0.0,1034.0
737.0,1216.0,1.0,1105.0,0.0,1215.0,1105.0,219023.8666463788,199030.73408244128,-19.61979736937316,-214.80446960950363,-214.80446960950363,0.0,-637.0
736.0,1490.0,2.0,3270.0,15.0,1488.0,3255.0,293151.73030502704,643359.8376492877,-96.5293468654908,-35.88155901439484,-40.51000760662828,4.62844859223344,252.0
735.0,26573.0,43.0,5638.0,62.0,26530.0,5576.0,5742302.680056249,1218345.783696125,-2354.033850964315,179.66742424530446,186.49910221193693,-6.831677966632446,1588.0
734.0,3289.0,3.0,2787.0,7.0,3286.0,2780.0,783701.8528070364,664085.4556926757,-45.60134492401864,125.43969190319012,127.09312336146718,-1.65343145827705,646.0
733.0,4004.0,55.0,5669.0,34.0,3949.0,5635.0,1057988.0482245767,1497935.6257205608,-5171.788207534307,1547.6939524123136,1549.4815987759912,-1.7876463636776587,2822.0
732.0,12644.0,18.0,5194.0,75.0,12626.0,5119.0,3724327.0117698857,1529907.8218232195,-698.9404191158378,680.1130405402505,696.400639163812,-16.28759862356143,1509.0
731.0,3901.0,32.0,10622.0,197.0,3869.0,10425.0,1292015.0745033978,3518016.949852625,-2836.920906915258,5060.581721574833,5102.944148982368,-42.36242740753511,4611.0
