Time,Activo,SPOT,hedge_pressure_score,hedge_velocity,hedge_exhaustion_flag,dealer_stress_score,stress_gamma_instability,stress_iv_expansion,stress_sweep_aggression,stress_hedge_acceleration,stress_vix_divergence,stress_avg_10c
2026-08-13 18:25:08,QQQ,732.18,4.1,0.0,0,35.0,0.0,0.0,20,15,0.0,35.0
2026-08-13 18:26:08,QQQ,732.22,4.1,0.0,0,20.1,0.0,20,0.0,0.1,0.0,27.6
2026-08-13 18:27:08,QQQ,732.25,4.1,39020.17,0,20.0,0.0,20,0.0,0.0,0.0,25.1
2026-08-13 18:28:08,QQQ,732.25,4.1,16722.69,0,0.9,0.0,0.9,0.0,0.0,0.0,19.0
2026-08-13 18:29:08,QQQ,732.2,4.1,-27850.35,0,20.1,0.0,20,0.0,0.1,0.0,19.2
2026-08-13 18:30:07,QQQ,732.17,4.1,-44508.48,0,20.1,0.0,20,0.0,0.1,0.0,19.4
2026-08-13 18:31:07,QQQ,732.2,4.1,0.0,0,20.1,0.0,20,0.0,0.1,0.0,19.5
2026-08-13 18:32:07,QQQ,732.23,4.1,33442.14,0,20.1,0.0,20,0.0,0.1,0.0,19.6
2026-08-13 18:33:07,QQQ,732.2,4.1,0.0,0,20.1,0.0,20,0.0,0.1,0.0,19.6
2026-08-13 18:34:07,QQQ,732.21,4.1,-11143.22,0,20.0,0.0,20,0.0,0.0,0.0,19.7
2026-08-13 18:35:07,QQQ,732.24,4.1,22297.24,0,20.1,0.0,20,0.0,0.1,0.0,18.2
2026-08-13 18:36:07,QQQ,732.22,4.1,5572.81,0,20.0,0.0,20,0.0,0.0,0.0,18.1
2026-08-13 18:37:07,QQQ,732.22,4.1,-11145.08,0,2.5,0.0,2.5,0.0,0.0,0.0,16.4
2026-08-13 18:38:07,QQQ,732.27,4.1,27864.35,0,20.0,0.0,20,0.0,0.0,0.0,18.3
2026-08-13 18:39:07,QQQ,732.13,4.1,-49981.23,0,20.4,0.0,20,0.0,0.4,0.0,18.3
2026-08-13 18:40:07,QQQ,732.18,4.1,-50094.27,0,20.2,0.0,20,0.0,0.2,0.0,18.3
2026-08-13 18:41:07,QQQ,732.07,4.1,-33201.72,0,20.6,0.0,20,0.0,0.6,0.0,18.4
2026-08-13 18:42:07,QQQ,732.11,4.1,-38826.27,0,20.2,0.0,20,0.0,0.2,0.0,18.4
2026-08-13 18:43:07,QQQ,732.14,4.1,38894.31,0,20.2,0.0,20,0.0,0.2,0.0,18.4
2026-08-13 18:44:07,QQQ,732.2,4.1,50130.45,0,20.3,0.0,20,0.0,0.3,0.0,18.4
2026-08-13 18:45:07,QQQ,732.07,4.1,-38731.28,0,20.7,0.0,20,0.0,0.7,0.0,18.5
2026-08-13 18:46:07,QQQ,732.18,4.1,-11132.76,0,20.6,0.0,20,0.0,0.6,0.0,18.6
2026-08-13 18:47:07,QQQ,732.08,4.1,5536.6,0,20.6,0.0,20,0.0,0.6,0.0,20.4
2026-08-13 18:48:07,QQQ,732.15,4.1,-16676.31,0,20.4,0.0,20,0.0,0.4,0.0,20.4
2026-08-13 18:49:07,QQQ,732.15,4.1,38912.79,0,1.3,0.0,1.3,0.0,0.0,0.0,18.5
2026-08-13 18:50:07,QQQ,732.07,4.1,-44264.4,0,20.5,0.0,20,0.0,0.5,0.0,18.5
2026-08-13 18:51:07,QQQ,732.1,4.1,-27717.5,0,20.2,0.0,20,0.0,0.2,0.0,18.5
2026-08-13 18:52:07,QQQ,732.18,4.1,61225.78,0,20.4,0.0,20,0.0,0.4,0.0,18.5
2026-08-13 18:53:07,QQQ,732.15,4.1,27793.85,0,20.1,0.0,20,0.0,0.1,0.0,18.5
2026-08-13 18:54:07,QQQ,732.15,4.1,-16676.37,0,1.5,0.0,1.5,0.0,0.0,0.0,16.6
2026-08-13 18:55:07,QQQ,732.15,4.1,0.0,0,2.0,0.0,2.0,0.0,0.0,0.0,14.8
2026-08-13 18:56:07,QQQ,732.19,4.1,22271.8,0,20.2,0.0,20,0.0,0.2,0.0,14.7
2026-08-13 18:57:07,QQQ,732.25,4.1,55745.9,0,20.1,0.0,20,0.0,0.1,0.0,14.7
2026-08-13 18:58:07,QQQ,732.25,4.1,33445.68,0,2.0,0.0,2.0,0.0,0.0,0.0,12.8
2026-08-13 18:59:07,QQQ,732.14,4.1,-61116.22,0,20.3,0.0,20,0.0,0.3,0.0,14.7
2026-08-13 19:00:07,QQQ,732.38,4.1,72288.45,0,20.1,0.0,20,0.0,0.1,0.0,14.7
2026-08-13 19:01:07,QQQ,732.7,3.9,300913.76,0,23.4,0.0,20,0.0,3.4,0.0,15.0
2026-08-13 19:02:07,QQQ,732.82,3.8,226889.08,0,24.2,0.0,20,0.0,4.2,0.0,15.4
2026-08-13 19:03:07,QQQ,732.97,3.6,132810.57,0,24.8,0.0,20,0.0,4.8,0.0,15.9
2026-08-13 19:04:07,QQQ,733.0,3.6,88533.72,0,20.0,0.0,20,0.0,0.0,0.0,17.7
2026-08-13 19:05:07,QQQ,733.12,3.7,75263.1,0,22.0,0.0,20,0.0,2.0,0.0,19.7
2026-08-13 19:06:07,QQQ,732.84,3.7,-81578.88,0,21.6,0.0,20,0.0,1.6,0.0,19.9
2026-08-13 19:07:07,QQQ,732.59,4.0,-289686.87,0,26.7,0.0,20,0.0,6.7,0.0,20.5
2026-08-13 19:08:07,QQQ,732.34,4.1,-279051.5,0,22.0,0.0,20,0.0,2.0,0.0,22.5
2026-08-13 19:09:07,QQQ,732.55,4.0,-21897.68,0,21.9,0.0,20,0.0,1.9,0.0,22.7
2026-08-13 19:10:07,QQQ,732.66,3.9,171162.24,0,22.3,0.0,20,0.0,2.3,0.0,22.9
2026-08-13 19:11:07,QQQ,732.63,3.9,43031.12,0,20.6,0.0,20,0.0,0.6,0.0,22.6
2026-08-13 19:12:07,QQQ,732.61,3.9,-26951.2,0,20.2,0.0,20,0.0,0.2,0.0,22.2
2026-08-13 19:13:07,QQQ,732.47,4.1,-89333.44,0,23.4,0.0,20,0.0,3.4,0.0,22.1
2026-08-13 19:14:07,QQQ,732.48,4.1,-72546.11,0,20.1,0.0,20,0.0,0.1,0.0,22.1
2026-08-13 19:15:07,QQQ,732.42,4.1,-27741.35,0,20.6,0.0,20,0.0,0.6,0.0,21.9
2026-08-13 19:16:07,QQQ,732.38,4.1,-55609.6,0,20.2,0.0,20,0.0,0.2,0.0,21.8
2026-08-13 19:17:07,QQQ,732.07,4.1,-193641.35,0,20.6,0.0,20,0.0,0.6,0.0,21.2
2026-08-13 19:18:07,QQQ,732.07,4.1,-171506.26,0,2.3,0.0,2.3,0.0,0.0,0.0,19.2
2026-08-13 19:19:07,QQQ,732.05,4.0,-11050.08,0,20.1,0.0,20,0.0,0.1,0.0,19.0
2026-08-13 19:20:07,QQQ,732.07,4.1,0.0,0,20.1,0.0,20,0.0,0.1,0.0,18.8
2026-08-13 19:21:07,QQQ,732.07,4.1,11065.78,0,2.1,0.0,2.1,0.0,0.0,0.0,17.0
2026-08-13 19:22:07,QQQ,732.07,4.1,0.0,0,3.2,0.0,3.2,0.0,0.0,0.0,15.3
2026-08-13 19:23:07,QQQ,732.05,4.0,-11049.78,0,20.1,0.0,20,0.0,0.1,0.0,14.9
2026-08-13 19:24:07,QQQ,732.07,4.1,0.0,0,20.1,0.0,20,0.0,0.1,0.0,14.9
2026-08-13 19:25:07,QQQ,732.02,4.0,-16539.72,0,20.4,0.0,20,0.0,0.4,0.0,14.9
2026-08-13 19:26:07,QQQ,732.04,4.0,-16563.09,0,20.1,0.0,20,0.0,0.1,0.0,14.9
2026-08-13 19:27:07,QQQ,732.07,4.0,27660.65,0,20.2,0.0,20,0.0,0.2,0.0,14.9
2026-08-13 19:28:07,QQQ,732.1,4.1,33258.96,0,20.2,0.0,20,0.0,0.2,0.0,16.7
2026-08-13 19:29:07,QQQ,732.11,4.1,22184.12,0,20.1,0.0,20,0.0,0.1,0.0,16.7
2026-08-13 19:30:07,QQQ,732.05,4.0,-27625.0,0,20.4,0.0,20,0.0,0.4,0.0,16.7
2026-08-13 19:31:07,QQQ,732.01,4.0,-55093.6,0,20.3,0.0,20,0.0,0.3,0.0,18.5
2026-08-13 19:32:07,QQQ,731.98,4.0,-38473.54,0,20.2,0.0,20,0.0,0.2,0.0,20.2
2026-08-13 19:33:07,QQQ,732.07,4.1,33195.36,0,20.7,0.0,20,0.0,0.7,0.0,20.3
2026-08-13 19:34:07,QQQ,732.05,4.0,38677.45,0,20.1,0.0,20,0.0,0.1,0.0,20.3
2026-08-13 19:35:07,QQQ,732.05,4.0,-11050.24,0,2.1,0.0,2.1,0.0,0.0,0.0,18.4
2026-08-13 19:36:07,QQQ,732.07,4.0,11064.08,0,20.1,0.0,20,0.0,0.1,0.0,18.4
2026-08-13 19:37:07,QQQ,732.06,4.0,5528.99,0,20.1,0.0,20,0.0,0.1,0.0,18.4
