strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
713.0000,-1809.3664,-9.5232,-1799.8431,0.0000,10.0000,0.0000,2455.0000,2445.0000
714.0000,-2720.7206,10.9060,-2731.6266,11.0000,0.0000,0.0000,3446.0000,3457.0000
715.0000,-5534.7296,136.5241,-5671.2537,133.0000,0.0000,0.0000,6538.0000,6671.0000
716.0000,-1990.1231,1.0742,-1991.1973,1.0000,0.0000,0.0000,2104.0000,2105.0000
717.0000,3480.3242,0.0000,3480.3242,80.5000,80.5000,3394.0000,0.0000,-3394.0000
718.0000,2824.0596,-53.8126,2877.8721,0.0000,46.0000,2557.0000,0.0000,-2603.0000
719.0000,-5359.2670,0.0000,-5359.2670,16.0000,16.0000,0.0000,4362.0000,4362.0000
720.0000,-17942.6640,0.0000,-17942.6640,113.5000,113.5000,0.0000,13401.0000,13401.0000
721.0000,-8613.3816,0.0000,-8613.3816,64.0000,64.0000,0.0000,5898.0000,5898.0000
722.0000,-6488.9424,0.0000,-6488.9424,70.0000,70.0000,0.0000,4076.0000,4076.0000
723.0000,0.0000,0.0000,0.0000,87.0000,87.0000,2440.0000,2440.0000,0.0000
724.0000,-11315.6733,0.0000,-11315.6733,118.5000,118.5000,0.0000,5985.0000,5985.0000
725.0000,-31673.5305,0.0000,-31673.5305,486.5000,486.5000,0.0000,15393.0000,15393.0000
726.0000,-20646.5271,1089.5601,-21736.0872,653.0000,0.0000,0.0000,9718.0000,10371.0000
727.0000,-13192.2994,0.0000,-13192.2994,636.5000,636.5000,0.0000,5428.0000,5428.0000
728.0000,32507.6524,0.0000,32507.6524,311.5000,311.5000,12353.0000,0.0000,-12353.0000
729.0000,18404.1848,-1633.3855,20037.5704,0.0000,842.0000,7035.0000,0.0000,-7877.0000
730.0000,87472.4024,-5412.9846,92885.3870,0.0000,2686.0000,30174.0000,0.0000,-32860.0000
731.0000,-13490.5465,0.0000,-13490.5465,862.0000,862.0000,0.0000,4070.0000,4070.0000
732.0000,0.0000,0.0000,0.0000,1195.0000,1195.0000,7027.0000,7027.0000,0.0000
733.0000,-59617.9089,-11246.4032,-48371.5057,0.0000,5090.0000,0.0000,12680.0000,7590.0000
734.0000,17205.9156,17205.9156,0.0000,7251.0000,0.0000,7099.5000,7099.5000,7251.0000
735.0000,180661.6429,44386.8625,136274.7803,18066.0000,0.0000,31521.0000,0.0000,-13455.0000
736.0000,99651.5772,0.0000,99651.5772,8050.0000,8050.0000,21955.0000,0.0000,-21955.0000
737.0000,172864.7899,64180.4739,108684.3160,24685.0000,0.0000,22723.0000,0.0000,1962.0000
738.0000,163509.7391,51591.2446,111918.4945,19383.0000,0.0000,22422.0000,0.0000,-3039.0000
739.0000,180463.1918,50154.2653,130308.9265,18526.0000,0.0000,25354.0000,0.0000,-6828.0000
740.0000,-33620.9880,123093.7078,-156714.6958,44975.0000,0.0000,0.0000,29880.0000,74855.0000
741.0000,0.0000,0.0000,0.0000,7051.5000,7051.5000,4481.0000,4481.0000,0.0000
742.0000,-17010.4302,-34736.1981,17725.7679,0.0000,12643.0000,4017.0000,0.0000,-16660.0000
743.0000,-27316.8178,-27316.8178,0.0000,0.0000,10081.0000,1731.0000,0.0000,-11812.0000
744.0000,21103.7562,21103.7562,0.0000,7949.0000,0.0000,731.0000,731.0000,7949.0000
745.0000,46105.6665,46105.6665,0.0000,17964.0000,0.0000,541.0000,541.0000,17964.0000
746.0000,0.0000,0.0000,0.0000,3451.5000,3451.5000,0.0000,63.0000,63.0000
747.0000,-11092.2307,-11092.2307,0.0000,0.0000,4800.0000,75.0000,0.0000,-4875.0000
748.0000,-14504.5291,-14504.5291,0.0000,0.0000,6755.0000,24.0000,24.0000,-6755.0000
749.0000,7699.6882,7699.6882,0.0000,3910.0000,0.0000,16.0000,0.0000,3894.0000
750.0000,23405.0439,23405.0439,0.0000,13149.0000,0.0000,98.5000,98.5000,13149.0000
751.0000,0.0000,0.0000,0.0000,2463.0000,2463.0000,19.0000,0.0000,-19.0000
752.0000,5449.5805,5449.5805,0.0000,3879.0000,0.0000,0.0000,11.0000,3890.0000
753.0000,5194.9996,5194.9996,0.0000,4233.0000,0.0000,4.0000,4.0000,4233.0000
754.0000,3473.5213,3473.5213,0.0000,3243.0000,0.0000,3.5000,3.5000,3243.0000
755.0000,-6627.6048,-6627.6048,0.0000,0.0000,7165.0000,0.0000,882.0000,-6283.0000
756.0000,-1905.9751,-1905.9751,0.0000,0.0000,2399.0000,0.0000,5.0000,-2394.0000
757.0000,2073.2007,2073.2007,0.0000,3046.0000,0.0000,0.0000,1.0000,3047.0000
758.0000,1016.6646,1016.6646,0.0000,1729.0000,0.0000,0.0000,3.0000,1732.0000
759.0000,465.8233,465.8233,0.0000,938.0000,0.0000,0.0000,1.0000,939.0000
760.0000,2589.5493,2589.5493,0.0000,6012.0000,0.0000,0.0000,679.0000,6691.0000
761.0000,-199.5330,-199.5330,0.0000,0.0000,491.0000,5.5000,5.5000,-491.0000
762.0000,-195.5393,-195.5393,0.0000,0.0000,539.0000,0.0000,1.0000,-538.0000
763.0000,201.3059,200.4940,0.8119,612.0000,0.0000,1.0000,0.0000,611.0000
