Time,Activo,SPOT,hedge_pressure_score,hedge_velocity,hedge_exhaustion_flag,dealer_stress_score,stress_gamma_instability,stress_iv_expansion,stress_sweep_aggression,stress_hedge_acceleration,stress_vix_divergence,stress_avg_10c
2026-06-15 17:31:15,RTY,2986.7,65.8,0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:31:41,RTY,2987.1,65.8,0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:32:44,RTY,2986.3,65.8,-0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:33:42,RTY,2986.2,65.8,-0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:34:42,RTY,2987.1,65.8,0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:35:42,RTY,2987.8,65.8,0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:36:42,RTY,2987.5,65.8,0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:37:41,RTY,2987.0,65.8,-0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:38:41,RTY,2986.9,65.8,-0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:39:41,RTY,2986.8,65.8,-0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:40:41,RTY,2987.2,65.8,0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:41:41,RTY,2987.0,65.8,0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:42:41,RTY,2986.8,65.8,-0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:43:41,RTY,2986.7,65.8,-0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:44:41,RTY,2987.0,65.8,0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:45:41,RTY,2987.0,65.8,0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:46:41,RTY,2987.2,65.8,0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
2026-06-15 17:47:41,RTY,2987.2,65.8,0.0,0,30.0,30,0,0.0,0.0,0.0,30.0
