strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
7360.0000,-0.7634,0.0000,-0.7634,5.5000,5.5000,0.0000,412.0000,412.0000
7365.0000,-0.3518,0.0000,-0.3518,5.0000,5.0000,0.0000,185.0000,185.0000
7370.0000,-0.5462,0.0378,-0.5841,1.0000,0.0000,0.0000,300.0000,301.0000
7375.0000,-0.1148,0.1189,-0.2337,3.0000,0.0000,0.0000,118.0000,121.0000
7380.0000,-0.4893,0.0000,-0.4893,1.0000,1.0000,79.0000,414.0000,335.0000
7385.0000,-0.1246,0.0000,-0.1246,1.0000,1.0000,236.5000,296.5000,60.0000
7390.0000,0.2938,0.6999,-0.4060,17.0000,0.0000,0.0000,188.0000,205.0000
7395.0000,-0.3830,0.0000,-0.3830,1.5000,1.5000,181.5000,419.5000,238.0000
7400.0000,1.9237,-0.0432,1.9670,42.0000,1.0000,553.0000,344.0000,-168.0000
7405.0000,-0.4738,0.0000,-0.4738,0.0000,0.0000,3.5000,199.5000,196.0000
7410.0000,0.3981,0.0000,0.3981,1.0000,1.0000,145.5000,121.5000,-24.0000
7415.0000,-0.3176,0.0000,-0.3176,0.0000,0.0000,90.0000,196.0000,106.0000
7420.0000,-0.0176,0.0000,-0.0176,1.0000,1.0000,53.0000,70.0000,17.0000
7425.0000,0.0062,-0.0497,0.0559,0.5000,1.5000,93.0000,100.0000,6.0000
7430.0000,0.1866,0.0000,0.1866,1.0000,1.0000,44.5000,16.5000,-28.0000
7435.0000,-0.0086,0.0000,-0.0086,0.0000,0.0000,11.0000,19.0000,8.0000
7440.0000,-0.1406,0.0000,-0.1406,0.0000,0.0000,13.0000,64.0000,51.0000
7445.0000,-0.0796,0.0000,-0.0796,1.0000,1.0000,38.5000,56.5000,18.0000
7450.0000,0.2218,0.0000,0.2218,4.5000,2.5000,168.5000,150.5000,-16.0000
7455.0000,-0.0408,0.0000,-0.0408,0.0000,0.0000,7.0000,21.0000,14.0000
7460.0000,-0.2717,-0.0819,-0.1898,4.0000,6.0000,21.5000,97.5000,74.0000
7465.0000,-0.1282,0.0000,-0.1282,0.0000,0.0000,44.0000,111.0000,67.0000
7470.0000,0.9382,0.0000,0.9382,2.5000,2.5000,211.5000,180.5000,-31.0000
7475.0000,-1.0992,-0.0000,-1.0992,21.0000,20.0000,222.0000,691.0000,470.0000
7480.0000,-1.8811,0.0000,-1.8811,3.0000,7.0000,102.5000,583.5000,477.0000
7485.0000,-0.8930,0.0000,-0.8930,4.0000,4.0000,90.0000,261.0000,171.0000
7490.0000,-1.4761,0.0000,-1.4761,14.0000,14.0000,285.5000,346.5000,61.0000
7495.0000,-0.6621,0.0000,-0.6621,1.0000,1.0000,183.0000,277.0000,94.0000
7500.0000,14.3582,-0.0712,14.4294,63.0000,24.0000,2475.5000,1365.5000,-1071.0000
7505.0000,-5.4887,0.0000,-5.4887,0.0000,0.0000,302.0000,877.0000,575.0000
7510.0000,3.1599,0.0000,3.1599,26.0000,29.0000,712.5000,476.5000,-239.0000
7515.0000,0.6364,0.0000,0.6364,1.5000,1.5000,414.5000,423.5000,9.0000
7520.0000,0.5223,0.0000,0.5223,15.5000,34.5000,501.5000,522.5000,2.0000
7525.0000,18.8660,0.0000,18.8660,28.5000,7.5000,1539.5000,353.5000,-1165.0000
7530.0000,4.3800,0.0000,4.3800,1.0000,1.0000,427.0000,209.0000,-218.0000
7535.0000,0.9987,0.0000,0.9987,7.5000,6.5000,188.5000,190.5000,3.0000
7540.0000,-2.8295,0.0000,-2.8295,1.0000,1.0000,204.0000,523.0000,319.0000
7545.0000,-0.3783,0.0000,-0.3783,0.0000,0.0000,196.5000,226.5000,30.0000
7550.0000,3.4939,-0.0000,3.4939,20.0000,10.0000,652.0000,513.0000,-129.0000
7555.0000,-9.6117,-2.2407,-7.3710,2.5000,30.5000,249.0000,591.0000,314.0000
7560.0000,-4.9540,-0.0755,-4.8785,19.5000,22.5000,632.5000,919.5000,284.0000
7565.0000,3.8137,0.0000,3.8137,0.0000,16.0000,938.5000,880.5000,-74.0000
7570.0000,-8.8213,0.0000,-8.8213,8.0000,6.0000,637.0000,1048.0000,413.0000
7575.0000,4.8140,-0.0175,4.8315,3.0000,12.0000,1291.5000,1545.5000,245.0000
7580.0000,10.2117,-0.0668,10.2785,26.0000,28.0000,1315.5000,977.5000,-340.0000
7585.0000,6.3420,0.0000,6.3420,45.0000,14.0000,1226.5000,1311.5000,116.0000
7590.0000,7.0630,0.0000,7.0630,10.0000,4.0000,1295.0000,1419.0000,130.0000
7595.0000,13.6329,-0.1643,13.7972,15.5000,24.5000,1841.0000,1610.0000,-240.0000
7600.0000,69.0529,0.5327,68.5202,78.5000,55.5000,4665.5000,3183.5000,-1459.0000
7605.0000,7.9921,-0.0381,8.0302,28.5000,11.5000,2083.0000,2679.0000,613.0000
7610.0000,61.6402,-0.0346,61.6748,27.5000,5.5000,3244.5000,1894.5000,-1328.0000
7615.0000,2.3408,-0.0502,2.3910,18.0000,9.0000,2094.0000,2659.0000,574.0000
7620.0000,72.3115,-0.8477,73.1592,64.0000,35.0000,3308.0000,2177.0000,-1102.0000
7625.0000,-4.4963,-0.9866,-3.5097,30.5000,51.5000,3442.0000,4130.0000,667.0000
7630.0000,96.0476,3.1668,92.8808,47.5000,28.5000,4225.5000,2642.5000,-1564.0000
7635.0000,103.6788,-10.9918,114.6706,46.0000,139.0000,3736.0000,2206.0000,-1623.0000
7640.0000,191.2026,-26.0368,217.2394,82.0000,211.0000,5928.0000,3240.0000,-2817.0000
7645.0000,152.0323,-24.5116,176.5439,91.0000,196.0000,5191.0000,3187.0000,-2109.0000
7650.0000,1296.4337,-18.1813,1314.6150,272.0000,273.0000,20111.5000,9016.5000,-11096.0000
7655.0000,-36.7379,-0.7466,-35.9913,132.5000,129.5000,6760.0000,6297.0000,-460.0000
7660.0000,872.1877,10.1567,862.0310,544.5000,449.5000,11850.0000,8079.0000,-3676.0000
7665.0000,14.4521,-4.4466,18.8988,293.0000,322.0000,12087.0000,10404.0000,-1712.0000
7670.0000,933.9058,-53.0044,986.9102,574.5000,738.5000,19809.5000,15526.5000,-4447.0000
7675.0000,2277.1777,23.9487,2253.2290,995.5000,1003.5000,27320.0000,18898.0000,-8430.0000
7680.0000,4364.8522,9.5859,4355.2663,1348.0000,991.0000,31803.0000,20399.0000,-11047.0000
7685.0000,2553.1877,-174.8949,2728.0827,1964.5000,2091.5000,29823.5000,23568.5000,-6382.0000
7690.0000,13498.3674,10.6783,13487.6891,2610.5000,2132.5000,43126.5000,25103.5000,-17545.0000
7695.0000,10013.7247,-1199.2235,11212.9482,2934.0000,3650.0000,40379.0000,29724.0000,-11371.0000
7700.0000,-22961.8792,-899.0904,-22062.7888,12883.0000,11916.0000,70997.5000,83663.5000,13633.0000
7705.0000,30986.7410,-271.1303,31257.8712,11738.0000,11938.0000,61342.5000,47566.5000,-13976.0000
7710.0000,49229.7528,-7194.1378,56423.8907,35480.0000,41094.0000,88655.5000,76604.5000,-17665.0000
7715.0000,40292.2647,21281.1226,19011.1420,63081.5000,55951.5000,68769.0000,62834.0000,1195.0000
7720.0000,-38026.1016,-28950.7721,-9075.3294,73198.5000,75681.5000,51884.0000,56464.0000,2097.0000
7725.0000,12911.0010,3666.1795,9244.8215,62367.5000,63885.5000,38129.0000,33909.0000,-5738.0000
7730.0000,3419.3860,-4413.4552,7832.8412,54092.0000,59183.0000,26679.5000,21258.5000,-10512.0000
7735.0000,-5548.1192,-4586.7351,-961.3842,39715.5000,42439.5000,14568.0000,14788.0000,-2504.0000
7740.0000,-18166.7564,-11053.2786,-7113.4778,44624.0000,59808.0000,11221.0000,16354.0000,-10051.0000
7745.0000,-2757.0341,-1010.1947,-1746.8394,32707.0000,38587.0000,5147.5000,6697.5000,-4330.0000
7750.0000,5312.9274,7702.1610,-2389.2335,49626.5000,53678.5000,6424.0000,8866.0000,-1610.0000
7755.0000,14539.8010,14448.2588,91.5422,34491.5000,25668.5000,2222.0000,2086.0000,8687.0000
7760.0000,-1349.2501,-1420.3449,71.0948,22934.5000,26890.5000,1534.5000,1441.5000,-4049.0000
7765.0000,-3563.2335,-3619.2239,55.9904,11995.5000,19762.5000,935.0000,787.0000,-7915.0000
7770.0000,-4280.3756,-3933.9082,-346.4674,13425.0000,23197.0000,501.5000,855.5000,-9418.0000
7775.0000,-426.4965,-294.8281,-131.6685,12882.0000,13891.0000,530.0000,674.0000,-865.0000
7780.0000,-2248.1262,-2216.9261,-31.2001,10381.0000,18811.0000,227.5000,278.5000,-8379.0000
7785.0000,-1455.3420,-1467.3639,12.0219,7565.0000,11802.0000,208.5000,163.5000,-4282.0000
7790.0000,-1065.4795,-1061.8805,-3.5990,7550.5000,9942.5000,92.0000,143.0000,-2341.0000
7795.0000,-557.9413,-580.1258,22.1845,3494.0000,6275.0000,78.0000,71.0000,-2788.0000
7800.0000,-1904.9377,-1880.0036,-24.9341,8851.5000,13954.5000,146.0000,316.0000,-4933.0000
7805.0000,-1204.7433,-1212.0253,7.2819,2244.5000,7444.5000,49.0000,53.0000,-5196.0000
7810.0000,-559.1117,-542.6182,-16.4935,4367.5000,5829.5000,27.0000,87.0000,-1402.0000
7815.0000,-300.0574,-299.3262,-0.7312,2608.0000,3468.0000,20.0000,33.0000,-847.0000
7820.0000,71.3072,70.9200,0.3873,6492.0000,5631.0000,12.0000,14.0000,863.0000
7825.0000,-218.0518,-221.3220,3.2703,2718.5000,3915.5000,46.5000,13.5000,-1230.0000
7830.0000,-41.0615,-39.4094,-1.6521,2803.0000,3165.0000,11.5000,24.5000,-349.0000
7835.0000,-32.6660,-31.6515,-1.0145,1330.5000,2010.5000,10.0000,13.0000,-677.0000
7840.0000,-43.7413,-46.0708,2.3295,1937.5000,2712.5000,33.0000,23.0000,-785.0000
7845.0000,-58.4537,-59.1762,0.7225,1625.5000,2191.5000,8.5000,4.5000,-570.0000
7850.0000,-47.2191,-49.0279,1.8088,2102.5000,2794.5000,28.0000,12.0000,-708.0000
7855.0000,-21.2338,-21.2338,0.0000,1851.0000,1947.0000,0.0000,0.0000,-96.0000
7860.0000,-12.1278,-11.9184,-0.2093,1048.5000,851.5000,1.5000,5.5000,201.0000
7865.0000,-29.8682,-29.8656,-0.0026,436.5000,1651.5000,1.0000,1.0000,-1215.0000
7870.0000,-61.1101,-61.1373,0.0272,624.5000,2393.5000,2.5000,2.5000,-1769.0000
7875.0000,20.1556,20.1556,0.0000,935.0000,300.0000,0.0000,0.0000,635.0000
7880.0000,-1.1832,-1.2593,0.0761,596.5000,483.5000,2.0000,1.0000,112.0000
7885.0000,-5.6240,-5.6635,0.0395,327.0000,587.0000,1.0000,0.0000,-261.0000
7890.0000,3.3698,3.3698,0.0000,328.0000,154.0000,0.0000,0.0000,174.0000
7895.0000,3.8861,3.8861,0.0000,391.0000,241.0000,0.0000,0.0000,150.0000
7900.0000,48.4465,48.2341,0.2124,3330.0000,425.0000,43.5000,29.5000,2891.0000
7905.0000,15.8709,15.8709,0.0000,1879.5000,501.5000,0.0000,0.0000,1378.0000
7910.0000,12.0992,11.9757,0.1234,2127.5000,483.5000,3.0000,0.0000,1641.0000
7915.0000,11.6499,11.6499,0.0000,1766.5000,484.5000,0.0000,0.0000,1282.0000
7920.0000,0.3448,0.3448,0.0000,1044.0000,781.0000,0.0000,0.0000,263.0000
7925.0000,-11.7807,-11.7807,0.0000,2659.0000,2328.0000,0.0000,0.0000,331.0000
7930.0000,3.7253,3.7253,0.0000,1277.0000,314.0000,0.0000,0.0000,963.0000
7935.0000,2.4076,2.4076,0.0000,407.0000,14.0000,0.0000,0.0000,393.0000
7940.0000,1.9749,1.9749,0.0000,303.5000,1.5000,0.0000,0.0000,302.0000
7945.0000,0.8853,0.5618,0.3235,105.0000,2.0000,6.0000,0.0000,97.0000
7950.0000,-1.0807,-1.0807,0.0000,361.0000,300.0000,0.0000,0.0000,61.0000
7955.0000,0.0120,0.0120,0.0000,2.0000,0.0000,0.0000,0.0000,2.0000
7960.0000,0.2400,0.1074,0.1326,32.0000,0.0000,4.5000,1.5000,29.0000
7965.0000,0.8689,0.8689,0.0000,179.0000,0.0000,0.0000,0.0000,179.0000
7970.0000,0.3489,0.3489,0.0000,62.0000,0.0000,0.0000,0.0000,62.0000
7975.0000,0.6135,0.6135,0.0000,127.0000,0.0000,0.0000,0.0000,127.0000
7980.0000,0.4672,0.3764,0.0908,82.0000,0.0000,1.0000,0.0000,81.0000
7990.0000,2.2828,2.2828,0.0000,291.0000,0.0000,0.0000,0.0000,291.0000
8000.0000,1.4933,1.5209,-0.0276,349.0000,0.0000,1.0000,1.0000,349.0000
8010.0000,1.2949,1.2949,0.0000,212.0000,0.0000,0.0000,0.0000,212.0000
8020.0000,0.4265,0.4265,0.0000,120.0000,0.0000,0.0000,0.0000,120.0000
8025.0000,0.0068,0.0068,0.0000,12.5000,10.5000,0.0000,0.0000,2.0000
8030.0000,0.0275,0.0275,0.0000,5.0000,0.0000,0.0000,0.0000,5.0000
8040.0000,0.2127,0.2127,0.0000,67.0000,0.0000,0.0000,0.0000,67.0000
8050.0000,0.0030,0.0030,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
8060.0000,0.0280,0.0280,0.0000,10.0000,0.0000,0.0000,0.0000,10.0000
8070.0000,0.0877,0.0877,0.0000,33.0000,0.0000,0.0000,0.0000,33.0000
8080.0000,0.0127,0.0127,0.0000,6.0000,1.0000,0.0000,0.0000,5.0000
8090.0000,0.0024,0.0024,0.0000,2.0000,1.0000,0.0000,0.0000,1.0000
8100.0000,0.0043,0.0043,0.0000,2.0000,0.0000,0.0000,0.0000,2.0000
