strike,oi_c,oi_p,vol_c,vol_p,oi_net,vol_net,gex,vex,dex,inv_gex,inv_vex_call,inv_vex_put,inv_net
746.0,351.0,0.0,0.0,1.0,351.0,-1.0,251297.6779029848,-3378.458525471745,135.7679674632177,0.0,0.0,0.0,1.0
745.0,908.0,0.0,5.0,8.0,908.0,-3.0,696488.5476741683,-24428.9180261833,362.7254602211765,2.040776098590395,0.6572560808754013,1.3835200177149938,2969.0
744.0,241.0,0.0,15.0,8.0,241.0,7.0,198950.6753264443,-17244.32491622248,99.74533230058017,0.12217765330381702,2.073483539388511,-1.9513058860846941,18.0
743.0,2079.0,0.0,0.0,4.0,2079.0,-4.0,1850722.3829403361,-15550.429043575206,891.1584257862738,0.0,0.0,0.0,0.0
742.0,206.0,0.0,0.0,14.0,206.0,-14.0,198813.05948924544,-57362.06070972336,91.79691408290157,-2.0964832995293676,0.0,-2.0964832995293676,2.0
741.0,143.0,0.0,0.0,14.0,143.0,-14.0,150042.9154594594,-60624.96957449695,66.24796374492013,-1.5376995992376052,0.0,-1.5376995992376052,0.0
740.0,3024.0,0.0,6.0,20.0,3024.0,-14.0,3466428.5834387937,-85023.69577645724,1459.884439061454,1.2005094110279906,1.152432332747949,0.04807707828004126,5.0
739.0,1541.0,0.0,0.0,18.0,1541.0,-18.0,1940646.2379243171,-88084.4165058975,777.4108414522631,1.6585362825056453,0.0,1.6585362825056453,-7.0
738.0,297.0,0.0,3.0,6.0,297.0,-3.0,413555.2521541851,-27250.95581596207,157.09359829644393,0.9485609418849774,0.6947537806831331,0.2538071612018442,2.0
737.0,1123.0,0.0,43.0,15.0,1123.0,28.0,1741935.952020319,-71575.99822471432,625.2739781911115,10.625075648265295,11.186174429246872,-0.5610987809815793,45.0
736.0,1002.0,0.0,86.0,394.0,1002.0,-308.0,1746626.6670059755,-2295582.0593038066,590.1380578121665,38.944873730485256,23.873988234248216,15.070885496237054,73.0
735.0,3010.0,12.0,284.0,71.0,2998.0,213.0,5854516.146195186,23836.58358539249,740.142651898787,106.82976016967888,94.52892241461967,12.300837755059217,255.0
734.0,6223.0,0.0,5451.0,0.0,6223.0,5451.0,14068009.798437277,12322789.878078355,4143.177658575451,-1761.5219694499328,-1761.5219694499328,0.0,-2225.0
733.0,2881.0,0.0,4341.0,185.0,2881.0,4156.0,7564637.371485115,9658768.698372731,2061.089258159618,2007.975787631149,1930.913727080474,77.06206055067494,4300.0
732.0,1389.0,0.0,4427.0,1115.0,1389.0,3312.0,7305678.668234648,12167584.723758481,2288.3989175402507,581.9918848199159,496.5706095995042,85.42127522041164,1984.0
