Time,MAXGEX,MINGEX,MAXVEX,MINVEX,MAXDEX,MINDEX,ZERO,BAC,SAC,BAP,SAP,MAXCP,MINCP,LONGGAMMA,SHORTGAMMA,LONGCALLS,SHORTCALLS,LONGPUTS,SHORTPUTS,ZERO_OI,SPOT
2026-05-17 16:54:00,,730.0,,735.0,720.0,745.0,740.58,737.0,736.0,737.0,736.0,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 16:55:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 16:56:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 16:57:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 16:58:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 16:59:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 17:00:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 17:01:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 17:03:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:04:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:05:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 17:06:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:07:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 17:08:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 17:09:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:10:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 17:11:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 17:12:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:13:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:14:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:15:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:16:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:17:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 17:18:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:19:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 17:20:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:21:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.43,737.5
2026-05-17 17:22:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:23:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:24:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:25:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:26:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:27:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:28:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:29:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:30:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:31:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:32:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:33:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:34:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:35:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:36:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:37:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:38:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:39:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:40:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:41:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:42:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:43:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:44:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:45:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:47:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:48:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:49:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:50:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:51:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:52:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:53:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:54:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:55:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:56:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:57:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:58:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 17:59:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 18:00:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 18:01:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 18:02:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 18:03:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 18:04:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 18:05:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
2026-05-17 18:06:00,,730.0,,735.0,720.0,745.0,740.58,,,,,745.0,735.0,740.0,742.0,740.0,742.0,739.0,740.0,743.42,737.5
