Time,Activo,Type,Direction,NumStrikes,TotalContracts,TotalPremium,IsLadder,SPOT
2026-06-11 19:40:58,SPY,BULLISH_CALL_SWEEP,BULLISH,10,400577,113139644.0,True,739.98
2026-06-11 19:40:58,SPY,BEARISH_PUT_SWEEP,BEARISH,14,325560,41775231.0,True,739.98
2026-06-11 19:40:58,SPY,VOL_CRUSH_SWEEP,NEUTRAL,,,407745016.0,,739.98
2026-06-12 00:00:58,SPY,BULLISH_CALL_SWEEP,BULLISH,10,400577,113139644.0,True,739.5
2026-06-12 00:00:58,SPY,BEARISH_PUT_SWEEP,BEARISH,14,325560,41775231.0,True,739.5
2026-06-12 00:00:58,SPY,VOL_CRUSH_SWEEP,NEUTRAL,,,407745016.0,,739.5
2026-06-12 11:00:36,SPY,BULLISH_CALL_SWEEP,BULLISH,7,1012293,100859593.0,True,738.84
2026-06-12 11:00:36,SPY,BEARISH_PUT_SWEEP,BEARISH,11,956128,162872349.0,True,738.84
2026-06-12 11:00:36,SPY,VOL_CRUSH_SWEEP,NEUTRAL,,,421296241.0,,738.84
2026-06-12 11:01:41,SPY,HEDGE_CHASE_SWEEP,BEARISH,,,,,739.17
2026-06-12 11:14:41,SPY,BULLISH_CALL_SWEEP,BULLISH,5,29334,4436483.0,True,741.37
2026-06-12 11:14:41,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,741.37
2026-06-12 11:25:41,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,740.33
2026-06-12 11:50:41,SPY,HEDGE_CHASE_SWEEP,BULLISH,,,,,741.47
