Time,Activo,Type,Direction,NumStrikes,TotalContracts,TotalPremium,IsLadder,SPOT
2026-09-15 17:50:12,USO,BULLISH_CALL_SWEEP,BULLISH,11,18724,3039468.0,True,161.4
2026-09-15 17:50:12,USO,BEARISH_PUT_SWEEP,BEARISH,12,20697,1547220.0,True,161.4
2026-09-15 17:50:12,USO,VOL_CRUSH_SWEEP,NEUTRAL,,,1797189.0,,161.4
2026-09-16 00:00:12,USO,BULLISH_CALL_SWEEP,BULLISH,11,18724,3039468.0,True,160.28
2026-09-16 00:00:12,USO,BEARISH_PUT_SWEEP,BEARISH,12,20697,1547220.0,True,160.28
2026-09-16 00:00:12,USO,VOL_CRUSH_SWEEP,NEUTRAL,,,1797189.0,,160.28
2026-09-16 08:40:12,USO,HEDGE_CHASE_SWEEP,BULLISH,,,,,158.68
2026-09-16 08:41:12,USO,HEDGE_CHASE_SWEEP,BEARISH,,,,,158.6
2026-09-16 08:42:12,USO,HEDGE_CHASE_SWEEP,BEARISH,,,,,158.59
2026-09-16 08:46:12,USO,HEDGE_CHASE_SWEEP,BEARISH,,,,,158.8
2026-09-16 08:58:12,USO,HEDGE_CHASE_SWEEP,BEARISH,,,,,158.4
2026-09-16 09:03:12,USO,HEDGE_CHASE_SWEEP,BEARISH,,,,,158.71
2026-09-16 09:15:12,USO,HEDGE_CHASE_SWEEP,BEARISH,,,,,158.62
2026-09-16 09:23:12,USO,HEDGE_CHASE_SWEEP,BULLISH,,,,,158.0
2026-09-16 09:27:12,USO,HEDGE_CHASE_SWEEP,BEARISH,,,,,157.89
2026-09-16 09:32:12,USO,HEDGE_CHASE_SWEEP,BULLISH,,,,,158.5
2026-09-16 09:34:12,USO,HEDGE_CHASE_SWEEP,BEARISH,,,,,158.26
2026-09-16 09:39:12,USO,HEDGE_CHASE_SWEEP,BULLISH,,,,,158.13
2026-09-16 09:41:12,USO,HEDGE_CHASE_SWEEP,BEARISH,,,,,157.79
