strike,inv_gex,inv_vex_call,inv_vex_put,long_calls,short_calls,long_puts,short_puts,inv_net
16.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
17.0000,-91.0745,0.0000,-91.0745,5.0000,0.0000,0.0000,52.0000,57.0000
18.0000,3816.5670,0.0000,3816.5670,415.0000,0.0000,404.0000,0.0000,11.0000
19.0000,-16726.0116,0.0000,-16726.0116,457.0000,457.0000,0.0000,831.0000,831.0000
19.5000,-18962.6891,-2831.9343,-16130.7548,0.0000,103.0000,0.0000,613.0000,510.0000
20.0000,-160923.0609,-219785.8061,58862.7453,0.0000,7567.0000,2162.0000,0.0000,-9729.0000
20.5000,-46337.7869,-46337.7869,0.0000,0.0000,1771.0000,249.0000,249.0000,-1771.0000
21.0000,22588.7511,27181.9216,-4593.1705,1240.0000,0.0000,0.0000,202.0000,1442.0000
21.5000,485.5606,0.0000,485.5606,528.0000,528.0000,29.0000,0.0000,-29.0000
22.0000,18115.6195,19667.0810,-1551.4615,1389.0000,0.0000,0.0000,110.0000,1499.0000
22.5000,11.0462,0.0000,11.0462,354.5000,354.5000,1.0000,0.0000,-1.0000
23.0000,3472.0124,3472.0124,0.0000,395.0000,0.0000,31.5000,31.5000,395.0000
23.5000,9278.2878,9278.2878,0.0000,1270.0000,0.0000,0.0000,0.0000,1270.0000
24.0000,0.0000,0.0000,0.0000,294.5000,294.5000,41.0000,0.0000,-41.0000
24.5000,614.1261,614.1261,0.0000,123.0000,0.0000,0.0000,0.0000,123.0000
25.0000,6024.1919,6024.1919,0.0000,1404.0000,0.0000,10.5000,10.5000,1404.0000
25.5000,8.6239,8.6239,0.0000,2.0000,0.0000,0.0000,0.0000,2.0000
26.0000,287.4129,287.4129,0.0000,83.0000,0.0000,17.0000,0.0000,66.0000
26.5000,-20.5307,-20.5307,0.0000,0.0000,6.0000,0.0000,0.0000,-6.0000
27.0000,179.9583,179.9583,0.0000,70.0000,0.0000,0.0000,0.0000,70.0000
27.5000,0.0000,0.0000,0.0000,0.0000,29.0000,0.0000,0.0000,-29.0000
28.0000,0.0000,0.0000,0.0000,98.0000,0.0000,3.0000,0.0000,95.0000
29.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.5000,10.5000,0.0000
30.0000,0.0000,0.0000,0.0000,0.0000,2405.0000,97.0000,0.0000,-2502.0000
31.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,-5.0000
