strike,oi_c,oi_p,vol_c,vol_p,oi_net,vol_net,gex,vex,dex,inv_gex,inv_vex_call,inv_vex_put,inv_net
80.0,65628.0,17.0,483.0,0.0,65611.0,483.0,-2.474499539967554e-190,0.0,-1700.0,0.0,0.0,0.0,0.0
75.0,66777.0,0.0,265.0,0.0,66777.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,70407.0,2.0,356.0,0.0,70405.0,356.0,-1.121274945113301e-159,0.0,-200.0,0.0,0.0,0.0,0.0
65.0,196383.0,0.0,1896.0,0.0,196383.0,1896.0,0.0,0.0,0.0,0.0,0.0,0.0,-1896.0
60.0,67498.0,58.0,2051.0,0.0,67440.0,2051.0,-2.926974739457647e-125,0.0,-5800.0,0.0,0.0,0.0,-2051.0
55.0,76391.0,2.0,7997.0,0.0,76389.0,7997.0,-8.812106464724127e-110,0.0,-200.0,0.0,0.0,0.0,-7997.0
50.0,128842.0,172.0,1349.0,0.0,128670.0,1349.0,-1.1522589139887339e-90,0.0,-17200.0,0.0,0.0,0.0,-1349.0
45.0,137154.0,454.0,10449.0,0.0,136700.0,10449.0,-6.369011514630395e-73,0.0,-45400.0,0.0,0.0,0.0,-10449.0
40.0,123707.0,128.0,10392.0,2.0,123579.0,10390.0,-3.451470597779786e-56,-5.3929228090309156e-58,-12800.0,0.0,0.0,0.0,0.0
39.0,11694.0,4.0,9.0,0.0,11690.0,9.0,-2.8933755462324825e-54,0.0,-400.0,0.0,0.0,0.0,0.0
38.0,3279.0,60.0,17.0,0.0,3219.0,17.0,-1.12122870682033e-49,0.0,-6000.0,0.0,0.0,0.0,-17.0
37.0,9964.0,5.0,31.0,0.0,9959.0,31.0,-2.304821499872944e-47,0.0,-500.0,0.0,0.0,0.0,0.0
36.0,29359.0,18.0,300.0,0.0,29341.0,300.0,-1.9355515442936237e-43,0.0,-1800.0,0.0,0.0,0.0,-300.0
